algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.342137e-02,379.16,,1.081222562680951e-07,2.3898563429593657e-07,2.3559902786937325e-05,0.00035666220883530847,0.024337178518918763,1e-08,4.043598091251647e-07,1.3441228310521693e-05,0.0017488441946230803,0.0005047887130150574,33.611148051137064,142.40429642397518,4.1556613438721435,11.115892479144101,4.256194932083034,1.7997337404919087,1139.5516094348848,6.2380529557536635,27.14931187584845,72.54457389779601,24.90046833632902,4.529394582314231,9.369191388230897,45.93962184983026,
variant_01_idea_0.py,variant,5.383337e-02,394.22,,1.7690035211753335e-07,3.1792843191011124e-07,3.7017858641251174e-05,0.00040751771476104997,0.026176594850238877,1e-08,4.337873919026081e-07,1.8573179630254915e-05,0.0018884164115921865,0.0006004840500505066,25.211658526403482,8.725612524527321,3.935525539050366,14.8523587523898,3.70220762148797,1.2246501326639938,1790.9924049110095,12.467744044003952,28.656691504262284,82.11407609219752,28.43500925595371,4.576199267097428,10.169186508390903,42.668504986243,prompts/variant_prompt.md
variant_02_idea_0.py,variant,7.262707e-01,424.33,,1.2412206631422038e-07,2.8510677695857146e-07,2.660463208826507e-05,0.00036703401508062,0.02550368049448873,773.388018757788,153.52823903109257,1.4760877809510667e-05,0.0018337450077509651,0.0005691946470823391,21.696654862455798,137.3032479839375,111.34551373519186,17.13306070341494,5.921487927649266,3.3760662529506154,7369.209849673204,40846.07179506635,32.420735785756605,204.99825035144357,26.81711010341458,5.536908820096301,13.909361315730203,61.290011959481554,prompts/variant_prompt.md
variant_03_idea_0.py,variant,2.338482e+01,402.19,,0.0852185025815713,2.9927906254051595,3.530016817261939,2.5934542806081082,1.385372741803268,13.90402275191376,519.5870304425963,3.3652884385105137,1.5742517487129621,9.604188094207448,92.74968860610153,403.5545018419361,115.16111428449383,22.685062654324604,10.760293428836786,3.9795961565065947,2607.2724898677156,40522.131099067185,43.89578735000477,178.66489982137884,31.338174027974127,5.800620490870813,15.96985242438529,59.71966341353381,prompts/variant_prompt.md
variant_04_idea_0.py,variant,2.336421e-01,392.10,,1.2592193186567037e-07,2.838877708872226e-07,2.721728991443615e-05,0.0003744209851753163,0.02576253202416318,161.92718739876753,5.73695882131337e-07,1.5522346366202746e-05,0.0018503194113649584,6.13254801228481,9.333043301827978,11.570625266562597,27.244081819252177,13.365130699023977,6.679029007976501,3.243766226441638,1504.3682538248665,4.048993225733319,28.748824397678792,280.0483059215379,30.54679781334547,5.485701946356456,15.481244362715124,42.07201380967059,prompts/variant_prompt.md
variant_05_idea_0.py,variant,3.906367e-02,337.42,,1.107463989739884e-07,2.4802629252880693e-07,2.331118388394604e-05,0.0003291411150031642,0.024453708738356304,1e-08,4.080698686800983e-07,1.3270384887960197e-05,0.0017012891790481636,0.00047584413443595304,5.821315460436233,36.16556162477591,10.01756961246394,1.8054595259131934,3.8909585534836895,1.220384284995985,2107.8368351992826,3.1201033770379314,15.43509627694402,83.18907362153269,12.115496218786499,4.5596846298059335,7.397491383866873,11.308695855568416,prompts/variant_prompt.md
variant_06_idea_0.py,variant,1.180365e-01,372.96,,4.160202391371067e-07,5.140078245429812e-07,2.6513498526757553e-05,1.9895813905280948,0.024931584780521206,4.677520677186569e-08,4.589490602025154e-06,1.5015126444654048e-05,0.0018964157495138408,5.248925634366726,2.4826760486077073,4.035466419791872,6.905150270965762,16.210185524226887,4.837610435163032,2.161832749693666,1099.2953239929257,3.120103516265832,33.68877442772984,71.82676733791146,24.172216292334785,4.93232465184744,12.844556793636308,39.7784490696097,prompts/variant_prompt.md
variant_07_idea_0.py,variant,2.243739e+01,384.51,,5.178080579859374e-07,1.0376828352148308e-06,356.7048153784747,188.30646950605063,0.03518591328506897,269984518.50096065,2234.1818987817533,195.7698027708614,0.003602934236223795,126.88018261270433,151.53487334605614,464.2661900424342,115.63220213323171,14.875719052797765,9.418769829523585,3.60117528732003,6960.190818730498,38212.16182715279,48.706839914694996,330.66498547736364,30.553602637447018,5.778942095208718,17.17192697571494,72.52709600388161,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.384050e+00,402.94,,4.370177255447986e-06,4.379766337594567e-06,3.317240198833593e-05,0.0004041250957852341,0.037023219113387906,644.6113507561558,1070.4652879631205,3.314659027731942e-05,0.0020839105680009796,0.0010680132534248582,102.57322737986674,381.6762782005562,150.91595362923175,19.18082012359385,8.22760359641412,3.5326856778125713,8536.302663856399,49779.50194084476,49.393865672046765,280.47831366536974,34.5133831563266,5.778048141973493,18.00850290257656,72.49519420810192,prompts/variant_prompt.md
variant_09_idea_0.py,variant,6.996374e-02,318.33,,1.092423916384952e-07,2.2704811604425925e-07,2.3627312522920428e-05,0.00034217703805197903,0.02459490863667605,1.9999999998780905e-08,378.95235631352915,1.3620826459319013e-05,0.0017036505476709302,0.00048218541484638375,5.8977387601540805,8.673190109094648,3.054344250111226,1.1091387889420676,2.4690732605120673,1.0503692529452444,5594.973075917199,3.120103301591643,2.6745022581125086,49.01194787641115,6.992460948541704,4.488448904511615,2.2738325686922445,6.164246193165895,prompts/variant_prompt.md
variant_10_idea_0.py,variant,3.233650e+01,398.93,,2.0505212504287832e-07,2.401573132555597e-06,432.5474742072175,239.20572826761335,0.02756102226448229,450320240.91031253,4964.27640449908,269.29019117023495,0.002232730749002404,312.8156038194823,253.78935766480052,1027.1600561147213,184.48509727001408,31.781547869984674,15.916682979596127,3.943062826078598,15916.158722394925,156280.67238300323,56.71620270713901,387.29997100114815,48.25476601198871,5.785615246570635,18.89756962821284,104.64569825310944,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,2.690859e-02,347.56,,1.0815008860544964e-07,2.2720135345900698e-07,2.3661161566956275e-05,0.00032419019444269716,0.02450516314835842,1e-08,4.5894152156083906e-07,1.30510371517903e-05,0.0017003864505546371,0.00046131530774736634,4.68015224904522,4.244976379291833,3.3931935844034298,1.7594616487617056,2.633255569776363,1.1399220229359746,889.763277229774,3.120103376434584,2.674418970989476,49.75374031382087,10.028580645970127,4.5076259102186835,2.542864241024081,6.330002467706692,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,2.608719e-02,351.98,,1.118591426526352e-07,2.360523294335842e-07,2.4427906621540353e-05,0.000316483226823156,0.024326568754521716,1e-08,4.10692336594005e-07,1.197168802075113e-05,0.001711293895081956,0.0005000277657801112,3.105216555198889,2.2461344596711563,2.3072260095924477,1.6408344382680882,2.6303403694150234,1.1535884690654756,1576.3775488645717,3.120103389859153,2.6744161630403633,61.63629117619866,10.47122237925441,4.549368885713192,2.3747503513205652,6.4277577146781715,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.572775e-02,334.52,,1.1573118595159569e-07,2.2204021968597092e-07,2.4446860773322607e-05,0.00031631519955089605,0.02439742542788289,1e-08,5.437423659641812e-07,1.3365376763035545e-05,0.0017296291535317504,0.00047238399446739184,4.814633029518156,3.6977463254965484,1.681152634670088,1.0162491769791293,2.535138359522355,1.144272129632197,878.1600029301188,3.1201033372724005,2.6743956708995498,102.09300464099488,5.504776293054893,4.507811845521221,2.337068507949657,6.419056011520386,prompts/adaptive_prompt_3.md
