algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,8.565223e-04,282.95,,1e-08,1e-08,1e-08,0.00013448277681179125,1e-08,1e-08,5.6860474761049865e-08,4.035845032830091e-06,1e-08,0.00019560824648144707,1e-08,2.6340052761946757,4.285775042253179e-06,1.1971446271362338,2.471460640924741,1.1487199148734473,96.85849869411774,3.1201027856898804,2.6711668268300883,6.741956671529074,12.134841110931415,4.403188309650722,2.3057249413879153,15.651878583685926,
variant_01_idea_0.py,variant,5.201918e-03,346.86,,1e-08,1e-08,1e-08,0.0001357880885637998,1e-08,1e-08,5.974204257702668e-08,4.0382414608472606e-06,0.000775935669678986,0.00020132224147742454,0.07004171745794455,5.0556544055138986,0.8670848435102457,1.4688827366688921,2.458370045439508,4.058166935951973,93.41721318102103,3.333229466407659,3.2147136498563955,7.098983898942245,35.29543499143976,4.187991269018965,2.4546285757472615,25.96404669150031,prompts/variant_prompt.md
variant_02_idea_0.py,variant,7.119119e-03,342.45,,1e-08,1e-08,1e-08,0.0001415488598674543,1e-08,1e-08,6.517196919244832e-08,3.95397526867286e-06,0.0007767974445123429,0.7639845393119163,0.2114495293942991,2.4421418459295876,4.853947309018192,1.8666311206886232,2.4042744156006925,1.188379895526632,159.0337696288085,3.1201029493091212,2.674484043834913,6.225410549577582,5.9512332949186115,4.218818667023088,2.2386973240329153,21.375007921086485,prompts/variant_prompt.md
variant_03_idea_0.py,variant,3.297201e-03,330.78,,1e-08,1e-08,1e-08,0.00013559331303873728,1e-08,1e-08,5.646290026210702e-08,3.9041866497735494e-06,1e-08,0.00018802361298865292,5.297419582907839,3.9634006537445847,2.432110890584623,0.9775051606091951,2.503045265613929,1.2258000305403514,71.90044897976364,3.1201027856898804,2.671446632284757,5.628352542912215,10.50945820260345,4.169173407500288,2.285756190261038,9.374211607383149,prompts/variant_prompt.md
variant_04_idea_0.py,variant,4.675523e-03,392.00,,1e-08,1e-08,1e-08,0.00011026073362045685,1e-08,1e-08,5.3090081017341064e-08,3.2585520324628998e-06,0.0004954112159842083,0.00018794354109129288,0.8654809800121502,6.254045967139654,20.447362931047152,1.060971286283867,3.7813724240324524,2.0488024638096123,0.010288156105934655,3.121234435116324,2.861720749263129,44.03799120003522,9.681521667308738,4.739676822944254,8.410901337188696,47.196516032620146,prompts/variant_prompt.md
variant_05_idea_0.py,variant,3.256839e-03,307.74,,1e-08,1e-08,1e-08,0.00013651323583586668,1e-08,1e-08,5.8880948938921794e-08,4.055592299622454e-06,1e-08,0.00019041616953654832,5.112682223436023,2.184922327881928,1.7593093602210974,1.8226449795597197,2.5241634655082925,1.1512770064388864,68.8691361171177,3.1201027856898804,2.67144284381457,5.621800211792853,12.086914224211746,4.17362290691719,2.2020387567681805,8.756050788689068,prompts/variant_prompt.md
variant_06_idea_0.py,variant,3.204008e-03,397.88,,1.3069284369713747e-07,2.76895583804044e-07,2.855520252481194e-05,0.00039888720912502356,0.02576140910095504,1e-08,4.819383799463133e-07,1.6612656954118953e-05,0.0019868937557829,0.0005711282456516657,8.574688612337977e-05,0.0007946996659404403,0.8011107662098536,0.009310118020462941,2.119800281574866,1.1573899535836525,1.999999998486674e-08,3.1201033773378093,2.6745294963362403,5.467754806812865,3.724148112015868,4.169258228623343,2.5162870374227415,31.936727559648563,prompts/variant_prompt.md
variant_07_idea_0.py,variant,2.965219e-03,353.20,,1e-08,1e-08,1e-08,0.00013546783795319529,1e-08,1e-08,5.787710339469589e-08,3.839288540507083e-06,1e-08,0.00018791046549643478,1.7154028364936083,1.7090494044205036,1.1420609437934857,1.4171171538520013,2.442271801784422,1.2156007355012768,61.44862599993345,3.1201027856898804,2.6711668268300883,5.394835846460109,11.641799092405538,4.1720847444389,2.253635789563079,8.8593094118774,prompts/variant_prompt.md
variant_08_idea_0.py,variant,3.030408e-03,364.44,,1e-08,1e-08,1e-08,0.0001362536447732102,1e-08,1e-08,5.943892143099078e-08,4.065606133640149e-06,1e-08,0.00018560061395187934,4.066701421902852,2.1655683402123684,1.9136056119857987,0.8869435239859838,2.5316306959725736,1.123645064270845,36.02214516438852,3.1201027856898804,2.6711668268300883,5.502478471224973,7.38028477110765,4.164387032099765,2.20758210122172,12.352978831613067,prompts/variant_prompt.md
variant_09_idea_0.py,variant,2.910813e-02,446.65,,1.2531591878868032e-07,2.6743158952654877e-07,2.819312933699569e-05,0.0003857588272048235,0.025337757929813864,1e-08,4.7595010105905786e-07,1.631264767775145e-05,0.00192502744787495,0.0005621534108685751,8.639419444074132,5.177398687670635,5.82139492896331,2.062206171705687,2.461994119051141,2.06091340356092,84.84765148728998,11.908032153173176,11.621476175169459,5.420581717585411,14.918397171621454,4.186142399819181,2.2477290035718998,7.246895000712317,prompts/variant_prompt.md
variant_10_idea_0.py,variant,2.389822e-03,950.64,,1e-08,1e-08,1e-08,0.00013684104798145422,1e-08,1e-08,5.423834527363688e-08,3.6352130673754745e-06,1e-08,0.0001853720079800042,6.312037285212295e-08,5.304964148404,2.3021335802902585,1.6892086076055295,2.537771271183632,3.840784764772901,507.8632700062767,3.1201028010450744,17.281483702823163,46.418827594234685,20.24785816849153,4.425364492311852,5.306653801494031,31.39066031713676,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,3.552537e-03,385.20,,1e-08,1e-08,1e-08,0.00013664029883170693,1e-08,1e-08,5.657876087536205e-08,4.213458445793047e-06,0.0007226934105601162,0.00018501455695431128,0.0006247509093109992,2.1400764059261417,1.7651822278996854,1.3655799718676565,2.5932318679929773,1.1403236897225721,66.74116758433581,3.1201027856898804,2.6711668268300883,5.775167918740966,6.2818855908870885,4.175955743336419,2.2308662525348915,20.923625950847946,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.073293e-03,361.68,,1e-08,1e-08,1e-08,0.00014046163463597266,1e-08,1e-08,5.6868200753799344e-08,4.336933920252393e-06,1.9999043948100733e-08,0.00018550354159150678,3.1024322380525856e-08,1.8760905726251584,0.00030189496174984543,1.341771552310562,2.592811516463347,1.242267701050502,64.25245092171225,3.1201027856898804,2.6711668268300883,6.060931422022683,8.567522135829106,4.181981606333262,2.2519153694687337,21.364988508094545,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.200823e-03,378.59,,1e-08,1e-08,1e-08,0.0001392834102085292,1e-08,1e-08,5.8758328319495416e-08,4.314312747185775e-06,0.0007461562794394152,0.00018844901376964006,6.184088767607355e-07,2.3957627033816884,0.009395495273381311,1.6965306491540288,2.5635169596896112,1.0884399484724196,66.7398425515209,3.1201027856898804,2.6711668268300883,5.743167308977895,8.224078608329723,4.159781236952811,2.193620450216972,21.260427740880456,prompts/adaptive_prompt_3.md
