algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,8.598049e-04,280.84,,1e-08,1e-08,1e-08,0.00013703731810630492,1e-08,1e-08,5.6351652708971774e-08,4.074026940239853e-06,1e-08,0.00019851284188927485,1e-08,2.0224642261869272,4.443248579480047e-06,1.302049543295292,2.4099092366812775,1.0946118853561349,109.37359511743693,3.1201027856898804,2.6711668268300883,6.372955163258118,13.935095217792325,4.364588548243461,2.2934712018999233,17.0569130024138,
variant_01_idea_0.py,variant,2.078725e-03,272.86,,1e-08,1e-08,1e-08,0.0001354822713568809,1e-08,1e-08,5.980027398413005e-08,4.447608433385755e-06,0.0007761486894626596,1.8166894276774825,1e-08,1.8380291314380004,5.537112377427588e-06,1.4514546384555085,2.4390572765373357,1.1335898085173208,155.45418598613338,3.1201027856898804,2.671942405224619,6.623622100360744,15.888854934440989,4.257935852534661,2.263162874051781,15.53723907029644,prompts/variant_prompt.md
variant_02_idea_0.py,variant,7.246231e+01,432.58,,2.5654242216729903,19.416355865520558,42.426648943488296,70.4035906720131,3.151568327363666,5492096.050786928,966.0574556701157,65.47267355992592,17.725039741810733,110.40912126269053,9.03953226105881,338.0842356016861,9.312971636984779,19.081875647607646,12.302467850884426,3.334181720824709,2925.498865196554,15403.074632295202,33.446983555508936,219.98726058687058,34.06233469244749,5.527011137516023,13.5986779725288,72.86632689192712,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.483037e-01,284.81,,1e-08,3.1041101070588174e-05,1e-08,1.3778099507394055,0.06526633404786383,2.2020651948678277e-05,23.369972408318073,0.059557652827659804,0.16415419813138735,6.2914608158211855,3.1658324636657835e-06,11.184240883008124,0.0010361068101925074,2.1242004746354324,2.698386421040852,2.442675336649582,397.85558867493825,522.376299921725,22.982601992679378,30.132498548854574,19.172046559094138,4.478330543690699,9.75494976930275,23.41997841211187,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.145022e-01,288.01,,1e-08,5.591641265029833e-08,1e-08,0.11649348491262594,0.012309183076454821,1e-08,15.105810607424049,5.022399573919112e-05,0.0008669073527109484,6.328980338298824,6.165419579290846,18.77084375646989,0.8890710356618058,10.259965862435536,3.728502781409429,2.5034567701606627,530.5473636927793,818.5004225352019,22.97271662479691,31.698280964616263,19.532874965751123,4.460829200923424,11.098147964917155,25.64906274594416,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.673072e+01,696.01,,0.002264524437671386,23.562175088429377,0.00403659814393273,65.54802375112699,0.23971888661894228,1956176.5122347458,36.68964755376886,62.91368678282136,1.9945002615966865,7.6961831618698415,4.981426099008834,117.1302480851303,15.44339083154892,14.187027041555575,3.3555183146541547,2.9809175962174854,626.0895953249178,23718.133215701368,36.276545644230424,36.57473568941302,20.547806095443903,4.588848587857294,11.9477584055428,34.75590731482056,prompts/variant_prompt.md
variant_06_idea_0.py,variant,N/A,9.19,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_07_idea_0.py,variant,7.911224e-02,333.95,,1e-08,2.5528916076528103e-08,1e-08,0.1231020779804198,1e-08,1e-08,12.230164361652188,6.310054854976181e-05,0.0009168550082556238,6.949466809892495,6.6389963184632625,62.71114253223899,0.8113236379557464,18.004472642302687,3.2502968102542775,2.8215220916439083,609.578765164655,7060.577481085475,28.224919093404182,105.18448949861924,21.031362920301248,4.4964866639184375,11.099132714753868,31.255048884649117,prompts/variant_prompt.md
variant_08_idea_0.py,variant,2.123549e-01,344.38,,1e-08,7.679642425450031e-07,1.9136870653583622e-06,0.15323668143535363,0.01841431415358745,1e-08,26.054187330439753,8.152593787399462e-05,0.00831462683849974,7.044399477510625,6.778417002413427,21.78684160865342,1.269161112221075,12.286355490473667,3.9004600048783384,2.30406291903164,540.1953685630513,4692.486276374912,30.242919599095266,31.931371095467014,21.71055139875453,4.589803992367731,10.62623119180133,25.550237347404288,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.215158e+00,302.58,,0.00012622415624542556,0.0028573497454976444,0.013597091361901006,1.3625087438151493,0.262418449254972,0.04561939643051269,16.85889883759482,0.38380946368375457,0.6623449000819203,6.672719105435647,0.5131014438620698,4.023087470235868,1.5327661125908834,2.2162577314005807,2.742312288506265,1.491450716567857,178.39724217101593,24.16122668289169,6.528162938087612,13.955117338603463,11.933963096544467,4.538360698796636,3.104022073735145,24.808142374822193,prompts/variant_prompt.md
