algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,8.820882e-04,291.07,,1e-08,1e-08,1e-08,0.0001386327685825283,1e-08,1e-08,5.699103406537755e-08,4.073435174666821e-06,1e-08,0.0002081099554987952,1e-08,1.7515163130672353,4.567610575583255e-06,1.335045144621199,2.448679830236737,1.2309401997043568,141.89274808312183,3.1201027856898804,2.6711668268300883,8.810302338639119,13.95828297599401,4.203408206332978,2.2962874499605657,16.267224005723136,
variant_01_idea_0.py,variant,8.778071e-04,265.06,,1e-08,1e-08,1e-08,0.00013814771040296538,1e-08,1e-08,5.883916003452936e-08,3.91964677220766e-06,1e-08,0.00020619835996108982,1e-08,3.2703506678509573,4.58924336433696e-06,1.4441903262469895,2.457374345238597,1.1198275995539417,111.63181567037115,3.1201027856898804,2.6711668268300883,6.753501851185034,13.090526850386706,4.179988668063417,2.2245523857595737,14.618114914851322,prompts/variant_prompt.md
variant_02_idea_0.py,variant,9.135664e-04,347.30,,1e-08,1e-08,1e-08,0.00013395409858852966,1e-08,1e-08,5.772301084038343e-08,4.3024959139093515e-06,1e-08,0.0007851408332698048,1e-08,2.8710426658485995,4.805241560041258e-06,1.4343503547164305,2.5219341506491277,1.1086351538023795,131.97997149875977,3.1201027856898804,2.6711668268300883,12.461183482646899,8.426035033938197,4.193485926323367,2.1613058870096866,7.551014048205899,prompts/variant_prompt.md
variant_03_idea_0.py,variant,8.837109e-04,301.28,,1e-08,1e-08,1e-08,0.000135868554486289,1e-08,1e-08,5.5131924255833334e-08,3.954805319149883e-06,1e-08,0.00020264369479572154,1e-08,3.647202150460991,4.242015174547262e-06,1.5372837554819359,2.4716614588816745,1.0494325701819294,130.87276029910387,3.1201027856898804,2.6711668268300883,6.418511479742613,14.088619932751708,4.292849326824508,2.297167882748766,14.284805558466555,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.343715e-03,867.88,,1e-08,1e-08,1e-08,0.00013607893717642106,1e-08,1e-08,5.763097546199213e-08,4.316768245504174e-06,0.0005327559521345315,0.0005741321546659578,1e-08,2.440656455476264,5.14555283047259e-06,1.3779222005496308,2.480152410885846,0.9825812827315705,46.22237399280629,3.1201027856898804,2.6711668268300883,6.04551988323434,5.785886814240889,4.167993870744247,2.1986124803812883,22.264402250664585,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.435215e-01,471.56,,1e-08,1.2981542324121853,1e-08,0.2706707867682715,1.480596494505804,0.0005106540865252188,0.015556247533692317,0.4404631223400983,0.9382816259979859,0.5135195897758453,1.004487225172755e-05,2.6328829883704996,0.008442431983240479,2.851552248693521,2.7329409106463367,3.158959329842671,55.475992517978156,3.1201509767552134,5.674782403448024,6.6837220897553,3.9684658162361144,5.802389894900362,2.6756864354254906,29.919973923351534,prompts/variant_prompt.md
variant_06_idea_0.py,variant,9.042015e-04,292.13,,1e-08,1e-08,1e-08,0.0001388809732204589,1e-08,1e-08,5.665906377369746e-08,3.791847896600145e-06,1e-08,0.0002871744232652205,1e-08,2.389001685205376,4.384883621055928e-06,1.4877916668595013,2.3996470757414494,1.169141715421506,205.07461874657736,3.1201027856898804,2.6711668268300883,6.399005658306325,8.302521291482265,4.235126329253643,2.259878877943761,27.394861315806153,prompts/variant_prompt.md
variant_07_idea_0.py,variant,2.496015e-02,325.02,,1.7781203972787704e-08,5.2402838736631374e-05,4.3325758262596436e-06,0.0001869806542425831,1.4098053054790858,0.0009844253835066554,1.3826069935058056e-05,0.0014098474907571306,0.0009952201897605775,0.07112140259549646,6.766901313240793e-07,1.4724703663522565,8.500297862444958e-05,1.4541167174371559,2.5105859408278106,1.249966787196937,97.75873174018955,3.120125161150564,2.6711668268300883,6.158164288777478,6.740208765917335,4.155324799545592,2.2544226485810435,19.319873038375373,prompts/variant_prompt.md
variant_08_idea_0.py,variant,8.598249e-04,429.54,,1e-08,1e-08,1e-08,0.00013410454326314588,1e-08,1e-08,5.532691080168583e-08,3.7976137441080235e-06,1e-08,0.00020929993829568887,1e-08,3.304094173803707,4.399438464158531e-06,1.5301467012509433,2.4192427302205686,1.1506591239819022,129.44708252743885,3.1201027856898804,2.6711668268300883,6.3985049281263375,8.9401690573746,4.197457327238925,2.2994807974194464,12.256582480695544,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.646093e+01,480.66,,21.53044916022198,50.107426726402586,233.62203359039657,124.37457376201431,4.199602320477576,267700.043761895,0.0012859635384652544,141.20207291367154,30.39968306853567,0.17815036081623392,8.191659447438884,33.22306744948218,40.22791511676416,3.0747967837720793,2.6612560477833735,2.684132410389676,49.14886346518542,5237.442497288835,27.194593754670432,7.026915723621539,4.613256184938998,4.212162787395965,3.3096418356649693,5.941606164799799,prompts/variant_prompt.md
