algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,8.310268e-02,454.14,,1.130319378423582e-07,2.393771782916907e-07,2.4506354339402664e-05,0.0003543341261077941,0.024656975596562776,1e-08,4.293184994144875e-07,1.3265144168361574e-05,0.0017603008622181459,0.0005080293399978602,28.401585945487437,150.3470907865025,50.56514861674862,12.65450075005968,3.5266666792173984,3.0962175605452518,1214.421503905594,11529.037892161135,28.856715877476464,65.47630656889122,24.9168996018825,4.479539657366319,10.38130519345372,43.61901012784154,
variant_01_idea_0.py,variant,8.692795e-02,452.30,,1.1330443914606204e-07,2.3641327613867725e-07,2.4306297136788648e-05,0.00034695528091410104,0.024336655528581556,1e-08,4.4706673532001906e-07,1.3206672421377196e-05,0.001697226845144523,0.000496643493093187,39.2118370086426,173.0161654360183,73.0872942271608,15.843666378804746,3.8914629608938505,2.8559596285396114,1011.4177410154392,13884.7170313448,31.949681223813478,68.30276590111491,22.90263651600013,4.571347511055942,10.2605657673128,44.072194731684114,prompts/variant_prompt.md
variant_02_idea_0.py,variant,8.642324e-02,438.08,,1.1046493590236318e-07,2.3659972050219575e-07,2.3843670141956147e-05,0.00034338813660722973,0.024448095052433054,1e-08,4.103743477650874e-07,1.3285551025056591e-05,0.0017273311586248285,0.0005150018790458864,34.36991081396484,131.79395587133493,64.74984086978432,12.287855579254975,4.1145327106595095,3.1164595195800056,1351.7046572354777,12120.737743272519,29.83813426956857,79.82591790623137,24.88754906421658,4.59749209114858,13.01532569192694,44.227461241881976,prompts/variant_prompt.md
variant_03_idea_0.py,variant,9.425541e-02,494.92,,1.1589788643588581e-07,2.352114332089727e-07,2.43113268634327e-05,0.00035420215806897547,0.02456321971631404,1e-08,4.560179238951764e-07,1.3502367572129642e-05,0.001720922151556154,0.0005085245293080153,48.39480789018142,174.18460352747448,77.3637618022989,17.365112013376166,4.012146531167158,3.295741910130443,2136.5046933714966,15220.65796754597,38.901141031387425,75.68771783387578,25.075479943017502,5.1036144806865344,10.087233036421244,42.03676283688967,prompts/variant_prompt.md
variant_04_idea_0.py,variant,7.750490e-02,266.68,,1.1817803448758073e-07,2.4227768682696366e-07,2.37268018000508e-05,0.0003547257988582387,0.02453907866210395,1e-08,4.358513447183096e-07,1.3717969706091838e-05,0.0017345951168246962,0.0005024078315578493,28.008212133363624,113.84493675033526,18.070235973330753,15.02895750953163,4.0358340739868,2.6575300272205844,828.3076221570732,12175.995410491372,30.55855449250459,59.725079677222894,23.55967055708103,4.552772898139345,9.414411534218267,41.50014467401989,prompts/variant_prompt.md
variant_05_idea_0.py,variant,8.932421e-02,554.89,,1.1349990485477947e-07,2.3749321756045326e-07,2.475016994891368e-05,0.00034085352983230944,0.024744893593158228,1e-08,4.1521298366183866e-07,1.3946439133268724e-05,0.001742180644619577,0.0005041848283151475,51.48211773731141,128.9081795591547,73.38511045990774,14.787708297542768,3.95809616363575,3.0617922836804157,1171.5000895716541,12342.220971965407,37.66186138061027,84.12485381714205,27.419455599029423,4.632794633706204,10.579788839197201,43.28296189953506,prompts/variant_prompt.md
variant_06_idea_0.py,variant,8.387852e-02,281.65,,1.105544477243476e-07,2.383229886388017e-07,2.4158407162794245e-05,0.00034913757245138194,0.02453806681259314,1e-08,4.3518207395004005e-07,1.3656207337317285e-05,0.001727072916748188,0.0005121822632170129,27.95845827865682,142.8517206693282,67.49536661253558,13.619478883106353,4.453329793767593,3.1326119910674644,1574.869081521848,6987.953941815859,31.58054436784987,55.72432442891916,28.51785215720044,4.686474168125455,9.367205186087942,41.32166959233055,prompts/variant_prompt.md
variant_07_idea_0.py,variant,N/A,41.02,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_idea_0.py,variant,7.186603e-02,432.98,,1.1099553409974332e-07,2.3184263644928237e-07,2.4145098069749292e-05,0.0003599998704276394,0.02447537173841881,1e-08,4.367874128056206e-07,1.379275287091364e-05,0.0017028030813882747,0.0005020999309261033,27.068266967508745,65.25966218421478,13.610781381229694,9.708907752280028,3.921217286082285,2.818083076826277,998.6098303745318,4347.411601700763,29.049409447693094,95.17807142418273,25.524936595531763,4.5239049162439615,10.174894549370233,35.11476393934614,prompts/variant_prompt.md
variant_09_idea_0.py,variant,5.092030e-02,366.17,,1.1292653185382167e-07,2.40480592334026e-07,2.4244868015939644e-05,0.0003468398861386866,0.024493324075158675,1e-08,4.2023530911058035e-07,1.3565280971002115e-05,0.0017370331039986758,0.000502951672533309,28.43143108862387,17.892674110082446,3.7555770734652096,10.505404546291958,4.105170626763206,1.253515580379816,1786.1172823315335,12.46579672884726,31.806052767697274,82.82575714427158,28.436656862349665,4.432734864796956,9.138211922317984,47.502207400900716,prompts/variant_prompt.md
