algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.657596e-02,389.18,,1.1780682244901146e-07,2.2639991427808194e-07,2.4435204641985272e-05,0.0003006561458332177,0.024334393880848546,1e-08,4.395617492273568e-07,1.349606002215642e-05,0.0016949285266401237,0.00046853329138050326,4.722264648609219,5.600148973450004,2.491333908356105,1.3562670347212047,2.624043075148533,1.2004556438143943,949.4040116071586,3.120103440285557,2.6744452387173747,36.30559536022125,13.172497021761643,4.453001064470117,2.324794019494508,6.212768236996732,
variant_01_idea_0.py,variant,2.740648e-02,350.65,,1.1306845112098653e-07,2.34751171246849e-07,2.4082507256417823e-05,0.0002972001275415019,0.024545187716555603,1e-08,4.664690326315074e-07,1.3521131863355997e-05,0.0017334918363157018,0.00046619546298946093,5.216903807535476,4.9261651183276784,4.099870663734845,1.5998835080273457,2.6955151783369646,1.1347039315332346,937.3637102233181,3.120103373647556,2.6743943274590505,35.15880625303151,12.582557610313865,4.559181814737673,2.480791796476723,6.723574666601018,prompts/variant_prompt.md
variant_02_idea_0.py,variant,4.088987e+01,342.01,,7.458464770077061e-08,122.74230508541005,572.1268761676948,254.64954182314443,0.024394235907225767,1572328426.7921307,6624.640417449815,325.75549620092164,0.0015878787715965037,326.7615451155354,275.7932767029474,1108.2344166354367,204.6494213746623,1.6470680985307233,2.5662521816371737,1.1020009943549829,18339.090298137777,158920.64266398142,2.674490740881697,393.86377481022924,8.427172225533807,4.517291036583564,2.3237166079615754,105.30726203490669,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.622343e+00,366.58,,8.135935265273238e-08,2.4285833124961635e-07,4.914872646143921e-05,0.00034875726141713137,0.02438253594399411,19493.52771175451,3815.3112713032992,23.128081403936356,0.0017426140449042851,0.0033200189381108773,251.55460709813568,950.9610589277248,185.08574803557525,1.539426413879581,2.5457517716091305,1.1943570690711798,15426.687739409459,141042.99151881016,2.7846356088763544,386.83275264091446,20.621096184707717,4.590639869999168,2.5258003894285315,11.57890786924734,prompts/variant_prompt.md
variant_04_idea_0.py,variant,2.819840e+00,341.82,,9.78382250720052e-08,2.2375448790708173e-07,33.08526890718466,7.001963520308561,0.02439567962061495,9130673.339650784,1593.9718190918315,2.9856473486882938e-05,0.0017160948308602565,0.0006537037329481891,270.9997246445356,1064.7366122173814,196.5717466078876,1.6202979509885198,2.8600656999697507,1.2015259388202115,8843.70316705875,167253.01956511784,3.6688015104629565,368.89464886281314,12.777194385411871,4.632614217521619,2.6260536410501865,10.778518486886421,prompts/variant_prompt.md
variant_05_idea_0.py,variant,5.600537e-01,346.13,,7.504351688542028e-08,2.323710181767596e-07,2.2264098152802898e-05,0.0002858032049349064,0.024368546795208546,2945644.4457216077,965.0493809166229,1.2652561272865441e-05,0.0016616960491197261,0.0005282665897716269,10.807343164970655,249.2979397298718,94.97752668890958,1.244593840083847,2.5251311980029416,1.1753317316650944,1986.6499884082527,18031.321649893132,2.6748871158709275,241.7480317037231,6.756450930411556,4.5644663382201465,2.3150119383791377,6.795034419283212,prompts/variant_prompt.md
variant_06_idea_0.py,variant,4.314570e-02,354.30,,1.198915773555293e-07,2.40295891393165e-07,2.3939940865446123e-05,0.0003396294573995189,0.02433815246154355,1e-08,7.373247246606452e-07,1.3518634884140081e-05,0.0016766627733064779,0.0004923829960523546,7.543605740477378,17.20025600683293,3.6666130615036363,1.0899981660621387,2.565822125697249,1.1962686290971367,3666.289136436595,2385.9201479092244,2.674227517926971,257.70783885667856,5.287723238423127,4.555137075990364,2.561451923576803,6.2356901314513635,prompts/variant_prompt.md
variant_07_idea_0.py,variant,3.239019e-02,372.67,,1.1613954556475024e-07,2.3393875600664768e-07,2.4392081180620514e-05,0.0003418264592589128,0.02475124124685877,1e-08,4.5168537298482163e-07,1.3792881169967677e-05,0.0017118575955551098,0.0004959757222572199,6.174893617939632,9.404258881797329,8.972988839748483,1.5583157650115604,3.241634575179804,1.2522942413128322,962.8181401712478,3.120103386204537,2.674664752708348,198.57255237613666,15.635432796249798,4.607489260947467,2.2563717232796394,7.01238257444647,prompts/variant_prompt.md
variant_08_idea_0.py,variant,7.224594e+00,385.23,,4.483302402604232e-05,0.00013101216539171618,42.89092841083541,34.07589688435091,0.1197076054160112,5176.654118422569,2577.978142835758,2.8024017707489133,0.037867482522459604,156.91322461475028,144.36235060444702,836.0113596654357,97.6858010034129,0.03967510587694066,0.4794588892264062,0.6184648834081722,12900.392475149943,128972.95341128332,2.748005167721358,364.1883661166565,0.4730651096275596,4.469999454223588,5.6152397041116675,0.6527841417814363,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.794107e+01,345.39,,8.698505898120202e-08,2.798673257257025e-07,581.9269618165599,254.00622419338984,0.024083583268363472,1741805514.0139267,6621.777620847944,329.479265631397,0.0016913635098520271,337.9162631153401,276.80627051926166,1086.8074023604545,197.36581513276826,1.465057990919267,2.5334701997804876,1.2116806096658188,17722.086605616834,160721.11302226587,2.674559440541925,397.6132914267416,7.132181980576095,4.573651688909827,2.3789624204365194,104.70043275160246,prompts/variant_prompt.md
