algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,4.144092e-03,302.61,,1e-08,1e-08,1e-08,0.00013994725358994784,1e-08,1e-08,7.968360394972042e-08,4.318589802297351e-06,1e-08,2.136243683077277,0.012715807782085628,3.3773567506597404,0.17426510474362977,1.6873877926679237,2.458866727187111,1.1826933486325768,174.57007300227895,3.1201027856898804,10.259846307783507,8.62559131376548,18.454484754460356,4.403171389258238,2.3058137141590698,19.28705915580549,
variant_01_idea_0.py,variant,6.416584e-03,308.08,,1e-08,1e-08,1e-08,0.00013844952681650317,1e-08,1e-08,6.539287729080221e-08,4.489136544137801e-06,0.0008173265111289454,1.9260034330153672,0.029229228734739425,2.4111330940167592,0.2747914499678171,1.7224172841908474,2.4830767113129935,1.095387501031058,159.02989042821474,3.1201027856898804,2.6722757541787567,6.443068549260285,19.976142545310335,4.191872881335704,2.2048341289163234,25.91798300986045,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.323652e-02,326.32,,1e-08,1e-08,1e-08,0.00016906925919229403,1e-08,1e-08,0.014893849844308657,4.854552772716514e-06,0.0008289456644786564,3.4054622376353194,0.26236820851683723,2.630728790315778,1.1773246927197374,1.3471244336490966,2.4489056497862767,1.2277854915935993,169.19327234219722,3.1201028344236335,2.7127892969639342,10.68643706411035,32.25019626751052,4.376351379475038,2.291751910124926,14.881664436794983,prompts/variant_prompt.md
variant_03_idea_0.py,variant,3.187352e+00,320.54,,1e-08,0.008035081958091295,1.0807673633059112,3.0941340895881964,0.9409395546179796,97.94067338985674,27.375285862251854,2.881851602554405,2.6261094101355087,6.982181528128661,1.0704214318513798,30.214653198975718,3.621432905836266,3.2344308703240943,13.13117175912966,2.554137420989701,478.62461272626723,6.923332495442724,17.060950087940462,221.65736207955095,32.96090408406449,5.5282775583640555,15.835138988536253,73.45058750891484,prompts/variant_prompt.md
variant_04_idea_0.py,variant,5.313321e-03,473.35,,1e-08,1e-08,1e-08,0.00015983836750242415,1.3333327762513423e-08,1e-08,7.276806604270786e-08,5.194479733512547e-06,0.0008061120248771006,0.00023759534535809697,0.15472498267319745,4.005067951067393,0.8427979597727728,1.4539225125442636,2.4684903285789512,1.284879617978125,94.7595152795999,3.1201027856898804,2.6728226586300132,7.733162214993543,31.504238654637124,4.235524173418096,2.4090725674000364,35.11363022804146,prompts/variant_prompt.md
variant_05_idea_0.py,variant,2.148308e+00,313.97,,2.72513693474941e-08,0.012255843254456163,6.065223032904962e-06,2.5217380227093558,0.9842234009877051,6.697746740094452,29.8694658045222,6.247278252218121,2.0128899069168864,7.447416355958182,6.522997692859138,14.662527400761602,0.37009862264880555,19.311022528784648,3.454043741467846,2.7532247698531163,669.6879162703175,5171.135848681574,32.96500767800574,41.594773276868246,21.847596238698415,4.650214660504917,11.598455791432679,27.258071490206117,prompts/variant_prompt.md
variant_06_idea_0.py,variant,6.652316e+00,380.31,,5.3045551154984705e-08,1.8250091926701326,0.7677709109412437,3.6586366346616006,0.8464809928867698,247.466413968779,217.1970704284591,6.946533286434674,2.6644742911410626,10.942597269857647,7.1689029694793245,57.18198357262638,0.569879010712873,23.443415421179303,3.593193133328401,2.6406793008346856,662.0856410483514,15444.79870974022,34.302970434229834,43.120702376273435,21.955620907486885,4.573973927818693,11.598547272329263,24.588217542162546,prompts/variant_prompt.md
variant_07_idea_0.py,variant,8.287587e-02,327.45,,1e-08,2.65939337618986e-07,1e-08,0.3464925288173591,1.999998287586684e-08,1e-08,27.219130141396445,0.0024339554373858656,0.0044266331150633964,7.009344917244626,6.165419579300888,31.650811221834516,1.276121889725162e-05,22.235575199959104,3.397021931193547,2.9639798186988595,965.4664518088397,25268.357080253263,36.51996182852894,146.75595902154902,22.761775673495325,4.5940904723053455,11.245585617980746,33.94231881536449,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.035029e+01,307.18,,0.006178219632236338,54.648340093901304,0.015584934542121854,127.96741844656172,1.2090078320212103,37131428.03885436,37.74803727755687,170.1995120893432,12.746676595631076,7.789834350195579,3.970431480424562e-05,193.3666496882714,0.0001470468559550492,14.627256063518342,3.6044973855771496,3.016931725016033,697.568981098051,23160.775746983203,35.97672337049266,46.726540431071896,16.418392774163657,4.62247408219687,10.066236651337768,31.79921138065137,prompts/variant_prompt.md
variant_09_idea_0.py,variant,2.856914e-02,279.47,,1e-08,5.241179244306413e-08,1e-08,0.11423229021674904,1e-08,1e-08,15.100131158826645,0.00030308609890075504,0.0010969272417139168,6.276498150406528,1e-08,32.95273227451223,0.3556913833889626,2.460988712736131,2.79643856445862,2.7433882943071977,497.6578223955312,2146.8761732922912,24.09405058223109,30.802840750179335,19.383370631646745,4.513122907113943,11.599430223811636,26.020983403646653,prompts/variant_prompt.md
variant_10_idea_0.py,variant,1.713273e-02,1094.78,,1e-08,6.372328902891899e-08,1e-08,0.0001664746931351987,0.015013110623703212,1e-08,4.081134529925869e-05,5.533476726205157e-06,0.0009627963031635188,2.6184847872506354,0.0051194007788469284,2.8790970038863755,0.08549442516219491,1.5148261968356367,2.428703579816355,1.1217087759646691,381.0561308495888,3.1201028846996515,11.838960002352584,12.851276354715893,19.272857023289422,4.499792852589878,2.4094161140912957,22.953929675720754,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,7.590672e-02,423.32,,1e-08,5.4927795894205004e-08,1e-08,0.0006299282448699939,0.013260990019038726,1e-08,0.004423908429920243,8.85044695576201e-06,0.0011229103388661881,4.962929942024181,0.011421695719379229,491.5937405203867,0.15950204654463665,28.877506704106313,11.326554646073376,2.738393258662588,5275.125155652688,13946.682371105568,47.906927785780084,51.5647922125875,25.36577731560215,4.447643987423527,15.066450960841209,53.964760168356186,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,5.670685e-03,498.99,,1e-08,1.4749166710118793e-08,1e-08,0.0003119044643155419,1e-08,1e-08,0.002562932206656626,5.032685455632083e-06,0.0008379086984117522,4.590919270035141,3.82403382628597e-08,3.4288133088854167,0.023170408271611542,1.2242063808367576,2.484058618985724,1.3464906197666273,171.01077363124705,3.120528456351909,2.8736516380684076,8.609372834336616,15.903057836315229,4.524766896393852,2.476223358983898,18.301542562542547,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,1.154701e-02,495.87,,1e-08,5.0594446568557624e-08,1e-08,0.012910771126736637,1e-08,1e-08,2.862209087910365,5.422452491168117e-06,0.000834641208924087,6.820047864084833,1e-08,66.60067846854268,3.187585162178958e-07,2.774099084827879,2.800377892713018,1.4594074081011164,986.6321677516728,4798.895539454626,26.262039572537773,28.97454256511958,17.22540351758636,4.438419438710344,2.9374314740974494,28.090908671067044,prompts/adaptive_prompt_3.md
