algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,3.973733e-03,260.06,,1e-08,1e-08,1e-08,0.0001429236279776691,1e-08,1e-08,8.808781614104783e-08,4.409885308317475e-06,1e-08,2.0063912054723336,0.010711768125131362,3.1766163269786616,0.1867489038353379,1.6448498530986255,2.4674235060520764,1.2441683869194062,251.42919226166327,3.1201027856898804,3.2308498964376624,7.5769865818471445,20.246102998046194,4.308027806011577,2.333637651266786,17.199720109285085,
variant_01_idea_0.py,variant,8.833932e-04,292.03,,1e-08,1e-08,1e-08,0.00013730576300452266,1e-08,1e-08,5.577220993316253e-08,3.4328650238978368e-06,1e-08,0.00024394611514251362,1e-08,3.349277397254722,4.344610783978491e-06,1.069922006632249,2.42363057012982,1.1575710269645332,190.98496814342852,3.1201027856898804,2.6711668268300883,6.5160264710226325,11.138576130233668,4.219739472839144,2.228259130375722,16.76637817714341,prompts/variant_prompt.md
variant_02_idea_0.py,variant,2.525683e-03,270.18,,1e-08,1e-08,1e-08,0.00014515782559865387,1e-08,1e-08,1.1879281580665824e-07,4.6249224570908765e-06,0.0007419346827557291,0.7871227434788355,4.688854910070132e-08,2.2895428178676105,0.0002319106574268188,1.3134445085679802,2.4912656034330656,1.1806265655194559,83.23218287444469,3.1201027856898804,2.6723309673391697,6.503388239086659,6.973670143772936,4.19124924348478,2.244465591004271,34.23437137316526,prompts/variant_prompt.md
variant_03_idea_0.py,variant,5.398370e+00,295.99,,8.57045798133128e-06,0.048094382750537096,0.0009942505718874403,1.9937800367252185,0.4983961035437005,0.6428425965389079,7.465090082781628,0.7998285695137164,1.0308065458401678,5.535389054795667,2.002932862543689,861.8796464886901,5.604486077931461,21.07792006623381,15.672027824833647,4.006184997220874,7674.108013314653,61204.231359724494,58.96256429846345,332.69833784033784,34.763595864265795,5.738158259605157,18.36713973387392,97.33936221446697,prompts/variant_prompt.md
variant_04_idea_0.py,variant,6.595545e-03,262.14,,1e-08,4.8938547062642325e-08,1e-08,0.0020367282622161423,1e-08,1e-08,0.00010241944424642464,2.6955795186109842e-05,0.0009763929831906123,0.774149609533254,6.479704670035115e-06,2.6252885469029805,0.008587853730100351,1.5238082969591396,2.8538218790785375,1.1994951152335094,65.4869106519599,3.1201042475009184,2.6905093212143316,9.487223821008254,6.8199265142116685,4.207045559651287,3.559539557575387,54.39115188942118,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.168871e-02,260.42,,1e-08,2.3607179144405742e-08,1e-08,0.0001444760988900343,3.9999889173738874e-08,1e-08,9.692005725099475e-08,4.571138505752491e-06,0.0008189561231070357,0.6065412765065264,0.30375225978958337,291.2061236158179,1.2816991915106326,1.2587178687003777,2.4686649020219753,3.855888717781245,62.350055716828784,41.67352924155929,26.449795770836527,7.019019319230584,33.353319003987195,4.200055115482793,2.4556023836437557,6.251356295338969,prompts/variant_prompt.md
variant_06_idea_0.py,variant,3.553470e-03,281.57,,1e-08,1e-08,1e-08,0.00019150026203275502,1e-08,1e-08,8.255431008027427e-06,4.698994374128811e-06,0.00078753707406667,3.3383682075212016,6.130081907205178e-08,3.478990421594838,0.0005103008892751762,1.3810296746331328,2.524235944650103,1.1731180899429614,89.6935773827135,3.1201027856898804,2.6725272979870285,7.371003588062977,10.44524243305491,4.190759705920128,2.343155597412375,33.42967028676664,prompts/variant_prompt.md
variant_07_idea_0.py,variant,3.065486e-03,260.97,,1e-08,1e-08,1e-08,0.00014956453430790853,1e-08,1e-08,1.2838522227081228e-05,4.782648192765564e-06,0.000793255831730218,2.9380924182921095,1e-08,2.906528783371457,5.35768612239768e-05,1.5859653553303676,2.4289935418292683,1.1275931265588692,108.32859466437542,3.1201027856898804,2.672325167924362,7.07216174345688,15.11235821721409,4.225989168030112,2.2435963219924884,35.7858528085657,prompts/variant_prompt.md
variant_08_idea_0.py,variant,4.363468e-01,268.08,,1e-08,0.00016751545985230725,1e-08,0.7442171623123824,0.23657045760812198,3.3612185147624653e-06,4.951712138753178,0.0378131819559978,0.08633571834766411,5.6336167867403475,0.08204206786281056,454.43108375265007,0.9334672470751123,5.19154431516485,15.561558513714752,3.824592642521022,76.39339693611564,724.3554193169606,35.75777711063173,352.25193290789196,33.02474385521557,5.727941268125464,18.14592790647443,97.7211776884223,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.471952e+01,275.15,,0.00016739252988981617,1.473607506927786,0.012923735091258954,7.001820699996208,1.133763038424897,2286.0483416645243,122.87740880492109,7.742081018879,4.072897669701758,34.83816759270646,3.571157696622634,438.06711399386063,9.48068903528543,17.45847844848965,11.458388382797642,3.6089428710721236,2868.8112160782352,24818.81542776697,42.68421138794745,214.55735230554524,29.554918804201602,5.531201753465311,15.952605414017984,75.25908430663117,prompts/variant_prompt.md
variant_10_idea_0.py,variant,1.790344e+01,298.62,,0.061805901153688295,23.173607885077327,2.3591143579955656,95.8237091282468,1.919921665605546,1295538.8783744841,701.0244934298989,100.20223946721867,15.79262036470789,84.90115398490471,2.5014527420197852e-05,150.09508053612063,0.004279298611082004,23.43754569524516,3.36139643412964,2.9693552796095783,1195.869183720913,32437.782417619634,37.7037912281532,67.70590173396901,21.435776736552096,4.651563708813536,11.496434718407617,36.34495342972591,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.239248e-03,315.69,,1e-08,1e-08,1e-08,0.0001411251064032879,1e-08,1e-08,6.104388789578073e-08,4.445685960038678e-06,3.9998202130682066e-08,0.001186997934117948,1e-08,2.396298123505778,0.0009028913175140691,1.0897581174089603,2.450945016922837,1.1565358438951827,90.91831025538609,3.1201027856898804,2.6711668268300883,6.686862723507602,8.359749874568985,4.183098424983794,2.2014773839624318,36.30555727073603,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.570166e-03,267.99,,1e-08,1e-08,1e-08,0.00013666996308896745,1e-08,1e-08,5.948877500783971e-08,4.214245764616433e-06,1.9999696972339236e-08,0.0037318810293160785,1e-08,1.8418574355520025,0.23253767052875482,1.3291403415442844,2.4287776200385296,1.1997708856798457,92.44913860107917,3.1201027856898804,2.6711668268300883,6.526388352104799,11.806168427546972,4.240697092520231,2.3448874047556703,20.13689559305093,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.009371e-03,271.62,,1e-08,1e-08,1e-08,0.00014216159215798887,1e-08,1e-08,6.406900911872556e-08,4.488062227860416e-06,3.9997815613348815e-08,0.015558331102526624,5.987905005223525e-08,2.674102547447076,0.8610910959742014,1.642829355603184,2.4525193600924853,1.1778434180075898,82.99375376673582,3.1201027856898804,2.6711668268300883,6.560297828055273,9.329642357340553,4.205452132542225,2.2332283243651654,28.360174663991657,prompts/adaptive_prompt_3.md
