algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.845537e-02,0.00,,1.420195182703014e-07,2.9404122183052823e-07,2.424824665937834e-05,0.00041539426713026103,0.024899605143249653,1e-08,5.372434089856749e-07,1.75336036867877e-05,0.001997054987055005,0.0005873080406761914,3.413339138102844,1.7453649705993193,1.381109053202244,1.3433360499651166,3.9045846040144316,1.0845124570530698,591.3092711022641,3.1201033858607303,5.4039792857519915,31.51106656756194,23.4255994692105,4.50559711779437,2.319559894862537,19.065948675953727,
variant_01_idea_0.py,variant,1.346615e-01,231.38,,1.6671093143986007e-05,3.5687520712136785e-05,0.0027895206892906937,0.015672934961944284,0.09937588261357874,1e-08,0.0012587931270774074,0.001483449044201168,0.02974523457877559,0.056486592117503426,4.164459776278869,0.8944049680526451,2.1894966471242596,0.90055298376332,3.984978154427414,1.1478432401831233,457.25451971565866,3.1219410793600924,2.7438167394190924,31.130163607954653,20.2901652133359,4.552098597162994,2.317815363761161,17.776996446174138,prompts/variant_prompt.md
variant_02_idea_0.py,variant,3.165742e-02,208.42,,1.0749257560544109e-07,2.8959371771632e-07,2.5608082641600712e-05,0.00042029918163679096,0.02484199914489751,1e-08,5.370226612387703e-07,1.7611055821172108e-05,0.002020407095146796,0.0005491246638760374,5.731154760460919,4.18510857227533,2.4607087254963593,1.6419885064992565,3.5866351380804957,1.2799956970437432,392.61714021579894,3.1201034362928013,14.328029450806689,32.226075819646596,22.249403350815797,4.465616059349744,2.454104460113719,19.15735172219182,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.588482e+02,197.09,,42.09884728416136,100.50318224695516,387.5686008203249,195.86323322218496,4.581607343067299,398427894.4562275,2182.2168946773236,241.53367390404316,38.5136601982155,97.1782127451221,88.81272573198305,277.616728695054,69.24715936152052,27.239602805216258,6.806328154876604,3.453104853569461,2286.5086236728685,36202.21797640724,39.01673408136454,154.72001556915475,30.98742585472889,5.179741906472762,12.73269644371554,51.59739902605174,prompts/variant_prompt.md
variant_04_idea_0.py,variant,2.249314e+01,216.63,,5.706037287491338,7.199510246269854,6.218129780628472,23.36067349062531,1.7794030446441365,388.2089398049961,286.1450401757945,8.736802536214554,2.4944809117149584,7.192544569744586,61.73363454300103,144.47059274138292,50.460981050470046,11.5449392504638,2.7922738716589177,3.2176305110029633,528.5931752014577,10476.888974610627,27.969614594956084,31.43053635402903,25.610864989018275,4.624588224708019,2.908083667763896,19.43752769570236,prompts/variant_prompt.md
variant_05_idea_0.py,variant,5.263594e-02,208.73,,7.90327174401617e-07,1.3529377412422453e-06,2.5576673784821763e-05,0.0004119940903004541,0.03188837765403191,1e-08,5.612610249281826e-07,2.3487162155622914e-05,0.0019784571843289157,3.687014034408946,5.77013645261073,2.991330436513982,1.3504286121342133,1.5547081231930227,3.954650696529302,1.020905346549113,516.4956721943856,3.1201097878590915,13.580293448380367,29.015285525150063,23.633547821891177,4.474315701160629,2.9124384663348355,20.69091048033373,prompts/variant_prompt.md
variant_06_idea_0.py,variant,6.477496e-02,213.74,,2.861477503722427e-06,5.350006161645741e-06,0.000423267538365066,0.0031555084788838835,0.05720950923764535,1e-08,1.1371217559891196e-05,0.0002369101497119474,0.009476586382751138,0.0022672026522890876,4.834604726906057,2.803939232109866,3.740458998273228,1.8484211781079,2.6582278205943477,1.4643820949976287,309.93810780730416,3.1205191637483605,5.892330103319755,17.319803495023645,18.207642493464625,4.484039246738795,2.24027670445995,6.675497174687962,prompts/variant_prompt.md
variant_07_idea_0.py,variant,3.863747e-02,223.47,,1.0871396090388075e-07,2.988239386042303e-07,2.693619012330547e-05,0.0004157774973925201,0.025481845255610293,1e-08,5.796777780075317e-07,1.8023590376625604e-05,0.00204099583421821,4.066137125655134,6.032105125124852,2.288184372050584,2.1954123116105673,1.8460648678457212,2.721626984055823,1.2721783920873688,303.1440446744226,3.1201035316665866,2.6743286867539897,22.018781901604488,20.196872049260197,4.473615845586871,2.4833287820818915,6.296886621075259,prompts/variant_prompt.md
variant_08_idea_0.py,variant,9.816054e-02,232.84,,1.1148953366755612e-07,2.574046150528041e-07,2.72975309494467e-05,0.0004445991116623088,0.025707110045005775,1e-08,15.295684768429204,1.848940670243713e-05,0.002110189774486021,6.63821113678196,6.0055471430813485,4.3572293666293875,2.3634041722266987,1.3525591259365248,3.6228874096890973,1.0783836655491268,642.3688304921566,3.120103463464126,14.089131794426336,31.122335365256426,24.103289918117685,4.521143566615074,2.5117115636521805,22.968711000984086,prompts/variant_prompt.md
variant_09_idea_0.py,variant,9.203608e-02,212.05,,1.8146538228558655e-06,4.173478429194245e-06,0.0003933821935540859,0.0031554395420426667,0.054959559670037225,1e-08,1.996921384259568e-05,0.00021642249690886713,0.009239473000266346,1.0862617034627984,6.277202905328103,2.3961400771646604,1.707132999672565,1.590958067599443,3.165793180214703,1.0771689612998214,772.0415709123712,3.120114030139343,10.724109507397907,31.15739626372661,24.770153728120352,4.429609158143943,2.576554302129243,19.20888422655248,prompts/variant_prompt.md
variant_10_idea_0.py,variant,3.396628e-02,214.27,,2.835272744605672e-07,4.756850995118413e-07,3.5189222918046406e-05,0.00042009937422323015,0.027746599497069875,1e-08,5.154168299288121e-07,2.029990265436583e-05,0.0020043544579317666,0.0005840267274133664,5.084738431320462,2.4286500990757087,1.9989738983493393,1.726690420765094,3.460246600935193,1.162053296906558,588.830562687747,3.120105005750002,16.09863184400573,30.80416349345358,22.94410464749263,4.536014229141675,2.733020871974622,18.478746442959974,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,3.034064e-02,195.02,,1.1049738560030938e-07,3.029684459881944e-07,2.5375882907268367e-05,0.00041792115530935086,0.024932454803797396,1e-08,5.170447380162973e-07,1.7212142350307777e-05,0.0020079369046549973,0.0023987515631593093,4.686264561186546,2.2284223057363906,1.0895962543027893,1.2626053808194626,3.4843132852539282,1.071352418275226,273.7021459595852,3.1201035276753113,14.71436217931667,35.1529580330566,23.596023285410368,4.557998784983102,2.351363674437798,16.29198182444549,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,2.964690e-02,199.72,,1.0841585849992733e-07,3.0053142278388635e-07,2.531326760883044e-05,0.00041848072308201244,0.025207730188127313,1e-08,5.36189049419267e-07,1.771323850372782e-05,0.0020294842176489824,0.0008135174298403865,3.574866266775764,1.3089847087549784,3.661660467170226,1.555407105068702,3.048406627718113,1.1279551445233,454.12818333084994,3.12010347694758,12.060053847925499,25.86313868077691,23.194157831864793,4.502107915615747,2.415439636332447,15.252666864033511,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,3.263435e-02,199.09,,2.3772557471179705e-07,4.553027949177908e-07,4.159516911226564e-05,0.00043195051563069787,0.03228379880693416,1e-08,5.726181733034597e-07,2.5205522728081232e-05,0.002355399232774398,0.0006053878920132468,5.693209587808246,4.463509178266115,1.965919543691911,1.5127758723936224,3.8794633226927346,1.0126614511727943,290.16345245681515,3.1201050459928026,6.844076860267259,27.981007396676993,18.98155304665916,4.526282657048461,2.210913689249032,16.852268130200645,prompts/adaptive_prompt_3.md
