algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.845537e-02,0.00,,1.420195182703014e-07,2.9404122183052823e-07,2.424824665937834e-05,0.00041539426713026103,0.024899605143249653,1e-08,5.372434089856749e-07,1.75336036867877e-05,0.001997054987055005,0.0005873080406761914,3.413339138102844,1.7453649705993193,1.381109053202244,1.3433360499651166,3.9045846040144316,1.0845124570530698,591.3092711022641,3.1201033858607303,5.4039792857519915,31.51106656756194,23.4255994692105,4.50559711779437,2.319559894862537,19.065948675953727,
variant_01_idea_0.py,variant,3.085055e-02,209.78,,1.299860904012728e-07,2.943745190392588e-07,2.4993496012574376e-05,0.00040608943971292644,0.024864508643236145,1e-08,5.298949284001255e-07,1.7247004353267868e-05,0.0019655312686344614,0.0006452289174206121,4.629204245807934,2.186782515610095,2.1693216776313737,1.4355556515475998,3.3993267371444396,1.1515942399247852,563.6807605314591,3.120103372021511,13.43709558018975,37.227013245337965,22.661305677002208,4.447769836148137,2.350090798590371,19.19383628355249,prompts/variant_prompt.md
variant_02_idea_0.py,variant,4.962297e+02,269.51,,102.82231298069628,185.5011875401349,891.9595137832456,349.74180787678466,5.944708170413864,7618754733.465368,9894.329440844924,480.01608301813593,56.747183050544436,419.5349541031426,504.2973053409686,1966.7482815036087,322.92269734618714,60.4182656787937,20.344649691830075,4.473568697404949,33465.99904352448,314519.8232221148,94.32467282160636,583.1779101286602,74.2984825778375,5.997046644353941,23.588820173018206,152.18883840099767,prompts/variant_prompt.md
variant_03_idea_0.py,variant,2.981955e-02,189.57,,1.3634838451581452e-07,3.0302673000318366e-07,2.4767766632105e-05,0.0004206863454429094,0.025260324673915268,1e-08,5.638407284220271e-07,1.800693023810562e-05,0.0020249734046039547,0.000592776345277453,4.3770879244330905,2.0074594856857555,2.2850424532375464,1.563107626520242,3.8630993300709258,1.0237804174090273,407.9408815306191,3.120103434244214,5.591664177875979,34.00631796646492,23.499326620656706,4.511120684471498,2.695416161906015,21.478980318644133,prompts/variant_prompt.md
variant_04_idea_0.py,variant,4.905838e-02,220.53,,9.075975099176705e-07,1.509460085586745e-06,9.476534578506473e-05,0.0009062520884761068,0.03794738889260052,1e-08,4.2749215999255487e-07,5.923577205635256e-05,0.003912909023235184,0.0005236554226069459,8.020873034225652,3.5825117695779958,4.2555102629949,1.828526683227852,3.810372410576821,1.922639040448504,536.487470244438,3.1201066861583033,19.966170232304982,35.662381170195616,24.03548370510814,4.5331597916689335,2.908406889403536,26.350730086559867,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.996292e-01,221.07,,6.445350932160517e-08,1.906935917896405e-07,2.835569666398928e-05,0.0003666232762649269,0.023824327083122016,1e-08,20.06408767320911,1.8433402299963458e-05,0.002141736325674281,3.2922018624950242,16.72470288144043,40.21027572561101,16.341500575143986,10.001034088296027,3.3969348568995454,2.7396080312948743,1331.1886171040705,4306.185728916638,28.914591601447032,35.95178111891912,25.75272371468272,4.64959923557366,8.782622589644356,31.535218406813957,prompts/variant_prompt.md
variant_06_idea_0.py,variant,6.161286e-01,201.35,,1.8697226722201192e-07,2.238106629615547e-07,3.484347677634774e-05,0.0003168757572421603,0.026613806354728608,1e-08,93.34389890423952,1.368145092061888e-05,0.0020969101977241695,7.445325459078693,331.1014743049243,1196.5887272329308,231.6206649291009,35.07955208594082,4.310232959106676,4.08175463330146,11117.884599095525,331955.92222128017,100.84320176292741,341.1868267920627,70.03512686837678,6.102265480041745,21.681379253394514,54.81949864726718,prompts/variant_prompt.md
variant_07_idea_0.py,variant,N/A,9.13,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.403490e+00,195.06,,2.7760420719680253e-06,5.1735476684565484e-06,0.0004646728574427282,0.0043231324038400945,0.058845714961844424,1e-08,60.43531004609585,0.00029663786828319354,0.00917570278013732,8.035867174840181,416.61196067531023,1565.908745266078,264.23178818673784,57.08438171816416,18.948289320385037,4.218810989759203,26439.392181920153,312667.98976615793,99.3579688398537,477.81561001409216,68.30412793622486,5.998400389287121,22.871626268577238,52.5560016300226,prompts/variant_prompt.md
variant_09_idea_0.py,variant,3.174415e-02,271.53,,1.6383961043631388e-07,3.1605454226110377e-07,2.6184411367388167e-05,0.00042383258761174053,0.02521752757589066,1e-08,5.745447198237537e-07,1.7916142961498087e-05,0.0020834218492276823,0.0006277012081361618,5.398537246776151,2.046317333889858,1.9307891326912079,1.7508795100178414,3.2430205138664228,1.1070716781192722,491.0932022601905,3.120103495579592,16.979685232351656,29.048784260890816,23.47369979057129,4.535657452329054,2.585762965416975,20.14388758850046,prompts/variant_prompt.md
