algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.571958e-03,0.00,,8.762112769269025e-08,2.3714948655795335e-07,2.2357701490232502e-05,0.0003471579276395242,0.023894023312434214,1e-08,4.1014307299012505e-07,1.3418832621769338e-05,0.0017538173273490723,0.0004805397850360424,0.005734143622499416,2.101046930474022,0.7497072393806793,1.3929738200840769,2.6418976738777764,1.031812858342682,3.999156277930557e-08,3.120103318440119,2.675705254722839,12.325578410674204,4.491001835939026,4.231938251076917,2.618660207618217,0.6387759912754161,
variant_01_idea_0.py,variant,2.646985e-02,587.37,,9.86764307803056e-05,0.00019234047455171007,0.008003736087997463,0.03350463557204843,0.1479017334124541,1e-08,0.001244928912093368,0.00460653554348142,0.054874716760570874,0.05150014269255519,0.0016425779475682599,0.00842077746431845,0.05121665939636521,0.06324457821274501,0.45296613236539873,0.7514344409758252,0.0003588142847883593,3.139038699858553,2.8309055963529457,4.596342079586931,1.4012295084516717,4.123960482627895,1.4774323630629416,0.06012811979627246,prompts/variant_prompt.md
variant_02_idea_0.py,variant,2.120914e+00,727.47,,2.5188343345346344e-07,7.988841087952407e-07,7.151878613728992,12.557782410426563,0.03334611345886683,757.2182791773582,5.0468635478756e-06,0.000125940929072641,2.8956320751655893,9.496704898275562,373.47803816489886,1405.3300593923925,245.42162237063005,8.40359413264036,18.324262965658576,4.2360265938157475,21599.866331356145,3.5033302582702546,2.7218983013178812,492.4159786507358,64.65810106373048,5.7462142390355755,21.72465037802056,125.10259188123173,prompts/variant_prompt.md
variant_03_idea_0.py,variant,6.800373e-03,512.95,,8.542509626070195e-08,2.519421982832342e-07,2.2452163364277517e-05,0.00034239177093393756,0.023763577478146895,1e-08,4.327217076947826e-07,1.3697990334532726e-05,0.0017293741051857118,0.0005002527299000241,0.010590087825284828,2.2377835745603747,1.240145752748684,1.1932117312451533,0.6308185923722135,1.1042452414730435,0.0003758999474120895,3.120103332701376,2.6747556048541887,2.5105195070332655,2.1044218862553445,4.251236606078801,2.4529859325581156,0.11239635659426568,prompts/variant_prompt.md
variant_04_idea_0.py,variant,N/A,652.20,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,prompts/variant_prompt.md
variant_05_idea_0.py,variant,N/A,9.90,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_idea_0.py,variant,4.718822e+02,652.55,,101.09860161258021,190.0670961266426,828.0199108521489,340.1160432757211,5.937699274862661,6604098454.1248255,10848.777994981741,471.777335280673,55.95670938736937,442.1227942422872,409.68631800046467,1675.428896045561,272.3719642923493,57.46136970648187,20.476486674236753,4.3474035809775735,31731.14694275197,272557.17596314865,91.90484667980574,547.5474742419044,69.03344889728902,5.9673863961831675,22.801842430200512,141.45642357818392,prompts/variant_prompt.md
variant_07_idea_0.py,variant,2.200685e-02,637.65,,2.482633016266498e-07,6.776698310970954e-07,5.203513249339851e-05,0.0023429785164197424,0.04230568680840651,1e-08,1.518536055321668e-06,3.8328569566649544e-05,0.003099980245294756,0.0040124513635432435,5.872690244584761,3.761541787172415,2.4054277343072417,1.4966983520382857,8.410296247901373,1.5420499522042384,5.771247361188223e-06,3.120104904982212,2.6755390143294178,101.79548200922629,6.27130246249573,4.214261648786108,10.845406271948825,18.27823180151017,prompts/variant_prompt.md
variant_08_idea_0.py,variant,3.760327e-02,706.94,,2.0761415622865806e-07,6.504754761787423e-07,5.059301314204091e-05,0.0007900754390182579,0.031026169351693215,1e-08,1.5994637888210564e-06,3.714847399283475e-05,0.003405767139268093,0.020264206911714686,5.134447423801965,6.993041624537463,4.696245760667403,1.239069573720462,10.928664477921297,1.931567378172632,0.032523955059414106,3.1201051281300964,2.679025981191939,130.02294235356425,23.599305998325484,5.268591660183775,14.670038383448638,32.711556243299405,prompts/variant_prompt.md
variant_09_idea_0.py,variant,2.409374e+00,706.58,,0.0007714915934949723,2.1837064594126273e-05,2.9413644675771757,1.0129432507578335,0.5359389761013591,0.008541451727933575,1.569015443271455,6.699690512616577,2.5283280897673803,2.7051410552825206,206.6664245649093,15.875598411752652,230.28967195421214,23.9830247636466,2.535014409072059,4.300791013612749,0.4996233249260379,27.21336209158644,46.55715522032997,92.26902427094628,49.79872482799306,4.139350485349254,21.987368952359542,1.6950843746219078,prompts/variant_prompt.md
variant_10_idea_0.py,variant,2.202214e-02,701.12,,1.0177352075190468e-07,4.6366203927373505e-07,0.00021668165888474655,0.008545052420056052,0.0323584488780458,1e-08,1.4389411453070272e-06,0.00010162998265552058,0.3887886225088517,0.0010780443584462464,4.382725317648391,1.0268841301477165,2.770215674874579,1.1841889714100544,11.444299721743983,1.9028547324297878,1.9887736918052922e-08,3.1201046550775295,2.675975075575709,185.93198668174352,15.055110210905987,4.922087068696628,12.890724193066921,10.302845185185602,prompts/variant_prompt.md
