algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.547114e-01,0.00,,4.2599137632097513e-08,1.7862800765458333e-05,1e-08,1.37811692116557,1.9999984959467262e-08,4.452707701521515e-05,41.738172744276085,0.05894092721551022,0.0354502367068394,9.404177517877205,1.8703059589701416e-05,27.296581618610816,0.11888630802014329,2.4493210307840467,8.226955252297365,3.0552144444380644,1018.8659488079844,4467.851554468375,32.1218650153045,135.6590688618876,23.91088566836445,5.288897717875286,13.485067126623292,36.52570437854213,
variant_01_catA_t10_idea_0.py,variant,4.852068e-01,985.66,,4.3784631858781734e-08,3.863778356363531e-05,1e-08,1.9657930626052753,0.01687626009371962,0.0003312927009094441,39.09578957350294,0.08887188987062801,0.07304890877516355,9.202649661256295,0.00011362419082770777,163.18868473906744,26.704935023184582,3.141570448438591,8.838531887794415,3.216237753351611,748.1225335080169,6736.897267227175,30.798741253609425,154.65605760092265,23.61698267129661,5.176452780569788,12.089985579626063,42.54231943581367,prompts/variant_prompt.md
variant_02_catB_t09_idea_0.py,variant,2.832168e-01,1243.31,,4.696067357601893e-08,3.990669341789609e-05,1e-08,1.6920757344816868,3.999991493266386e-08,0.00022738893318238916,42.31173416900822,0.07617608114700239,0.05843355483896022,9.458777696687225,0.00021603149555072404,186.4660521277585,43.824016519134894,4.122282128217717,8.894505929192592,3.257215234167049,722.5381115377277,3851.536255126656,30.78671106054146,138.17138007639866,21.36937056693134,5.2744114545185194,12.464823894255092,39.37193912878664,prompts/variant_prompt.md
variant_03_catC_t19_idea_0.py,variant,N/A,8.86,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_catD_t21_idea_0.py,variant,N/A,659.13,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_catE_t14_idea_0.py,variant,4.864729e-01,941.61,,4.618062377923711e-08,5.182390538079212e-05,1e-08,1.577421425371315,0.016326392335937606,0.00022643569720144096,38.827638070451094,0.12834904941079767,0.04961726638974941,9.2749123020286,0.00023631083407092,175.26086717740867,15.919956254494698,3.544424452040514,7.689910155385673,3.171934211783568,823.3909561398342,7158.030078924927,30.789991532816604,149.12141851753788,22.838570386981214,5.292242245372479,13.85561802384315,37.32277648789145,prompts/variant_prompt.md
variant_06_catF_t04_idea_0.py,variant,1.626090e-01,937.88,,4.247144928543942e-08,3.3213153055522924e-06,1e-08,1.0778800608050179,1.9999983618708766e-08,7.958341063434102e-05,39.7409276081466,0.04092578378152988,0.027967470945072063,8.869823220511066,1.0318106808447729e-05,67.83729550315616,9.034829349902184,2.7062626516947637,7.845887153599773,2.9995069775943985,661.0267081953943,1609.4554309083096,28.507907916599766,157.09156917458577,23.131084644036843,5.144343314245799,12.823065606710811,40.85552414829318,prompts/variant_prompt.md
variant_07_catG_t12_idea_0.py,variant,2.591927e-01,6332.74,,4.103001027723523e-08,2.7662722456177473e-05,1e-08,1.8312436253212603,1.999998676884079e-08,0.0003986645171946284,42.28260640708542,0.06989025522338731,0.053308564919705995,9.520866635649968,0.000260393491641906,117.96470017396625,11.132624578349327,4.1033879321629065,8.718582184730046,3.248321295506948,895.3838241447522,3528.6881749725285,32.273842203937974,127.16408918913785,24.470271317921664,5.178481588797005,13.29893880750326,39.15555307322501,prompts/variant_prompt.md
variant_08_catH_t12_idea_0.py,variant,1.387073e-01,907.29,,4.388407470832834e-08,5.530550127050054e-06,1e-08,1.152365253786828,1.999998489176475e-08,1.1918827363654033e-05,43.581657691097504,0.07088215008689555,0.024492799654824454,9.492885891351289,8.349810814344779e-07,77.64799799362136,1.0465849355364747,3.518919929111134,8.096380994283953,3.001913857452005,506.026626862601,6083.630169543715,32.934566326391845,148.40782494511612,25.208103372207393,5.206456845735297,13.128655269567144,35.706625683732305,prompts/variant_prompt.md
variant_09_catA_t10_idea_0.py,variant,4.507299e-01,968.43,,4.622549885546388e-08,3.56328894083301e-05,1e-08,2.126471489453592,0.01734497038640994,0.00010370076969211988,38.582919450320674,0.07340727937216564,0.0643978747873215,9.254816811850045,0.000127874067752337,117.36967735502732,11.056539896586486,3.172990839757773,6.541266887994617,3.097638230253878,980.9776645628859,11631.273572599453,35.62045930023387,143.1592426799022,23.723777778759228,5.212423422204996,13.984362132639298,43.29923354492003,prompts/variant_prompt.md
