algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.387073e-01,0.00,,4.388407470832834e-08,5.530550127050054e-06,1e-08,1.152365253786828,1.999998489176475e-08,1.1918827363654033e-05,43.581657691097504,0.07088215008689555,0.024492799654824454,9.492885891351289,8.349810814344779e-07,77.64799799362136,1.0465849355364747,3.518919929111134,8.096380994283953,3.001913857452005,506.026626862601,6083.630169543715,32.934566326391845,148.40782494511612,25.208103372207393,5.206456845735297,13.128655269567144,35.706625683732305,
variant_01_catA_t11_idea_0.py,variant,8.168185e-02,956.45,,4.047460879495473e-08,3.7632553963618296e-06,1e-08,1.3507264341094156,1.999998287586684e-08,5.302146493023117e-05,36.93391036793494,0.03055360535313355,0.031108844427029426,9.380737889172707,3.5229973753662358e-06,9.911677415975198,0.03333954768076478,2.5029939707603144,6.274370272204095,1.871657984450807,762.5175419126422,6.613991462927702,22.910579732739503,145.4024617121131,11.028243814439088,4.940196105888092,9.4723343332509,36.50105105498668,prompts/variant_prompt.md
variant_02_catB_t19_idea_0.py,variant,N/A,426.42,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_03_catC_t06_idea_0.py,variant,N/A,482.38,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_catD_t01_idea_0.py,variant,N/A,440.03,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_catE_t13_idea_0.py,variant,6.552219e-02,917.05,,1e-08,5.969281949601707e-06,1e-08,0.8913524159896302,1e-08,2.3990358716656625e-05,39.186365686376284,0.044847358708384834,0.029179697325928546,9.131829415561684,1.3372970934139207e-06,10.476689149621034,0.028678734098610176,2.447322030417727,4.119018343044906,1.5257168560022496,808.892413178401,13.633163524964287,20.804257443820518,34.514843765985496,16.72510252462264,4.683035887449962,5.43549843231125,31.481147272325774,prompts/variant_prompt.md
variant_06_catF_t17_idea_0.py,variant,N/A,435.82,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_07_catG_t17_idea_0.py,variant,1.233619e-01,1062.96,,4.34808730198747e-08,5.909217998387107e-06,1e-08,1.612893435864188,3.9999907465915556e-08,6.694066906713532e-05,37.25904653359927,0.06914238561584743,0.042639020435584624,8.978418092594056,1.6018724051698164e-06,18.071891405722724,0.1388718008208811,3.055308073697117,7.286707959089581,2.9318009422281484,898.7818431185483,263.141746491732,24.873810747980617,135.27045608370202,24.373188035449072,5.1311410914916475,13.171646384901294,40.98780455858316,prompts/variant_prompt.md
variant_08_catH_t17_idea_0.py,variant,N/A,919.38,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_catA_t17_idea_0.py,variant,N/A,451.20,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_10_catB_t17_idea_0.py,variant,N/A,902.60,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,4.076419e+02,3135.89,,107.35700103578829,198.73918789446756,795.48882409372,337.10782324271815,5.949447705074135,6534220578.976627,8048.323110262069,454.1822710268787,58.04254493700383,233.7221250689292,299.33020376497683,1469.857270335312,203.1510973114935,55.24645614441038,14.679937087064925,4.248789883660201,20288.378757012546,266128.01265962236,86.72810282835358,377.311335130734,50.907431605669785,5.92334154880579,21.20768232924302,115.49008210473107,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,N/A,8.65,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,3.491398e+02,3392.28,,59.91117737375605,162.63372477288127,615.0430799783802,307.4795395145434,5.122591226894818,1213614665.8216777,5995.885274950276,316.8024614405408,46.689543877613424,217.13367693647243,346.255468715443,1744.1732346085153,226.23910278811303,50.28126050349822,15.583257789573672,4.376427681476844,17567.90768344209,267149.3162755956,79.66651129788686,387.57151363856894,53.97928224920688,5.898327135635908,20.974635297169783,107.62042777690878,prompts/adaptive_prompt_3.md
