algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,6.444338e-02,0.00,,1e-08,4.732815671892069e-06,1e-08,0.9212032513472225,1e-08,2.156516632091784e-05,32.69601751730176,0.06172597435817722,0.030567839137194127,9.312888731643929,2.7354696882498163e-06,15.076109325865447,0.008126949508053297,2.527304281832671,3.509647972093902,1.7219430437671246,831.9954721552652,15.435697666439033,20.383566457891817,33.428502511971686,16.58604660672481,4.6329220212215585,4.804776888696888,29.460173773541072,
variant_01_catA_t13_idea_0.py,variant,1.303592e+01,715.27,,0.0015137061831793164,7.910662468799408,0.001996612017745694,6.023597125092098,0.46264131604231745,516.1905445570951,119.92462212367963,9.80723675149342,4.640817140682894,44.83496141903168,1.9815753302945969,369.83965741053674,18.57860891353556,25.577278671488212,3.783968096109765,3.3602966099505767,2001.277164436424,47084.101628537006,44.54582232857214,77.95850627261176,20.21652445557058,4.725960553030092,10.956167699931463,45.430754561461825,prompts/variant_prompt.md
variant_02_catB_t16_idea_0.py,variant,1.220614e+01,779.88,,1.824411009510411e-05,1.3732598508663263,0.0004946953622964074,21.449478818830702,0.46056690718357435,1095.9085646886438,328.45908003796103,12.729132259452182,3.933043895357398,61.56545960676215,9.111830108924488,292.3216409324749,31.649179208326252,14.151790946307843,9.22329320480358,3.3942152535872863,1490.3533918456756,14564.1465912961,37.06016136505341,171.74092436284053,27.60499011790351,5.241558664562968,14.638594458848592,80.58832970946729,prompts/variant_prompt.md
variant_03_catC_t19_idea_0.py,variant,1.214315e+01,1522.79,,1.3241429795310116e-05,1.4683908769768126,0.0002750328209579282,17.11944553020729,0.4389832853645014,13107.25056461179,376.7928895435869,13.515236515955584,3.3979876711019177,43.499230671342005,11.924678398870888,214.69870416898206,39.20987128163733,12.842731521338072,12.3291206183852,3.4007451497536296,2097.440965506054,1957.0543343741308,27.352557170818688,212.51115227908667,28.450719352829505,5.345709811282092,15.604520385851405,87.06786163404836,prompts/variant_prompt.md
variant_04_catD_t11_idea_0.py,variant,N/A,8.79,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_catE_t16_idea_0.py,variant,1.376393e+01,2963.20,,0.00018103866802625116,11.171598844289012,0.0002994880519427406,5.001341605405369,1.9958753565933143,2456.7009938082624,94.50731203288089,6.0542490783497325,3.5966094714875543,52.33449052310623,1.5664248480043672,465.7457570159112,10.440559910458592,33.04660387334597,4.144672654276425,3.658961086089625,7406.114227454077,74255.3618883468,50.05617072326899,154.5499455035376,27.332119822123847,4.678000646030843,13.16274928679262,48.87562651433901,prompts/variant_prompt.md
variant_06_catF_t05_idea_0.py,variant,3.624799e+00,1204.27,,4.7182731124052156e-06,0.7719253139276606,0.00017315931129670024,4.304966268562746,0.2851760371445803,118.77550551136775,106.95505612456887,5.651086456205993,2.6529460850339484,19.194585750233312,0.6061166997433545,18.6992672319145,4.555230274275842,3.7738658660901887,5.517623697557126,2.084738462900722,575.068588104605,518.9781196810986,18.705058478382185,45.4986209574675,15.15712307445839,4.8851165503022935,6.923362003469746,32.0511672054985,prompts/variant_prompt.md
variant_07_catG_t05_idea_0.py,variant,N/A,8.79,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_catH_t05_idea_0.py,variant,N/A,8.87,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_catA_t05_idea_0.py,variant,6.916415e+00,3591.77,,1.0670811352852221e-05,2.064013173086243,0.00022399782811346393,3.868879726377084,0.44311850963753513,201.3284964432035,372.9769056879526,6.171749330416309,1.9798422088061542,13.516639402966131,1.1983753903558014,101.08841905277782,5.461437101253962,11.939571291841164,9.505528195133591,3.203590399636297,1953.279074963587,4645.527748628822,20.25557321772344,207.25756560354938,28.54975754242366,5.3621098997833645,15.705705896671104,62.13529027130571,prompts/variant_prompt.md
