algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,7.072456e-02,0.00,,1e-08,8.16898901770328e-06,1e-08,1.2235751034233207,1.3333327109128204e-08,4.418368677174046e-05,44.452278075729986,0.06746527039941942,0.030043599053739517,9.579153533618197,1.1079416884224929e-06,15.38927997934177,0.020010509798992132,2.2429927713329896,3.7646457968232943,1.6606621791949865,862.0800192833893,7.835860941900535,25.058868520380265,45.41112343717446,17.928935284581566,4.574629043104861,5.186078356166243,30.853074928575243,
variant_02_catB_t12_idea_0.py,variant,1.937258e+00,1049.96,,1e-08,2.7388760897176936,1e-08,2.9352458244779385,0.027604184068630903,236.52051159713204,67.61966765670795,4.363945260119769,2.4564553174024892,37.50781608041726,2.8066483665041003e-05,387.57692101962726,7.8220312763563715,16.28079067328321,4.48049602285104,3.358594709948567,1648.4305858153234,11970.979805363137,36.74685442161097,77.48640123272473,20.914950754884067,4.568489941018606,10.013495694091324,48.81667117544662,prompts/variant_prompt.md
variant_03_catC_t01_idea_0.py,variant,7.716540e+01,924.28,,0.6759968859467698,33.8750644382511,7.316484644368156,81.32841820220541,2.656889870215889,7274032.949810911,1262.1360086363045,80.21834786562917,19.163001366970757,130.3009552399795,3.1287950705858143,440.5214303331613,2.803773804859718,47.05049429109157,6.199206507921282,3.584328201147501,13473.582865373319,195026.91372434597,65.59274677894221,204.49792959884041,34.38830148752359,5.286498449425299,13.040322547155796,88.39927537437754,prompts/variant_prompt.md
variant_04_catD_t14_idea_0.py,variant,N/A,8.86,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_catF_t05_idea_0.py,variant,1.572041e+01,947.81,,0.0035505858045825505,8.618776911062326,0.05452199836450307,27.652410833319045,1.7902856807442302,113965.03716400126,586.7100148851446,29.146929441478807,7.0137325868291684,24.823384392488602,0.056731192839987156,67.73877402691343,1.888056793795013,14.906163206765623,3.8983213685064197,2.462724294149953,1857.6469030948458,22857.15105480288,39.28097672696447,48.32769272881458,18.957237688949466,4.629511748149028,7.048568343687983,35.764553295944815,prompts/variant_prompt.md
variant_07_catG_t05_idea_0.py,variant,9.992887e-01,18587.18,,1e-08,0.04512007510198888,1.3324042838635275e-08,3.8907021121785634,0.061362156569627194,11.058922179186412,33.247439467827085,2.6105465911108183,1.2480207243645904,9.409576800287931,2.0469859628267803e-05,258.8038341196989,0.012889449344961033,18.63379526229208,4.32554007472192,3.0134583695619797,2233.588197851636,18413.359448179835,37.06845136710315,68.3162455232561,18.313455775430413,4.68966752706566,8.023681941427709,51.04783432257884,prompts/variant_prompt.md
variant_08_catH_t05_idea_0.py,variant,N/A,9.07,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_catA_t05_idea_0.py,variant,N/A,8.78,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_10_catB_t05_idea_0.py,variant,N/A,8.77,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,N/A,8.73,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.415847e+00,6431.94,,1e-08,0.05478669772011536,1e-08,2.5773277532649073,0.09901850284518318,10.933277993156162,36.63305280530022,3.1036887972897715,1.4753557309327887,9.389324568121761,0.002152786008559496,78.59939875998644,1.1152692628720517,15.597136342501233,3.966194568107546,3.1060050806523862,1965.2006567070246,24843.06756477489,37.34322431611099,51.77105032409548,18.2089094476989,4.7057121105119215,10.898503561875076,54.72570193133648,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,N/A,8.50,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_3.md
