algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,7.072456e-02,0.00,,1e-08,8.16898901770328e-06,1e-08,1.2235751034233207,1.3333327109128204e-08,4.418368677174046e-05,44.452278075729986,0.06746527039941942,0.030043599053739517,9.579153533618197,1.1079416884224929e-06,15.38927997934177,0.020010509798992132,2.2429927713329896,3.7646457968232943,1.6606621791949865,862.0800192833893,7.835860941900535,25.058868520380265,45.41112343717446,17.928935284581566,4.574629043104861,5.186078356166243,30.853074928575243,
variant_01_catA_t08_idea_0.py,variant,6.883004e-02,1053.48,,1e-08,7.978582938896336e-06,1e-08,1.4194911373628902,1.3333329527968237e-08,1.3352651498226991e-05,35.97318490498367,0.0707334129588712,0.039432646548805114,8.859107540488823,9.276675811570066e-07,14.885477166309416,0.0170920547974126,3.253061382742899,3.750762602868417,2.336555585110043,852.9037433216618,6.570366402298053,30.61471447735363,56.72915826200849,13.725085611705374,4.6303796892574125,5.175732458874315,33.1124973048147,prompts/variant_prompt.md
variant_02_catB_t15_idea_0.py,variant,8.144431e-02,913.53,,1e-08,4.708358448204221e-06,1e-08,1.2690680300178052,1.999998287586684e-08,3.154281641996247e-05,40.26641546543421,0.0554923927766778,0.02835566500416696,9.506901022806108,1.3826830873223304e-06,11.482596062085133,0.03558761606324725,2.1216827652664443,4.388944779872393,1.579324578278775,640.6179938591725,409.23334762729854,25.368626738131816,33.143345701734596,14.73471602884088,4.573614735481563,7.311614819460392,35.40520299941115,prompts/variant_prompt.md
variant_03_catC_t07_idea_0.py,variant,N/A,8.80,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_catD_t06_idea_0.py,variant,2.128333e-01,1073.15,,1e-08,5.569528077428474e-06,1e-08,1.0829380438542136,0.011689925039024286,5.1953691562047884e-05,35.74456417658185,0.07069603463347295,0.038925196483037904,9.392405844571934,1.293596812165223e-05,21.647025666408183,0.21418756862122168,3.366475090953997,4.826967449227008,2.7951622471228412,872.2988329229294,4807.235452808523,24.124152169063237,46.60784665443687,17.707255174126207,4.680128298352873,5.576183333909452,37.15535647242777,prompts/variant_prompt.md
variant_05_catE_t23_idea_0.py,variant,7.299617e-02,1051.80,,1e-08,4.575325637468822e-06,1e-08,1.5695436748787877,1e-08,0.00010626390461982127,34.36438225919435,0.062367186217063504,0.028334345898137794,9.719548574357269,2.567797328695423e-06,16.01334920345097,0.031943963703120686,2.5411487054361324,3.8086253761735502,1.4678653483608048,483.0890364744313,8.235709764652556,25.021953451425578,38.93754406138259,16.281572051270985,4.545232136031344,5.65999229494328,38.387868511070685,prompts/variant_prompt.md
variant_06_catF_t17_idea_0.py,variant,1.770960e-01,1115.75,,1e-08,1.4367285188856757e-05,1e-08,1.235844609296705,3.999989992155863e-08,8.21273068871987e-05,34.35295397217398,0.12060000798827133,0.038422833913442,9.270672692911576,2.2145030280680025e-05,138.45730693221677,3.690165822730633,3.4973059043509487,5.028773143846503,2.5719004456174708,700.0243165969968,6630.954765205567,32.48555325874883,54.86157721515788,16.44725244602474,4.722086083151863,7.95432213848422,40.22974395147791,prompts/variant_prompt.md
variant_07_catG_t17_idea_0.py,variant,6.954348e-01,1152.47,,1e-08,0.00010311749916348071,1e-08,2.769435670514379,0.016740799759125815,0.1467354219803893,46.4383301001116,0.7274981335014148,0.27766239822177124,9.30271332015035,0.0013819722431403704,145.4031347278759,3.041393709450401,4.261931881141144,4.298495340033644,2.939473207927073,2011.4369929036093,7135.464724237124,35.22780882223079,64.22262136949027,18.733347468812905,4.619498279718767,8.143057704646525,35.517725591779815,prompts/variant_prompt.md
variant_08_catH_t17_idea_0.py,variant,8.306399e-02,1080.39,,1e-08,6.167382818046028e-06,1e-08,1.104162398215253,1e-08,1.9378522134194804e-05,46.732032351054116,0.048685652980198016,0.03473950921818466,9.307069845810327,4.375498495707193e-06,11.214273480235526,0.015650097854883714,2.889796412754441,4.34443336611392,1.6981550949120479,599.9693413280813,808.8107225894302,24.549271897936592,37.56740770510045,16.442216485400397,4.632997794134363,5.96462935744152,36.01433786210801,prompts/variant_prompt.md
variant_09_catA_t17_idea_0.py,variant,6.894547e-02,945.98,,1e-08,6.070654583912984e-06,1e-08,0.7375106171502634,1e-08,9.928790213120643e-06,33.1480505310742,0.05168187979412289,0.031754842325105455,9.37535388565812,7.828857173434345e-07,11.531087122780754,0.028509571307707586,2.5761362955809806,4.019594921690654,1.5524841788663777,716.2042953403612,152.67340480377192,26.424751938052594,32.62041104854145,16.5005936728998,4.54173864422183,5.821999683868915,34.49934827088386,prompts/variant_prompt.md
variant_10_catB_t17_idea_0.py,variant,1.116273e+00,1165.61,,1e-08,0.0007309607618936779,1e-08,3.115779310172562,0.01874337831869307,3.605270834999727,41.11651018579238,1.507909897119083,0.6622156338037597,9.46212172863017,0.05122572143606892,143.11443758528785,4.074175704811939,7.421121534462026,4.603869892710782,2.956742593234296,892.2344930404191,10307.87067325395,31.985760847335346,78.95528991011435,20.016768562571954,4.67830253786294,8.526375546283013,41.880357218738645,prompts/variant_prompt.md
