algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,6.984606e-02,0.00,,1e-08,6.852830896809409e-06,1e-08,1.2585482878506118,1e-08,2.870026276618284e-06,40.40446730207259,0.06274026379930248,0.03597107059756033,9.11232350013677,1.1416178046984433e-06,12.534940690678031,0.00620022601505529,2.4541854818191866,4.079528157327448,1.6840789736223694,651.3780744041394,725.917520465655,24.682712991534366,36.09632954161821,13.874437042267699,4.579532068719819,6.142519749784077,35.91965250267591,
variant_01_catA_t19_idea_0.py,variant,4.451275e-01,1017.67,,1e-08,0.021234971472026878,1e-08,2.622062028493816,0.013796550691677345,38.95761578184209,47.22622902949619,3.9726125099124285,0.38039676832819497,11.44115647193523,1.4036762674859075e-07,18.725896141589477,0.00019882708229528663,7.259797076390899,5.678620128668771,1.843783736085803,661.3232948379483,2725.3175777265233,24.515961244325243,61.05278018194953,16.74551444791141,4.717356203916404,5.462379916653733,32.40222391746184,prompts/variant_prompt.md
variant_02_catB_t23_idea_0.py,variant,1.892714e+00,1132.29,,1e-08,4.367619886735433,1e-08,2.0801319795491717,1.1481333275028465,117.45769003569067,567.9309142284069,2.794643851701783,2.6617698888994887,81.76430355961081,0.0005934241820961272,51.65336590513462,0.19071495209558015,2.9345559715038667,11.33898816520325,2.6002619931598634,2346.415164173034,211.16237977282356,22.421614635332826,172.1774024635092,23.831173281454337,5.3515608287911665,12.79538791879581,66.85740713257744,prompts/variant_prompt.md
variant_03_catC_t11_idea_0.py,variant,N/A,8.78,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_catD_t23_idea_0.py,variant,4.537192e+01,1019.06,,0.6883373365064543,5.765883996315818,4.305293912052668,28.519894507416,2.168498988144497,53416.953130303504,709.4229336188545,18.629924578385907,7.62480133910323,91.36827151504593,29.07588662473984,222.62246389803235,52.662458754265025,14.732818247800608,13.315373171696388,3.2304068947600673,3493.331055526574,11446.368798879319,30.618584334885416,247.65329046430088,25.831634164505278,5.605167932153272,15.376052080145199,76.43185514946923,prompts/variant_prompt.md
variant_05_catE_t11_idea_0.py,variant,N/A,8.78,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_catF_t05_idea_0.py,variant,N/A,8.75,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_07_catG_t05_idea_0.py,variant,3.323243e-01,1132.20,,1e-08,0.0009827189269519148,1e-08,2.3923257264829463,0.017646653642422655,0.15792640626204613,49.78677218543077,0.4386918234361,0.222687570454111,10.704359555852406,2.393643007039273e-05,11.455662900464082,0.06514048904302508,2.7993646363398983,5.569629036406848,1.801351548837075,735.0401319285938,4.249832775432381,26.862842268851274,81.3943706765115,14.609919612693542,4.866858644888517,8.612380997642543,45.99707911656573,prompts/variant_prompt.md
variant_08_catH_t05_idea_0.py,variant,N/A,8.80,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_catA_t05_idea_0.py,variant,3.803290e+01,938.76,,3.418374418165937e-07,15.73751211358796,0.00016098017810765237,70.54461277554721,2.635740424969348,7035683.873584718,3849.7323983328197,72.46216331547494,19.684439735476044,339.0533919707231,2.9683965971238915,1451.605902359662,11.211707586944714,41.32742419144379,20.443531835529605,4.434920893807322,25659.347082800356,171163.2011590634,84.83082415214764,553.0516687692676,52.12924149448275,6.008080562064793,22.836630472156322,149.12303692288347,prompts/variant_prompt.md
variant_10_catB_t05_idea_0.py,variant,N/A,8.92,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,3.296913e+00,1989.96,,1.0869471132332092e-08,0.7615502985482661,6.971686742457889e-06,2.5339680607910537,0.23865328014541515,110.96875527668941,102.88735097175022,2.6571074766979716,2.079849524476527,29.850041590690058,1.261088214616426,67.37706799033242,12.078712065057182,3.199166816386538,9.117761556238081,3.01276600968224,966.9035432670021,2746.275467879614,28.13628524568957,131.4536470225709,17.507465002242824,5.175094059237563,12.533664349706582,41.13977057702293,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,9.430572e-02,998.32,,1e-08,1.0008389358518623e-05,1e-08,1.7617803491368476,1e-08,0.00027334659034296765,38.68752381883253,0.03449414375967334,0.054274764253086756,9.493630343731338,1.5754938316695136e-06,9.614935844046562,0.013721963978091584,2.229355843600728,3.770144388597929,1.5390024367620787,872.5783965421004,2114.5373509922474,22.51972519052931,43.819108407040915,14.742089527859225,4.582254971688057,6.365051051043659,35.09889582729641,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.035435e+00,1809.13,,1e-08,0.4034134756317729,1e-08,2.3072459936824328,0.16826428042307984,19.449084606934306,142.32963243503914,3.3461929223452245,1.6830630283278123,24.024741364796302,0.6046238853113627,79.00745441207256,8.880285870960902,3.44783719430558,9.640359364990362,2.893069087860083,741.4879457555106,534.1681415011237,24.65723314014074,187.2025485367764,20.106180564739994,5.2406454334845165,11.7233356850397,47.32060004580996,prompts/adaptive_prompt_3.md
