algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,8.509166e+00,0.00,,0.1636075359513153,0.15493019498906557,4.121082887095043,1.3685436220627747,0.9403082607756955,0.3555987522579533,378.1561208070136,2.2083432753308907,1.7834257148099126,7.950909210129101,35.79500419380744,33.81415690172837,22.037030610058487,8.534861377392533,2.664622737916642,2.7827038950471703,362.782593599544,1982.7698962800519,24.232969896197826,25.54649548215173,27.817752304745976,4.580731612070002,11.590040612829773,33.04206043218363,
variant_01_idea_0.py,variant,8.988072e+00,269.08,,0.053375391239957284,0.056385177918172796,4.958887783368027,2.658385935998391,1.3164316693701672,29.859299896503515,236.59114272654426,2.8867508838661102,1.9400560037272707,7.4439085518309565,20.64961629601802,22.114649661857285,14.801123724674644,5.854455133581873,3.2960720512787343,2.6650833812447354,432.5323854728697,1246.1785782028135,20.914102558521538,34.93116948159751,24.40853475074035,4.529194917561603,10.660798364801652,31.138894803586762,prompts/variant_prompt.md
variant_02_idea_0.py,variant,2.907783e+02,267.10,,68.06257129818202,127.19241099284275,489.10808477407704,246.52194723358275,5.151262471249179,648537397.071672,3168.854835238087,326.96776909070707,46.639651062134085,226.31372672342286,245.50389470469585,880.5683425844636,189.7479104922542,45.31026314109822,14.484420837761498,3.9616555894563845,17415.132719816185,190227.82626565147,77.29660975686487,299.85873419769746,50.21241401465871,5.8305780562881875,18.273804254834083,79.8972297964479,prompts/variant_prompt.md
variant_03_idea_0.py,variant,N/A,4.51,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_idea_0.py,variant,6.333462e+01,246.04,,9.109618377990072,13.453044604531685,89.65113274560325,56.6172392278032,2.7809679440153463,2167580.2488456164,460.2328119741933,45.46656819191398,14.03115404173229,16.843500313673307,77.5717844510223,234.79199586203512,74.17042594790661,19.508329445327075,6.066518707101261,3.269398680095142,372.08957501901585,24513.089469927203,37.740503835413875,80.22779124727045,26.316252648681917,5.238534745278184,11.067908725410986,42.48865773061641,prompts/variant_prompt.md
variant_05_idea_0.py,variant,4.302300e+01,264.42,,6.320313923064985,5.0882073203691585,33.657307639310375,23.114916451279143,2.138145176688125,31025.552561400902,621.217929429642,19.751554662614314,7.179564721545354,44.23718660437761,67.73811036251038,145.44016771216516,57.438893933516134,19.826039341890194,3.872715868882387,3.2055570271776506,788.3180099628435,20064.047815167818,36.53348489490073,53.68369659377946,29.381221822543605,5.050680401926632,11.983992924807751,32.546225156681835,prompts/variant_prompt.md
variant_06_idea_0.py,variant,7.143863e+00,295.49,,0.05292890831201111,0.05088371826191359,5.082527151891911,1.9187881893228302,0.9698603765759871,0.9255960059895337,78.30375249879066,2.660498689422716,1.6844565069283994,7.591169458848531,34.6060317908179,33.55731602634517,31.13302181891815,4.833532162693392,2.981595644178841,2.804737211179739,273.68837091438223,857.9227845217339,21.357498776897955,19.686657999728094,25.53852258489031,4.5142027970048515,10.953667783636932,27.27991051656138,prompts/variant_prompt.md
variant_07_idea_0.py,variant,1.299890e+02,261.97,,22.74841268500859,43.533865981325135,227.25923521728268,120.83846774806646,4.0056223565743725,56372454.656952016,1249.6556116053612,129.5427662499392,24.98075752023886,104.13505071843949,105.09374198344847,361.95657157016825,92.92682557347561,27.280141406420114,8.406232968833816,3.4439560841153822,1886.0272539217276,49363.406990658754,45.96692449331692,133.62288512765355,34.41831876646547,5.440538822322343,13.259454489603327,52.84395909860322,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.044105e+01,280.83,,0.05815462698720242,0.04428100729789726,4.034607640037756,2.8916914610255837,1.199919218250621,52.12907543387462,38.91586963199903,3.0583194221024423,1.794772182466321,8.94324850925701,40.27522343258843,134.89249877295597,54.19928823147551,8.74822850880824,5.0448082981866404,3.0906788943868637,136.5525203137243,3623.4177726420835,23.84238675420526,67.55407946705432,21.583846164424404,4.94610581188502,11.177907571889408,20.54706343999601,prompts/variant_prompt.md
variant_09_idea_0.py,variant,5.417065e+00,272.31,,0.06250180402612772,0.285873488480302,0.452842463347066,0.2693288796972403,1.1858205288879804,0.05396233801393084,12.239141065264462,1.5277932638731664,1.2871290265394089,3.094095601700437,33.59821254269701,70.75991474759864,37.59563680785691,10.190593465309357,2.62739205037256,2.8661747002271603,83.77296210594297,7951.985329447054,27.870061217280583,18.13956868072231,21.56541595446859,4.608611247664078,9.497230053848181,18.00623156264853,prompts/variant_prompt.md
variant_10_idea_0.py,variant,N/A,4.35,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,3.362584e+00,266.87,,0.05156666515641376,0.04584981708333976,1.1174849635175417,2.254237459036913,0.5299135977176734,0.0004067603938637335,25.01028608447545,0.12178508666128803,1.0319108359845688,7.44138001650489,21.216348804971506,27.938191533030693,24.54459621541709,3.083726657503523,2.726670265440485,2.7108116742584856,112.02786215516736,1452.2266026338239,21.993004676555596,12.146465867899149,20.013330429061146,4.558811442257568,6.891245369786294,16.049391557974403,prompts/adaptive_prompt_1.md
