algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,3.013381e+00,0.00,,0.052953905204320126,0.04461411705158242,0.1937323439115172,0.7926601596708137,0.5316473356372767,0.0003900719087183852,17.606764497867974,0.134734425076825,0.4863668705909164,3.833154844555738,30.19512799296087,40.66815045576549,27.166511768207318,4.800987077356471,2.778818545926374,2.777393257484741,156.3362141823564,1046.3377987235635,21.989142858660244,16.093134560328977,20.515889681872995,4.5393402769510836,9.518950504355573,14.889693149273397,
variant_01_idea_0.py,variant,N/A,270.77,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_idea_0.py,variant,2.954651e+00,279.01,,0.06097524398400188,0.04822813635539827,0.3663605136441999,0.6175728101962141,0.5543731710450666,0.0024714663493673635,9.457140554447227,0.1481494014770017,1.3508996972232856,5.581337243890085,22.290841870992953,14.435634265073512,17.093112082552793,3.1094774050671554,2.684433165063121,2.6712795516763634,110.7814209330993,251.1763492373916,20.804370439910706,17.758596782122,22.407963994230503,4.396155527761216,8.46693656140157,19.349363932035615,prompts/variant_prompt.md
variant_03_idea_0.py,variant,N/A,328.07,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_idea_0.py,variant,3.280117e+00,341.50,,0.054031078062359954,0.048759325918993617,0.7974538493723801,0.6048506562679326,0.5559774480927306,0.00015087167079007305,12.741162082293721,0.1364860935290826,0.548039419653968,5.549829717998955,29.36807816773284,49.30663971661971,30.347275553714695,5.1575366107644935,2.662104435661277,2.784508599159811,146.65064650988325,1977.4987555007333,25.691981085173282,14.720694848083529,21.769268276157522,4.503758363629606,10.788379927259882,21.898615647080376,prompts/variant_prompt.md
variant_05_idea_0.py,variant,7.764633e+00,264.56,,0.07790306394064822,0.15416343108607894,4.535180327323457,3.367647331643874,0.9964251301153549,9.83403755088511,25.56132104495371,2.2231896725972673,2.306035426209575,6.99283777417619,23.394512199308846,56.6509078388279,41.353335434561394,3.338599720889938,2.8063050013227624,2.9807150918342185,73.51753169265959,2533.64206843158,21.73509932842086,15.667257237332342,20.680738450302528,4.511185035788457,9.325067431794508,16.578244334072366,prompts/variant_prompt.md
variant_06_idea_0.py,variant,6.328428e+00,271.91,,0.07212958525628912,0.19633132365031147,2.4709774264953497,3.1380467548716506,1.0285829725585982,6.704787619057705,10.576538913033083,1.293623692759461,2.2416484909858774,5.442892823973993,16.067408603472316,49.23594254413965,21.338219357502044,4.190274164343885,2.746297263476422,2.4374734430356892,130.28795017473027,832.5550183867209,17.158859919907112,14.235453895324623,19.253024496078382,4.535153336939044,6.447090744531657,19.06991894007846,prompts/variant_prompt.md
variant_07_idea_0.py,variant,9.167230e+00,281.47,,0.06359920669649688,0.08671632923387272,3.3678710973490107,2.8029558439823403,0.7074641343814584,0.13487177279906246,25.228320614292556,0.440326757895263,1.6144249652065776,7.398212511916034,88.24809281952234,312.09166217494936,77.04044664794064,22.45205063257738,3.5652233590292712,3.4182655023629342,358.6524546282495,15730.952128887917,37.034480264047296,52.59274021867114,25.60619242542813,4.6185496764794784,11.87046813200827,21.019551101863442,prompts/variant_prompt.md
variant_08_idea_0.py,variant,3.382923e+00,270.45,,0.05184539711922069,0.044072916151288534,0.5858322831022691,1.695786813046052,0.529585795196426,0.0006980810850782917,21.734049040515398,0.1250501230097742,0.28568906914571296,4.297304190485094,28.77492667341547,35.06119797821841,26.438603453909835,4.017865572193616,2.6419275998387994,2.7552445752464663,217.40776599422165,1122.8117106555767,21.027649497571378,21.372283593336643,23.212593950902374,4.56764913024219,9.272048690832081,21.421849331438604,prompts/variant_prompt.md
variant_09_idea_0.py,variant,5.810900e+00,274.07,,0.05654968092868225,0.0447662679038144,2.6991993443880262,0.44823995396087407,0.8411093373752001,0.21713229954448085,22.27961455419348,0.6533745589594834,1.3484759431655338,5.2499477836969834,33.92040398716973,54.2537832012148,32.395690328515535,9.504326606468688,3.1689031029338794,3.0210415479402335,140.33856792678338,2864.311334530492,26.300181515331204,23.35278206424522,23.56405818467136,4.565536190062507,9.768174286524728,27.080373656527108,prompts/variant_prompt.md
variant_10_idea_0.py,variant,N/A,9.97,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,3.172091e+00,291.91,,0.05072621918735965,0.03168010999275474,0.2705937233019193,0.6490244111982927,0.4921360448180701,0.00029040050119075227,364.47374830040593,0.1178694413242293,0.3571431914430708,7.701486722931509,20.629763950578763,11.79116050651846,20.764698892859688,2.7400197326503184,2.6141890994444994,2.5909554024241603,347.8844798959512,540.9485173176441,22.609427377233363,16.10773088762258,23.87427894683321,4.548249597887107,10.66111095217619,30.388749810804658,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,3.086064e+00,267.73,,0.05279873794430961,0.03172802492189391,0.20980984052113844,0.7302295017144731,0.4969049053453574,0.0002722824189143209,220.43438283484824,0.11669750599474321,0.4631303546120716,7.6070782567676645,15.184528321461695,20.155293909313347,22.927379768091424,2.8685218117982223,2.6328134615311414,2.594319962328843,365.5640534007353,178.99188101517254,23.220074824848528,22.018020474643976,26.26584524479857,4.535900233600398,11.371658725067674,28.39537576877116,prompts/adaptive_prompt_2.md
