algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.380377e+00,0.00,,0.05532805213727756,0.03987060392371931,0.15086747132204434,0.13546713889625164,0.5237152627930118,0.00016403989998432854,0.0641472456427205,0.13007826460980798,0.25636224305970695,0.10122405082637949,15.11322913644303,8.958428489851004,21.456727046374194,3.4740366914311203,2.8817579509560844,2.651333723126592,117.67375308238286,40.573643891795435,20.943459336633996,25.904774882013278,19.75945214327756,4.552056177463818,7.952404640048031,19.116674102547652,
variant_01_idea_0.py,variant,5.465570e+00,167.71,,0.05721924010374421,0.04196098657111572,3.6420935673647175,2.839861179197686,0.5702694915885379,1.909958335172472,25.358683766184818,1.7157916681910257,2.014788366217354,7.551118117975596,20.23551435800495,45.54623777373766,20.60513566043097,3.2863943239843185,3.064566668595593,2.7232990818616876,133.3781939285013,68.85273357590411,21.8431935097491,14.281200315095603,22.427686407903227,4.533663199239199,7.94633491690731,23.39193544147723,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.138161e+01,169.61,,0.1959189177776406,0.1713380714350858,5.321770775627151,4.1690121868136485,1.3783152898284177,0.4820704914495109,36.65368445365713,4.587874250377428,2.5159085174491422,8.06892527856119,60.90790449787087,175.67901489133584,58.85070007320594,12.626180672878133,3.66646361694104,3.041977235593059,382.74913702782476,5176.192846774128,26.125136213381392,72.75808044668337,23.593732543999582,4.7818723666049285,10.347194634119864,33.90517424018779,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.077849e+01,194.62,,0.06742745169392235,1.6401663147020025,3.860029861023433,2.528423891359307,1.3220133994132144,99.03989192038878,654.5084957170641,2.5605309000495375,1.5876306758718455,77.4914509078254,11.705507505334339,24.14314580536854,19.944025955005145,2.542691517715342,4.528716290045198,2.8221675492747984,972.942038866725,25.94138144687727,20.66527710800544,61.53810505001952,24.868525925595243,4.59424512401704,10.011194386449484,30.85082717657047,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.623084e+01,173.09,,0.09650201933682231,0.15233273433184455,3.0632645556121023,4.124560018018663,1.654416919886148,85.19763618213935,127.65118579302994,3.8881332012900414,2.4407466040368933,7.128459489453263,80.74669133489134,266.3594335290523,78.71185037443585,16.285578634373287,4.453884463651834,3.580167136232929,416.98523439450304,12314.618251182845,29.78728228928603,80.35487562648318,25.407103358378304,5.021031207177403,12.918150495290401,55.50403662756226,prompts/variant_prompt.md
variant_05_idea_0.py,variant,6.528462e+01,173.13,,11.20839187502915,10.991151169834556,86.91115722921309,68.57692643310044,2.026422314571192,1824.2720269507893,903.3753799080871,71.07791717611791,9.293121447134775,146.13990203805287,74.9283484554594,216.29809392836697,58.82218559215391,29.499590316768945,3.77638524899582,3.4593845796095324,8618.726059789353,48903.971252135976,46.08439996993358,179.74476658368445,33.21099510001979,5.675246998328019,14.34086869856242,43.7821698830751,prompts/variant_prompt.md
variant_06_idea_0.py,variant,N/A,171.25,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_07_idea_0.py,variant,7.780091e+00,168.91,,0.05951173613579282,0.05236851500169477,4.393072218571571,2.580112410520033,1.0366345977219134,0.0008605919914513843,25.342680537991267,5.6815747892981925,1.7694842535793847,7.406058053487046,58.90984274817969,106.47111885471689,39.75865001500844,23.72948674640902,3.1958185495428477,3.6754997837904386,183.00254284411403,18464.501478112314,42.05586721081958,58.47593892561182,29.227665144331315,4.625979669335127,14.41941405235823,36.123645979870275,prompts/variant_prompt.md
variant_08_idea_0.py,variant,N/A,8.82,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_idea_0.py,variant,7.124358e+01,208.94,,10.50988077797727,10.471221297304776,47.13256342063214,54.474484841028634,2.4611447256895427,603.7558104769707,844.5216444173317,47.378294527852034,9.797113450039655,126.74561982999954,149.6802975544823,508.1544433191245,104.47650361564756,41.29723476699768,4.899352229059279,3.98194425827225,8753.04568250157,119177.223853595,70.98058401406244,193.2196913921904,36.38618851168423,5.656756892150301,17.841197987440943,41.6641717150892,prompts/variant_prompt.md
