algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.280514e+00,0.00,,0.05463715214437796,0.04197946915135252,0.14650919284841557,0.12709061207978894,0.5140848437804103,6.90098952544692e-05,0.014850900211188043,0.07593509872531255,0.24413120118898457,0.08639167922138105,18.857427659803726,21.235066606800878,22.637607960784603,2.4489768790707074,2.6765999060552503,2.827153245757639,66.19597241154538,115.6140230298707,20.248851220708865,16.4199209182241,19.60874543160488,4.4664292714698455,11.636499116932187,24.06307364762896,
variant_01_idea_0.py,variant,1.183298e+00,163.63,,0.05812974704972034,0.044962147440655034,0.15785560935140008,0.12912681279801524,0.5148582737861614,0.00011269265118211832,0.015464069625824773,0.07948119805389349,0.2617682722789319,0.07222535746416126,12.434939886356664,16.266177326679834,17.685077443006463,2.7518374943846418,2.7030455940816176,2.6924568357747427,85.64369321150156,37.27646957065746,18.077944282373174,13.868678324794365,18.810063006325368,4.2793958293984256,8.372090471549793,20.458744676213655,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.251604e+00,178.90,,0.05652616159894601,0.04289349631653595,0.1373009080528126,0.45162441284588295,0.5145528680917957,0.00014208146493211907,0.015242054828577841,0.07835545354921285,0.2625168942548229,0.10752493199302982,7.834286670963709,24.376775051984374,2.2831198796965806,2.7917823788700558,2.8049903397142146,2.822255978314056,109.49086613735221,44.63503962433921,16.98618500270558,32.43287120404193,21.920019375317565,4.6254409212215455,11.205814369491673,19.99308645050436,prompts/variant_prompt.md
variant_03_idea_0.py,variant,N/A,82.45,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_idea_0.py,variant,N/A,165.84,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.338171e+00,163.73,,0.05265602328070558,0.04081529684947858,0.1426695442649856,0.13068325318577886,0.5067673073012289,7.122170679018514e-05,0.014940982857272375,0.07542332945753494,0.24865604146152168,0.07224975126687938,15.150093372326882,93.88758414146196,23.916851927322824,2.146485343414409,2.8998153130060613,2.7937623707500223,63.1504367672109,219.13831645177706,22.145256005128157,11.982752949866146,18.963198452552067,4.444203671025474,10.584427709475127,19.159821446205637,prompts/variant_prompt.md
variant_06_idea_0.py,variant,1.383004e+00,172.99,,0.05503137701143476,0.0422191278989357,0.147550959991427,0.18863556749019966,0.5192349002526886,8.698635676420452e-05,0.01465741392875006,0.07706659233570295,0.2569259681815545,0.10078096969652311,20.79790845233942,22.046070216421572,18.36141907693372,3.220712632930147,2.9176963175257247,2.646307700870939,77.05344006068341,234.75771030337413,19.514346454851868,20.371669454958926,20.144928422894314,4.323637746847791,9.291380730874193,23.0342216214799,prompts/variant_prompt.md
variant_07_idea_0.py,variant,1.791237e+00,209.91,,0.056779685055785366,0.04643953433753121,0.15329579929170722,2.2482647637826223,0.5212964084269768,8.829762246875113e-05,0.015027161027018076,0.3239939694778338,0.25441525942211635,0.12062672373189494,16.662357797150882,34.65809185306776,16.897011324440914,2.9248042771652263,2.784685304024136,2.549042654308593,255.2405618728848,393.43995397097945,18.899252436924037,23.858245353407384,23.17883683221288,4.33079545634171,8.788652386642683,23.533577719952348,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.832682e+00,182.85,,0.0582711182545532,0.04663777423483881,0.1585427306807753,0.13625660353627342,0.5174754169203747,9.40786163724081e-05,0.015585490319757176,0.08135884116642453,0.45999669685186206,2.5435331209465972,23.4418013445525,32.33279379479326,21.969015910632347,4.814134159031733,2.858817621886856,2.769925843532806,117.18523804067645,614.7810521355459,21.5196121239796,17.14357045840956,25.98199372924752,4.4578376687995025,10.27531438079476,24.20814157898917,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.262765e+00,162.37,,0.05429045382285967,0.04464925530389087,0.140009500934325,0.1312086241072606,0.5129761385924609,7.725065194800168e-05,0.014893322843717765,0.07410206921816274,0.24576584346117872,0.14090796891270765,19.01303475599164,39.13051659248072,25.16637249400728,2.218307861254109,2.7312549143973155,2.764612849761372,89.01651710177546,36.18553868721299,14.354228650839948,14.139604312451699,19.88706395306504,4.28447060385031,11.045158291595405,20.765180178096752,prompts/variant_prompt.md
