algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.183298e+00,0.00,,0.05812974704972034,0.044962147440655034,0.15785560935140008,0.12912681279801524,0.5148582737861614,0.00011269265118211832,0.015464069625824773,0.07948119805389349,0.2617682722789319,0.07222535746416126,12.434939886356664,16.266177326679834,17.685077443006463,2.7518374943846418,2.7030455940816176,2.6924568357747427,85.64369321150156,37.27646957065746,18.077944282373174,13.868678324794365,18.810063006325368,4.2793958293984256,8.372090471549793,20.458744676213655,
variant_01_idea_0.py,variant,N/A,167.14,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.602190e+00,190.04,,0.0573649234564467,0.044061812240465244,0.16297385670038944,0.12983224356815182,0.5190723600004389,8.733111808444924e-05,0.015433969316259117,0.07762078930406688,0.27056876234954536,0.13180223463955784,33.632224144742906,65.09485788851603,21.13598550237122,4.040182200509787,3.5185802690477304,3.513393777830405,83.3998969183087,317.6854070468881,22.005424444432563,21.33703476502951,20.363789461133557,4.587565968439222,12.021181794424365,24.481751668685973,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.246849e+00,165.74,,0.05693586820031647,0.042763687723660314,0.14954990223164505,0.13689488622258406,0.5250388666108385,0.00010049361530036998,0.015527480298699025,0.07987785316866668,0.29471329050050765,0.14329642883444196,10.819712799723279,16.79803890363288,18.268185162497222,2.449286801709839,2.700363936712312,2.7196783538191815,93.20662842162122,76.61597875934004,13.678763103355948,11.993933156130772,20.010578820199072,4.51671176687471,10.160920874422603,22.514570513592933,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.695177e+00,166.43,,0.05698014951966012,0.045876424785077564,0.15541408066978346,0.13380060573823963,0.5320753638956135,9.752135279361994e-05,0.015110927271248359,0.0795535095127227,0.24980513794609865,0.10592111270317156,24.014141437429654,57.17115987874866,30.998558277340912,5.0593251901999,2.7648863195209037,2.833178992138364,90.10805744405789,1730.8787038718697,22.32267031930723,26.037469099507913,21.274440457880896,4.524228938579848,9.223454239352739,26.03701034221143,prompts/variant_prompt.md
variant_06_idea_0.py,variant,1.526627e+00,165.12,,0.056443646475915925,0.04504227692757115,0.15261980127660899,0.13574291668261865,0.518102944241595,0.00011723486193111907,0.017824223657471903,0.08332294077391367,0.2616765716742964,0.18342782595488752,28.300537160836097,39.12367816989525,21.01201616525943,3.7341801045971406,2.7642078874582303,2.7309227674852226,91.75304886821209,323.03671258854405,23.100235921743515,14.86595397442627,21.799404209021638,4.507378979339397,9.07462003631414,18.918806433233286,prompts/variant_prompt.md
variant_07_idea_0.py,variant,1.630231e+00,194.96,,0.05619701111545441,0.043387159590537405,0.20160436105154111,1.5675454911555058,0.5166171109166878,8.743569481473456e-05,0.015272666757009345,0.08177742930941932,0.25142842577220775,0.08954317251476736,20.451538177306396,82.71159748327527,34.1865210222583,3.315951026303452,3.1235624365161603,3.0169490560327357,96.42769126724535,53.85607962996163,19.59489318061143,28.52219428711776,24.069860706849685,4.540472493429837,10.37697015558603,21.327927014450594,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.408826e+00,177.08,,0.0543189975064785,0.044156799995844175,0.13904997506316813,0.13259215748405956,0.5065503464944622,6.693666270347799e-05,0.01470655296484523,0.07492108590668925,0.24230518439060017,0.08705959100762133,30.95832372898814,129.63522691523588,25.783602782103877,2.4719679678714805,2.6310882767227386,2.889712330306366,59.150718264559224,223.34945622535363,18.083776676820843,14.585231911165115,19.112899830198025,4.361365481071701,11.240611383808353,16.888694898031197,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.236929e+00,160.85,,0.05778450102809775,0.04288379449222651,0.15258731578090173,0.1828215133396349,0.5150920656476073,0.00014250556164471575,0.015111029505786685,0.08424861150993396,0.26213174811840473,0.14667150911630522,10.955204879677664,21.112300644367885,15.67368962789159,2.3674727907646527,2.7167471741079012,2.6417614521413575,71.2200672863022,33.176050930632066,15.901511363494475,17.02171961160258,20.812532520395038,4.437390360713646,9.598074692932443,18.97264086119776,prompts/variant_prompt.md
variant_10_idea_0.py,variant,1.312691e+00,168.91,,0.05810939784664839,0.04428388743373654,0.1797590765713361,0.17727371380740858,0.5106137701645302,9.059178003623543e-05,0.01511650855729344,0.08776847783596951,0.2615661224939519,0.1188249578958971,21.035015907872346,22.526068994920532,11.806662039796866,3.0779316421983802,2.763995629214104,2.7179658074933957,72.3177847386274,104.21507136916317,19.46974901418732,14.843017224732746,20.272842299127262,4.301783149262937,8.083249731165528,22.060022880067475,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.708344e+00,167.72,,0.04691997835501472,0.035344076452322556,0.16847015838688406,0.17699793257102456,0.4849391453772892,0.00010699695622852074,28.618811881037605,0.07601593753481058,0.2709560554406608,7.370037792738559,7.799124819799567,5.688892562865524,6.036098757519774,1.7833230792370185,2.6976155193223468,2.5977382833373097,118.47278913382105,23.072601782583423,9.68813759294371,15.686423974530094,20.513024742687307,4.50535361383793,11.021086743341886,24.185723188711744,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,2.036803e+00,164.14,,0.052501165687646734,0.03935488205250923,0.287256050634261,0.5230915144836773,0.5005725737173354,0.00020848703188884826,56.11716908128567,0.08794883217216845,0.312376296214305,7.459221612774282,7.784958327565547,8.808839763753197,7.053371194994504,1.386414407011371,2.7806617794614383,2.681091379446054,207.98651031902696,21.302440214329735,11.117260763511048,12.106776065325278,21.018024885119612,4.478733932760517,11.638131740185061,21.353715750058115,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,3.760503e+00,175.28,,0.05091993038874183,0.04137699945211309,3.900483450110246,1.588178018808929,0.6643611928580587,0.05955774665584389,45.953120663209944,2.2095108723416583,1.7280686427316791,7.462065942475713,6.89772052267918,7.695303076803001,6.3649950931553025,1.089984391988868,2.8094716262978032,2.6644924885843326,231.30283376565183,20.888276146541465,13.603811484059957,18.645864969744753,21.23458818316932,4.638246059396175,12.257727186716654,23.192194010713685,prompts/adaptive_prompt_3.md
