algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,9.874755e-01,0.00,,0.05957149872184174,0.04521667216967705,0.1563511047042461,0.13087432516907313,0.5290558816019462,8.374465753022625e-05,0.014686312197706285,0.08010644983842755,0.24980446935166553,0.06947952652643462,10.749285159630459,5.671457882299591,6.976408533601907,1.7886241227773585,2.7022230969138668,2.5317345339520636,70.43052325830422,40.16572929465401,10.375100706302415,13.064371117803738,18.3051408752126,4.374805809248999,4.685323922968048,19.792921268713357,
variant_01_idea_0.py,variant,1.581191e+00,160.38,,0.05732685214689209,0.046825272751470505,3.286230798901843,1.8230594006363672,0.516731781176976,0.00010936104466880672,0.45264589447699505,0.10974424347318627,0.32970010876136674,0.14549083031284066,6.783819233465425,7.799661613033056,6.951824394444574,1.9820786018440375,2.7211992018114626,2.5509940909543998,118.45797579140226,30.81970657330681,11.4403524490234,13.127979352091415,19.910131117051037,4.470444627678327,5.210572826792083,21.40333271765891,prompts/variant_prompt.md
variant_02_idea_0.py,variant,2.805197e+00,165.11,,0.05987112390268112,0.049076571448559085,4.0155181069199,2.537856295445223,0.5339720236539193,8.225277669685891e-05,27.40552320712726,2.570305512215189,1.9868675181144926,7.915875386212702,7.346799878758208,7.675670832377803,7.937098738151025,1.9062267805396864,2.8009114434366063,2.0538144008500674,143.42214641128294,65.19653562102036,7.996749886507915,16.452993046943455,16.87107639291261,4.298340731561128,4.486608619494069,19.696545383471296,prompts/variant_prompt.md
variant_03_idea_0.py,variant,2.857813e+00,169.71,,0.06364076325137695,0.05244478386842394,3.080394031594225,2.55419497277695,0.6163510975343209,0.00011108998177414812,29.097038294142944,2.0806575945339074,1.775470058805599,7.820825823250799,8.98692266850418,9.14194983240047,10.212328220694305,1.8308282124870272,2.8178452102639233,1.9374417998918219,141.70651583747312,32.212033927938876,11.070745396367807,12.015691386868866,17.638321759386166,4.44569491687222,6.859020584031401,21.27320545419659,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.003134e+00,160.19,,0.05797416232708666,0.04371124849014926,0.15080356583388826,0.16427628986471915,0.5113009957556471,0.00010381921619797074,0.014926145286774361,0.08207012901098606,0.26939351130400413,0.06794622374771885,8.526014311913945,8.323834333910474,8.185423652594524,2.301880789120603,2.653600871903168,2.4188522543716036,59.89796862844925,30.41123659675355,11.526688348747939,12.609693352750963,18.185603551155115,4.322217783030115,4.79489700319083,16.844154828748227,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.114217e+00,165.92,,0.058614809839696996,0.04420283897539524,0.18466118220919464,0.13306394698413615,0.5129309005178058,8.800092189545529e-05,0.01492256944201261,0.08313185003796035,0.2521520214956167,0.093204062656478,9.595391709735342,10.148887209599511,9.022801928212607,1.7571594713250382,2.6519539374376238,2.50304417263907,59.18168207885214,71.93677447993915,15.541455171163587,15.482516783381078,18.683399122299793,4.329451710662333,9.097291723521167,20.71040452722064,prompts/variant_prompt.md
variant_06_idea_0.py,variant,1.268780e+00,164.21,,0.058969782524777734,0.045151124824404,0.18594520215329238,0.5230168845974806,0.5166032878410941,0.00011743994922272448,0.026579813419831316,0.07816824599173125,0.28730482996065976,0.13706350913391968,7.9926958658436185,10.19533529666147,10.822703781571972,2.030597239303356,2.6727779787807937,2.5937934452860443,112.80262594633409,42.26571710698835,16.954974157755704,16.033788975409472,20.86740570483268,4.315350798803396,9.003471499330086,18.06199867143926,prompts/variant_prompt.md
variant_07_idea_0.py,variant,1.045381e+00,165.12,,0.06235864435845354,0.05003910870010983,0.14882483405082675,0.1311981479241899,0.5080802005685783,8.780993390216908e-05,0.01584170778761667,0.08157060483010438,0.25976577232040177,0.07038458975334963,7.312881790740584,11.000112877376946,8.614528456209024,1.934919626993827,2.63655673005972,2.592220203318629,59.41856096222345,59.46501669735723,15.381944038185917,14.800487413164955,18.285494525520228,4.35357646180434,8.675636554983647,8.873556555915183,prompts/variant_prompt.md
variant_08_idea_0.py,variant,2.887694e+00,162.47,,0.07027215839568114,0.0888905485351846,0.8278320358119874,2.8962564344270993,0.655931186360898,0.00012794322848381479,137.53490989975919,0.4414303568701241,0.7581013561773989,7.930905885133493,9.138276043380602,5.133810253638008,7.906258564184853,1.86831981195833,2.6098777357558,2.6630187430095456,203.0693063926293,46.85379954751499,17.093237360619156,9.934938728420642,24.286539882419387,4.578596661225563,10.788741398933977,26.390098817711205,prompts/variant_prompt.md
variant_09_idea_0.py,variant,2.305314e+00,165.69,,0.06069334289728244,0.05228659826488637,1.2920640220678588,1.8854194393773727,0.5413892773615657,9.674271063813947e-05,15.404832854710724,0.12344920766757327,1.9017299262646963,7.41827838399163,7.463492184614745,10.215966968631323,11.674009480401557,1.8993876474631093,2.6526959227006013,2.3716285843659555,89.30633595091817,30.691434591328306,9.862057408773325,12.763638433566953,18.929768935854728,4.334484064356341,7.898003726350636,19.64918232041028,prompts/variant_prompt.md
variant_10_idea_0.py,variant,1.105185e+00,171.57,,0.057068002159736904,0.04595897500599519,0.150526125730884,0.13973001419455186,0.5152490542818979,0.00010595374833530165,0.015682169127919098,0.0779865441262092,0.2596238600042301,0.27994603876847685,8.203422621437403,8.32321834618397,7.4538959909134155,2.5413877772314937,2.792118144055173,2.4254048470011984,86.08727270296079,28.525412610165258,12.209052269414352,14.348148669818034,18.922505892080295,4.436595096403138,5.645002927603049,23.067545900751448,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,N/A,150.57,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,N/A,161.38,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
