algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,9.874755e-01,0.00,,0.05957149872184174,0.04521667216967705,0.1563511047042461,0.13087432516907313,0.5290558816019462,8.374465753022625e-05,0.014686312197706285,0.08010644983842755,0.24980446935166553,0.06947952652643462,10.749285159630459,5.671457882299591,6.976408533601907,1.7886241227773585,2.7022230969138668,2.5317345339520636,70.43052325830422,40.16572929465401,10.375100706302415,13.064371117803738,18.3051408752126,4.374805809248999,4.685323922968048,19.792921268713357,
variant_01_idea_0.py,variant,1.023207e+00,167.48,,0.05629711776272217,0.04484181569338204,0.1497445853761256,0.13573994569949221,0.5503959066344241,7.30588534341134e-05,0.015253063964411548,0.08211033110301179,0.26544170922337457,0.06976118863050394,8.237655795337412,6.333666460849122,8.777250100173221,1.938208273855516,2.604558799116969,2.6623710130344262,71.24900190080137,36.41342139007217,11.437115779172087,15.828089466022876,19.137911460564062,4.36415577349913,7.2814894041607525,20.615332182874123,prompts/variant_prompt.md
variant_02_idea_0.py,variant,3.227198e+01,173.97,,5.177750197684684,5.296896155088263,7.243805576590017,12.384672121066156,2.4899413377309423,97.76933971725762,2327.8313963838364,9.240738814903215,5.6837684795551375,123.83676007884262,50.89793271623839,127.92407999002388,38.70039475767102,13.059157856974911,4.998678058954991,3.273054872892671,2684.957278327564,3770.533652499317,28.06669804607301,126.80087990160283,29.108737907414156,4.836029448922428,12.959150852741887,50.749221814270086,prompts/variant_prompt.md
variant_03_idea_0.py,variant,2.698043e+00,173.97,,0.059303286363455235,0.04545728125243934,4.961204658198813,2.359261491578767,0.5202403868947917,0.000640382071291673,24.78892343437001,0.12523361495668475,1.7836327126411227,7.483635804101485,11.080449554482353,8.736174314709846,10.403679211067278,1.9457549195368447,2.773975518839393,2.554603564639693,80.17347492566049,37.48329865986506,10.691712331631999,16.208127255922804,17.496997341363457,4.4606850125177555,5.651039017396802,15.935552631605196,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.862816e+00,170.94,,0.05700972243115961,0.04671790381415618,0.1881482900226367,2.082902456259043,0.525484390912184,8.452873830502667e-05,8.2594765218756,0.0814255287828719,0.29386929127217054,7.660346665442373,7.372998036868799,7.043215383347545,5.634221583198925,2.5243281646454148,2.6731073124195195,2.4866388401243213,95.62966978536825,35.8932965076588,13.442093013354265,13.805728301790614,18.50423112676561,4.479939302528426,8.399497139894539,19.9455038202298,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.033587e+00,170.97,,0.057407007402713206,0.044178792322794154,0.16955283591274892,0.139023870866041,0.5204068003055404,0.00013108350104373462,0.020301940093899483,0.08044835235270681,0.2603950888699939,0.06845040969543062,8.894269642975946,5.223067476452405,10.989197205769532,2.0105642776896664,2.7391600804582654,2.6567237022791694,85.1495798824324,30.203828907741215,12.108773504903933,9.305721157740159,18.221970624847934,4.4136091557383885,6.451344561666909,16.572218244353532,prompts/variant_prompt.md
variant_06_idea_0.py,variant,3.667872e+00,167.39,,0.058695223840412925,0.044890212300438416,3.4426875081248696,2.785239690205293,0.5397788594494591,0.18092894642552074,29.40624686265374,0.6368068574992212,1.7530803509196515,7.72675411013372,7.538768745835182,10.559916193657628,7.732669607608984,2.2403087049614907,2.855707072240627,2.2641278597901966,145.59883705294595,31.520237404332313,12.399399866867558,12.262371864742418,18.274957956846226,4.4203826642277,6.14634979645656,18.179680930722924,prompts/variant_prompt.md
variant_07_idea_0.py,variant,3.903102e+00,173.13,,0.056425930330197015,0.04590179123550346,2.914125440991624,2.8301446710915426,0.6841393571112894,0.18282932238017663,29.466666426587523,2.7640040659926624,1.9954164052523726,8.125276828829994,9.238476360242785,11.179367321528016,8.812329892162918,1.8155077832787645,2.9048692051940814,2.461622148141142,86.3153316201758,30.713923931385548,12.638560398322392,16.370019557324717,18.645595720445943,4.422665054789194,3.675366741881768,22.547374297678047,prompts/variant_prompt.md
variant_08_idea_0.py,variant,2.734767e+00,166.06,,0.05789018774402257,0.046259828641654906,2.8304180870208713,2.8157661894006174,0.5174089456358674,0.0005529617538502575,29.370757805318014,0.12456757383512997,2.0266224224977747,7.873218148921164,8.52207895848524,10.141346535827866,10.571240405896017,1.9784921986585717,2.8275796419691566,2.5576587816766643,99.30312249017537,32.620785002522055,12.473757075650608,13.26937103389006,18.56904152564505,4.558531801003201,7.852533803220415,18.440417836331214,prompts/variant_prompt.md
variant_09_idea_0.py,variant,2.409545e+00,168.54,,0.058508618677895155,0.045631232666083175,3.861640991974303,1.948593160152509,0.5173158943099743,0.00020170580770226406,28.858499956304634,0.09344154153439269,1.3147599275521968,7.519414239094629,7.438026810640542,7.719640826585584,8.989884278869777,2.1319427880492032,2.781203547475891,2.7137682100525593,80.04195364804343,31.866807152654072,10.288313250725329,10.554485414677938,18.383962091966914,4.470348154827666,8.446352337650215,16.438790024492743,prompts/variant_prompt.md
variant_10_idea_0.py,variant,1.093653e+00,167.42,,0.05718852941871703,0.044495143899490636,0.15020648528484948,0.1338799231492669,0.5100051500093566,0.00010641279150996709,0.015301803273668028,0.07873611928582505,0.26234265235328486,0.28003666564657637,8.782788514099176,8.20830596001439,8.789013598192277,1.8426925537016365,2.776648552294487,2.5064415222914955,62.113815537601205,38.10674306077569,12.668144396850597,12.655672721149099,18.85486018272287,4.267405917617067,7.479479037123518,18.79373378479762,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.243951e+00,173.24,,0.059042026098061244,0.04459862261891169,0.19367747723587392,0.2476855116045863,0.5472694946508397,9.282386507748037e-05,0.03806889032338316,0.07409820437929923,0.4565656079891788,0.14050971941651505,8.463450620052503,14.538954412617933,9.642978901408696,2.507838266853706,2.9299932138785416,2.30012177829337,106.20646202385053,22.827567158017956,11.603943837131755,17.725901175791247,19.31374476211272,4.502594604200385,9.619499137866017,19.402322204345197,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.783660e+00,170.76,,0.054417708893914674,0.04252859405105669,0.14907257115405392,0.1438099713948928,0.5202778940217703,8.571423900290045e-05,19.644945536338145,0.07890571493896659,0.2537194503748092,6.18921685082212,13.356831291647438,11.973797529842498,11.413987914771793,2.01240878807274,2.6803291165912606,2.6599774077723017,92.78183667856558,41.246995279789715,14.516187644655162,18.03042313116322,17.45244572720913,4.416084980791933,6.095220720012069,16.199189708750225,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.872000e+00,170.99,,0.07615350278272864,0.10087991460297148,0.6737209129649535,2.9609417636245685,0.6652049966028264,0.002106331449680144,108.61071421075947,0.14718421532550954,0.37738190937048544,7.670479488529327,7.496646576967487,6.15966290962605,5.787124501907526,1.5397067844312502,2.6757391916527626,2.5582673735870993,226.6736967051895,30.82614281687394,17.22484361153691,9.368370265062232,24.471812714631927,4.571798137813529,11.012018040075718,25.51093176579333,prompts/adaptive_prompt_3.md
