algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.273267e-02,0.00,,8.933761477314612e-08,1.72698452490744e-07,5.423416773945508e-05,0.00032035053592372245,0.023203953657994127,1e-08,4.3153950399202477e-07,1.253605825020007e-05,0.0017994952019337934,0.0004399769111435072,39.36457043509379,42.285576948477434,30.637830886101458,4.5384107717561495,2.6760147941276125,3.1413222325285957,74.71930493971487,538.7587398391843,15.166473860689136,30.345494908100616,22.042311416037325,4.490788881105271,10.012106175414699,22.459307943186538,
variant_01_idea_0.py,variant,N/A,10.26,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_idea_0.py,variant,5.176879e-02,165.09,,4.414046151740656e-07,4.4940725631070026e-07,3.686598668705782e-05,0.00034504694282793796,0.022935560660262946,1e-08,6.0808731877319855e-06,1.4596665566966997e-05,0.0018269718696082916,0.0005138180190443502,21.36131409368137,15.508832612040967,16.44247290795875,2.297355256851742,2.663208505210252,2.801932045660113,76.82885601703136,105.9718787460414,20.522994127242036,11.143158317677816,19.42516062390748,4.2821159918896665,10.076836030298422,19.534646834334737,prompts/variant_prompt.md
variant_03_idea_0.py,variant,7.396691e-02,162.51,,3.186965683558895e-06,2.0954890568679667e-06,0.00011046901839168724,0.0005825285919719304,0.023730370223645134,1.5958121083663435e-08,0.00012282317629272338,1.980731944708254e-05,0.0019816650323081966,0.000681682640341209,16.53739309693372,16.638612355713256,13.61151339250334,2.43489930659088,2.7149859337323594,2.40237330395496,58.870976592242506,284.26734551159717,15.776345339030284,12.79585316379163,19.444676904786366,4.460936590500488,3.4749812469197914,22.20301377829219,prompts/variant_prompt.md
variant_04_idea_0.py,variant,5.285320e-02,162.21,,8.34337838099877e-08,1.696056930450923e-07,2.434222164084819e-05,0.000326775519435166,0.022802584895217266,1e-08,4.150924652867542e-07,1.402029546066076e-05,0.0018764048194645497,0.0006200404813312139,44.0882552443601,55.64952391104984,31.298587382454617,4.358924213232669,2.8578270951308027,2.823396746338923,61.63677732772669,1689.5834328033122,20.846131493058888,16.267435598804507,23.704818278355866,4.556617257929848,8.40392613976257,15.00594986094368,prompts/variant_prompt.md
variant_05_idea_0.py,variant,6.270500e-02,170.96,,1.1712219157584853e-07,2.147250098176291e-07,3.126601089152494e-05,0.001584075548174155,0.024244732817394508,1e-08,7.880622460794173e-07,1.541367200474876e-05,0.001920659537361125,0.0005099815588211207,38.85047659309418,55.45170411491988,27.88050651805322,6.298445935358251,2.7479783938689315,2.866199542823742,119.31520078377771,2322.4674251017977,22.22773495535334,11.887856131888265,21.547297196169016,4.464804870619024,8.2430891635658,21.96333929819963,prompts/variant_prompt.md
variant_06_idea_0.py,variant,9.203343e-02,164.94,,1.742718902077081e-05,1.2626257041588629e-05,9.48336599991695e-05,0.0009330653421058968,0.023021262086467844,1e-08,0.00010586979204418442,5.730601858512652e-05,0.001969599395713756,0.0006255574277815751,20.17541462834349,15.963717125996089,17.730453914592516,2.3222067319324595,2.6635502237190205,2.6415374663127964,66.70102236054908,232.01537535946338,16.923430386290075,12.34949074644609,19.508059774531564,4.47525318085625,8.083063438222888,19.110946086286685,prompts/variant_prompt.md
variant_07_idea_0.py,variant,8.449071e-02,164.01,,1.4582476118465166e-05,7.324210820413723e-06,0.00027779838746129536,0.0005114194031675415,0.0235168498016059,1e-08,0.00011462223255366891,4.1358777380255924e-05,0.002090243103311686,0.0006913819147418722,10.640161768817435,17.42092016113859,18.512683977398495,1.6921066617378133,2.76535845826192,2.523547636749988,72.28130060771467,90.04385659944074,14.674101817266212,14.306869414779031,18.989609689592747,4.479566917221831,7.594700712063963,20.029369860347167,prompts/variant_prompt.md
variant_08_idea_0.py,variant,6.693519e-02,164.48,,1.8101240445190917e-05,1.569160936433564e-05,4.9316797485134983e-05,0.00033787403752700537,0.023565227411060635,1e-08,7.536958559455275e-05,5.7351571478990764e-05,0.0019073071327499573,0.0005885973131798284,14.364748994125888,7.34317446671793,16.626050684178004,2.0287849080906737,2.5861528041129405,2.7769608260650727,84.00174160879722,4.504599620405628,16.436887198119205,9.212901981075856,19.15551726405246,4.397184529102673,5.2965125128483574,18.504643594063392,prompts/variant_prompt.md
variant_09_idea_0.py,variant,6.854559e-02,179.06,,1.1186156432925864e-07,2.3082442357569396e-07,2.817708286823891e-05,0.0003608881028845848,0.025146934419548107,1e-08,5.50615781368682e-07,1.4701937096746203e-05,0.0019120508885810145,0.0005259515196804949,38.473385775411586,66.01486382178388,41.84913560188212,11.404377946464255,3.036948033635713,2.9935624010095156,220.54845440194237,3373.4568587318645,30.595511789657102,38.02774512407939,26.444241369800974,4.651797322879538,9.247117053295316,19.844559656927892,prompts/variant_prompt.md
