algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.353604e-02,0.00,,5.47022206277959e-07,3.6675571457945466e-07,3.913127108742655e-05,0.00037923217037668733,0.023268518668176554,1e-08,2.714416720018599e-05,1.4082677240174675e-05,0.001809649482108968,0.0006721896967392531,20.460206467457084,12.33027075854419,16.53520767826024,2.2840050292531187,2.6851885312833965,2.7382118934792667,66.36941492022154,45.19591541981202,20.900769381239996,11.123569297663305,22.20254425349401,4.533598711515899,10.41343958523428,18.62679736497041,
variant_01_idea_0.py,variant,5.161695e-02,168.81,,2.0878804698380178e-07,3.347736385590578e-07,3.3040656858855227e-05,0.0003460788548846653,0.022933271683737762,1e-08,8.045035612090157e-06,1.875416019737211e-05,0.0018386191941505777,0.0010711720441367923,35.38303104380163,14.947719325461708,24.603755985489872,2.5921830986657572,2.5349673551051044,2.657563824076114,59.566571145283326,50.38486852576834,16.450004606321222,11.432093547220122,20.161777195526103,4.304314729966083,10.79122350470419,19.5569657404409,prompts/variant_prompt.md
variant_02_idea_0.py,variant,N/A,10.15,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_03_idea_0.py,variant,N/A,10.15,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_idea_0.py,variant,5.724535e-02,158.88,,2.10610693899051e-07,3.3816909974198866e-07,5.187307120477447e-05,0.00035379843486019755,0.022624524710327835,1e-08,7.625388892010955e-06,1.340659266885999e-05,0.0018198171591428545,0.0005052951170667916,25.428118200744137,36.56022862627557,32.23591151192092,2.302204220318657,2.6040514761998423,2.806632595496718,74.62047836448525,430.81316193200615,23.933148015391676,17.51881439099815,21.591667207158256,4.3055964992517675,7.998549923554059,10.916834595671556,prompts/variant_prompt.md
variant_05_idea_0.py,variant,5.448496e-02,169.00,,3.050331972130486e-07,2.6214050259899847e-07,2.8523117496271706e-05,0.00033556495491897555,0.022589933256781342,1e-08,4.7364064302016225e-06,1.4878247999846987e-05,0.0018679517026595738,0.0005389909464959965,40.857532507920396,15.541580650432708,25.797076848380307,2.4849171632032014,2.62101850680832,2.7848937611463493,76.32606573080179,308.44426404836327,24.328224504472523,13.05747171547635,20.142835059085233,4.34764060977196,9.973087017087288,19.677540922048113,prompts/variant_prompt.md
variant_06_idea_0.py,variant,6.306900e-02,162.73,,2.9478514435711843e-07,2.9727575622760885e-07,5.222623429819978e-05,0.0003360592187379461,0.022942225898887475,1e-08,2.701035641176304e-05,1.3525714634459097e-05,0.001848935774642266,0.0004971897108220658,16.30461074905812,12.345050411149797,51.06038874015908,3.273733871393699,2.6270481807776513,2.879227380624144,82.28094473778677,1399.0565375298834,21.46938285559115,12.865878583783031,20.345130777282893,4.417089922914244,9.82579854451535,18.527206001071274,prompts/variant_prompt.md
variant_07_idea_0.py,variant,5.549737e-02,165.74,,3.17298703897993e-07,3.271176530073719e-07,5.754509767755363e-05,0.0003392619363733396,0.023264776979526072,1e-08,5.82136656155241e-06,1.4555513063940554e-05,0.0018621790130577064,0.000507249840142053,22.7900276720933,18.939631612374377,19.510725014560183,1.8875420653539092,2.6482993114896236,2.8758585628573985,63.36438956327149,612.3907465066964,18.101162778843776,12.7777147467397,21.43025127213071,4.4092890389023465,10.593311747954242,17.75598253305258,prompts/variant_prompt.md
variant_08_idea_0.py,variant,5.029559e-02,157.58,,2.464603206765772e-07,3.45352813058748e-07,3.63520297317255e-05,0.00037059542718414026,0.023933972694418278,1e-08,5.265581953952795e-06,1.4086391908905597e-05,0.0018417759646740506,0.0006729191878009944,23.408722567697065,13.34735204592258,21.417690157382033,2.8698326205031512,2.6403050245192237,2.8695281345038577,51.7224078444769,74.4238746084415,22.96372616468459,11.319943116109606,21.650912200988586,4.297317604952075,10.426332076666009,19.269424811860187,prompts/variant_prompt.md
variant_09_idea_0.py,variant,6.293943e-02,173.65,,2.12362777592509e-07,4.289397877201094e-07,8.038704050594056e-05,0.0003586223470101205,0.023416195334312787,1e-08,5.105519005756708e-06,1.5380294510832353e-05,0.001772595943044395,0.0011049845000015775,29.35419063351233,22.365647906935685,42.43412937046009,2.481289184817503,2.637044936246573,2.878975436574254,96.7473996519414,407.18572640380364,26.11903450196709,16.768496557330483,22.721297414384406,4.320374770882663,9.25321507469897,19.196956146001735,prompts/variant_prompt.md
