algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.013075e-02,0.00,,1.5544955151437652e-07,2.47147487966548e-07,2.9427114647978432e-05,0.0003417003864298557,0.023063517926927266,1e-08,6.997150432123791e-06,1.3851334392979276e-05,0.0018146109339239045,0.0004976009808901655,22.428510738030873,34.85380216432363,20.087889825483064,3.3601671580376467,2.6320917394755674,2.9671500215959203,83.95216945319198,29.92545994756178,22.016041374188095,18.6404127955904,20.888708314860857,4.534451689853988,11.014181614515518,18.361874888928337,
variant_01_idea_0.py,variant,N/A,10.33,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_idea_0.py,variant,5.403229e-02,158.81,,1.0797671913057274e-07,2.1113376871809648e-07,2.6982463606931328e-05,0.00029995552089368037,0.022446993518084987,1e-08,4.167393710901846e-06,1.3592134895989306e-05,0.0019167660747296154,0.0007748005784823281,31.617658790806207,36.03721333632262,17.26347647239207,3.051364084659513,2.678375865190726,3.0134475780216685,81.12886210806838,853.4366917594801,18.492049144086643,9.755047879242,22.807762063833415,4.471094854983677,11.300006191391015,15.783743463649733,prompts/variant_prompt.md
variant_03_idea_0.py,variant,7.414328e-02,155.05,,1.3810447533488205e-07,2.4955324040209745e-07,3.2784123029525136e-05,0.0003048009864661638,0.02272763691079743,1e-08,3.3343819955249066e-05,1.438282912822934e-05,0.001755084049261367,0.05714540057802435,41.59579507605185,28.274809745531435,28.343077444621326,2.85829665615172,2.6189341170550766,2.9619680313162577,73.96865607538217,645.8631166562099,21.267059662879642,14.201363154055436,22.010284267151423,4.519668843448983,11.482679188773597,16.60614793370205,prompts/variant_prompt.md
variant_04_idea_0.py,variant,8.201123e-02,165.62,,1.1637176623230911e-07,2.411070949377123e-07,2.5528172752157194e-05,0.0003617880377130185,0.02195615837743363,1e-08,6.209807767587309e-06,1.4169138659073965e-05,0.0016473934927817232,1.630743283628237,31.544809138173985,45.652463850320004,20.10095384685526,3.1645532197738016,2.656356179327501,3.033002161131566,108.54218673048248,1004.9344788524124,27.928078479686235,14.815635015709384,22.7493714372113,4.346493583952901,11.406109601425996,16.960708754753806,prompts/variant_prompt.md
variant_05_idea_0.py,variant,N/A,10.84,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_idea_0.py,variant,N/A,10.31,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_07_idea_0.py,variant,N/A,10.21,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_idea_0.py,variant,5.463858e-02,163.81,,1.070079656289565e-07,2.1401440016822661e-07,2.595674628368777e-05,0.00033667994777597857,0.022073491041337906,1e-08,1.500202622514653e-06,1.387580789837555e-05,0.001776959935064711,0.002150654375611844,26.662071791522088,26.64269541473455,27.032496050280887,2.8418189520203168,2.5952262201569454,2.9282477085018983,55.338545544062384,943.3465807993122,24.62386212376437,13.826190129466097,22.399520770761267,4.5969260768219025,11.242794377616736,16.713082519063015,prompts/variant_prompt.md
variant_09_idea_0.py,variant,6.990675e-02,175.52,,1.0972245509235281e-07,3.3229897885370024e-07,2.768121059814844e-05,0.0003782919290946782,0.022356720554638138,1e-08,7.760755010941475e-07,1.3853239520152799e-05,0.0017909390289563146,0.000988138619832529,55.82614802016982,20.63102763253368,42.51300280309392,12.937347167050154,2.6014183111124876,3.1329642396236275,102.00397952548285,13685.16543111917,39.559403706161724,14.253538309568032,24.95156312566467,4.887341157456538,12.24327450133259,18.83046642876213,prompts/variant_prompt.md
