algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,8.302464e-01,0.00,,3.10418856014635e-08,0.0011662265918401815,8.932702302499047e-06,2.2938227533527478,0.05475168920532617,59.27262385489445,30.72391886392587,2.981564567977673,0.12852450456067127,8.570147473541402,0.00011660868156154264,33.03010225644123,0.0008737247745863526,2.6830660354118625,9.805062678377517,2.584491795582521,1304.4077391637425,346.2031091083239,16.20901213360631,323.73605827789277,16.921266548941556,5.157240280988196,18.155504141825126,55.14727653120169,
variant_01_idea_0.py,variant,8.349783e-01,446.44,,2.8375685318339057e-08,0.0011961140132939582,8.77389508729329e-06,2.52348320879495,0.044777615937925556,18.29277075395046,35.009450231571925,2.761819933979645,0.10890657665872497,8.475902276645751,0.00012882089152295377,24.862867903635053,0.0008464193374075259,2.718260032766041,11.602404343334445,2.5720105630340773,1176.6209975074748,1344.710326394347,23.71696513914083,328.5977466895919,17.358878083463445,5.0303391928087935,17.68489235474809,57.33054111522128,prompts/variant_prompt.md
variant_02_idea_0.py,variant,N/A,8.69,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_03_idea_0.py,variant,8.554091e-01,459.19,,2.8947217766410668e-08,0.0011251182534308516,8.198526106845972e-06,1.6458030649790139,0.04626085245364994,94.76183115637363,29.20812126342505,3.2110262294682306,0.14517424767912568,8.238363885798256,0.00012729506612395406,25.509635152585812,0.0011863216808528127,2.595041312376355,9.643277125717155,2.418182338495809,1637.7248371390044,435.39001079292325,23.22768186591945,356.99537203757137,17.314590927353123,4.971564838137023,17.558138572746177,52.33365172577277,prompts/variant_prompt.md
variant_04_idea_0.py,variant,7.986763e-01,471.46,,2.7199800756822818e-08,0.0006870043478653461,8.298525129058392e-06,2.0983664671147695,0.05168749244596422,40.21857935533557,28.590906534328013,3.3170192471057005,0.10415420963325749,8.72916514812851,0.00013208329258579293,24.296883888071157,0.0012560797712086738,2.4213373098423494,7.253171285715756,2.5823948164795136,1418.3767179273048,614.7003441679914,21.115445000232175,322.180245566228,16.284734657152583,5.108712013925747,17.91231719347514,48.154284972824215,prompts/variant_prompt.md
variant_05_idea_0.py,variant,N/A,8.79,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_idea_0.py,variant,7.590708e-01,513.62,,2.4422606247963727e-08,0.0011873969091660845,7.5095398578375884e-06,2.00034574747777,0.04945362382076446,38.81799426855929,30.021290395479255,2.330039203692389,0.12397552982402303,8.527096401102689,0.0001265888582318598,29.06561245631558,0.0008543530788646865,2.6364118796164995,9.407937625728293,2.526611957649076,2671.3042754307885,58.502381636175805,24.741630630678806,319.92697968410664,16.36880605269675,5.039974423221385,18.01773525784554,59.775980479453324,prompts/variant_prompt.md
variant_07_idea_0.py,variant,8.407733e-01,450.08,,2.3326966996042004e-08,0.0014582496873789342,6.64633943473941e-06,2.4001969085626236,0.048614519578825115,118.47077368251695,27.75171307687683,2.3288825875932826,0.17447541338777112,8.718844673697848,0.00011178972607195858,25.894257619859424,0.0009161058718019563,3.3312805309685625,7.38811805356306,2.335805344706989,1473.1955746636786,341.6292903524554,26.34717318334911,347.5502088854383,18.46382541704003,4.9707125594224895,17.140711516728558,45.84562910506186,prompts/variant_prompt.md
variant_08_idea_0.py,variant,8.041969e-01,457.88,,2.619455092543234e-08,0.0012701860256722247,7.095150183952638e-06,2.2615714451799382,0.046876421272494785,58.254091643074936,36.01110344620592,2.82371975022852,0.15443489357119639,8.114868323643398,0.00013516869917004523,27.344494726164413,0.001031221004742917,2.9966622154105376,7.333913121611185,2.4559562279993727,1493.5257103375584,257.9161766956714,16.536271366303147,315.91517149936664,16.942899040254165,5.044917143362248,16.960349589052395,48.01902721886802,prompts/variant_prompt.md
variant_09_idea_0.py,variant,7.666271e-01,446.40,,2.2839107459854982e-08,0.0010047315988305368,8.129552676768669e-06,1.6588782970144098,0.057921671093126625,71.52313636355854,26.27034135489128,2.528210715007798,0.10974276625806396,8.628526640413172,0.00014342779238170206,25.54005082580363,0.0008434816908124999,2.8722143682742365,8.491092130279236,2.5194955129609453,2554.0969231003414,73.61014448268604,19.380981607188765,307.10297619948534,19.336957453542816,4.9894170368642765,18.417444179777245,55.79613670210446,prompts/variant_prompt.md
variant_10_idea_0.py,variant,8.946631e-01,500.85,,2.3824434094759536e-08,0.001996151807199174,8.77065615038712e-06,2.1911556527683045,0.05522389145751463,26.393109052206405,28.462568155246622,3.7148778226863626,0.14057366428212675,8.774281488717017,0.00010787548173272125,41.937497151014945,0.0012339068347729059,2.186918839717205,7.087242075541859,2.582630901708293,2134.9195422028038,1488.0050921044246,21.261281022702125,310.9478518345451,18.281865076277846,5.076218510851693,18.272562703781485,50.020939761989766,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,N/A,8.69,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,7.644995e-01,528.21,,2.3887505659997024e-08,0.0007641079331237603,7.5164431923401055e-06,2.1480368579876084,0.05269172735577649,41.781039826412176,31.068293941491167,3.0069463647744996,0.16474336229315742,8.196518354500895,0.00013565736144527268,21.967029456468808,0.0008397420720071873,2.6805190467040054,7.371022590111118,2.4090403316514055,1800.4124721935666,141.88767243274273,22.48280031125352,298.65415920162394,18.164600930768568,5.075495140004166,16.673034457711235,61.81097583347497,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,8.874531e-01,446.35,,2.604352205874094e-08,0.0015410643318060947,8.417230981023214e-06,2.3550307527990073,0.048148569896266036,63.54929680951772,32.0574394467833,2.2263411482090647,0.14632903300962374,8.723937254516386,0.0001504009974326912,44.921149936011794,0.0010963025223516341,2.505914632658974,8.808855459448537,2.5788486632867866,2030.3090887910123,510.1169712158965,23.413174587834686,286.0872370768783,16.745927344253058,5.055121452480893,17.967794750722103,57.713341773609024,prompts/adaptive_prompt_3.md
