algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,6.832193e+00,0.00,,1.1181961720719304e-07,1.9239902991639648,5.657045945880619e-05,2.5928291248636626,0.8468927619672513,134.6858909940354,265.4226726439874,6.396815013240172,1.5997410178324523,46.92224335097774,1.0811603490985102,406.87688966988964,2.8379614078978115,31.282718612929035,7.427307923061107,3.5912566051369232,5372.292915168096,72391.66705802437,59.12787302245856,118.51551234682479,20.087511969376195,5.688816608153755,13.189276937205317,54.51929782108133,
variant_01_catA_idea_0.py,variant,1.539880e+01,168.53,,7.628715293101387e-06,3.084382697459535,0.012492345013680718,15.632920389326472,1.2905281237635218,3079.3936417950667,625.4004004355351,12.422474514236859,3.5413281804553605,62.97822801309867,6.152590630955335,385.14254219752877,6.5566554244666495,32.63299035627721,4.2441160722338065,3.5320268067283394,5428.855171862434,74570.04166901117,57.99658114667237,82.9055440332975,20.64488587527205,5.647389889600953,12.77765849300169,45.31310185782686,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,N/A,8.79,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,N/A,8.74,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,1.649023e+01,161.59,,5.402258178779292e-06,3.0714934586258744,0.16284396314082142,13.401723681830198,1.0890131775494318,2825.696844599173,629.5850381485162,11.26778153315194,3.6794109461937565,53.65336571780207,4.2822536413947105,368.1685201637085,7.1785308137827455,31.99608207674351,3.7386964763388515,3.523210744157998,5701.4499476429,75634.00179232728,54.729057794423426,145.82817809341537,20.158439303274257,5.678036955896214,12.579179868581392,44.31743416922554,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,1.751760e+01,176.53,,3.960173423911807e-05,5.153203498550883,0.004983648471684676,21.4625423908675,1.1504877380107132,14106.43382094499,742.7201332235788,18.11843253580995,4.111575485746881,65.45098231406689,0.20683728939657972,815.8754899230122,1.2251359795848704,40.232877218125836,9.390656062977776,3.9488675899523837,4549.530052142191,206146.3831276198,81.13105112966929,207.2198741027285,20.12003202339854,5.917791042680188,17.7844243231457,52.77493861228855,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,2.048062e+01,570.94,,2.4703620619026153e-06,2.84646128384794,0.0987682816235296,12.72723418534828,1.1141753071622216,2584.303322051976,670.1252775707941,10.420537202207704,3.169728081046258,59.52324877795322,34.02375903505232,697.6094720483169,50.58930524522761,39.44533996007715,4.2772869215950875,3.822625139710955,5701.1250936539955,161029.38043253386,76.29050707877761,143.4592584149469,26.12240332023051,5.720988605023318,15.841284177039686,48.022431117976886,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,N/A,8.80,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,1.415633e+01,167.45,,5.635810511338273e-06,3.302156767211759,0.0032922209055415937,13.388005809912055,1.1853327736612964,2215.994015305461,656.2260426702406,11.494088425705758,3.307876739537291,63.922694921993205,5.522133923638109,385.5575028039418,7.383099779885712,32.20242232628208,3.6993136097926023,3.5136041587036164,6740.597135193761,80648.28501241688,56.07345925745381,92.80178504742548,20.316216980102002,5.696815878275194,13.031198400391586,43.49615783504538,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,N/A,8.79,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_2.py,adaptive,N/A,9.12,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,N/A,10.12,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_3.md
