algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,6.832193e+00,0.00,,1.1181961720719304e-07,1.9239902991639648,5.657045945880619e-05,2.5928291248636626,0.8468927619672513,134.6858909940354,265.4226726439874,6.396815013240172,1.5997410178324523,46.92224335097774,1.0811603490985102,406.87688966988964,2.8379614078978115,31.282718612929035,7.427307923061107,3.5912566051369232,5372.292915168096,72391.66705802437,59.12787302245856,118.51551234682479,20.087511969376195,5.688816608153755,13.189276937205317,54.51929782108133,
variant_01_catA_idea_0.py,variant,5.868631e+01,1704.21,,1.2551315011641353,9.755408578087708,5.091885586363779,40.08652206019899,1.8616955661213945,96626.90781202893,918.2971359094935,25.181746832807146,8.677900085183158,150.55984402454533,8.675741918244745,601.5039770498857,13.554533193051181,32.488954758420554,12.31472175282933,3.3754167633249743,7218.773150931158,104273.93283487577,62.12168311714597,228.99815119358723,31.43392619318011,5.621316468926824,15.068161399778974,75.29116072141073,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,4.492348e+02,343.45,,107.4462715310428,228.93157160484117,776.0390797216894,334.9533353625757,6.16116289482543,4191338787.5123563,9834.47568476836,411.32047255806344,54.64339461144621,340.9533480752133,322.8733445767917,1573.834569193554,217.7754773630237,58.855645153552565,19.389235216771663,4.265504643052314,28266.5337305776,390217.94477961125,103.96100115546349,492.70389579416224,64.61851426475361,6.112758384733244,22.692388399368657,134.45777088626696,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,4.200065e+02,252.43,,34.94991147157464,105.77764077550906,669.8619645844466,324.52043525225537,4.961430366303716,969134315.1103865,12666.671626019794,520.3181471334626,60.55876600578584,464.97913929318474,431.0096898302964,1949.3248778283853,295.60294307794493,62.40676482563563,20.67601326653588,4.4398858054335,40167.9102954585,259052.46036825608,90.14444688315722,593.9941356996325,73.31536406514905,6.020295333197019,23.550620575522107,153.67092300026152,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,3.934917e+02,173.76,,88.2673776669407,189.63822961417787,674.1288341692845,300.9288052234965,5.818221326212845,2212468287.056012,6923.254118329654,378.5970817800261,51.872436415555065,282.93594510263193,269.7618614884577,1428.5240001443567,188.64928569040848,55.89924543204221,18.326991750331548,4.211956646780691,24093.820472426178,357758.29009952315,99.60854931063322,449.3581500341732,58.518943409055176,6.070954194271563,21.86660968433754,120.0930073058524,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,N/A,8.91,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,7.018074e+01,192.91,,4.635524679889488,11.061641801848118,64.83935902108229,49.24309714644484,2.6621947447402574,899602.6179444861,659.5117219228639,41.09230603010928,13.12211247499943,76.19078521584058,18.00834889753802,345.2841504037866,19.768891015458838,23.860307407152384,10.89328444392759,3.425540894702968,3036.580438196397,47569.19299494563,47.33851617352478,198.41641513774928,23.095748162190038,5.531672516155255,14.10851954575285,71.67682485462979,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,N/A,1695.43,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,1.310314e+01,181.87,,2.1368770455554112e-06,4.272178661055176,0.0001161959717371839,18.412149315077983,1.3309406229370793,3112.418691467507,429.4997736711769,15.165520644326302,3.377309047010371,74.12623112280527,0.47144971986063605,981.7003234524856,0.8671437232497121,33.945852298019645,14.269599522731683,4.182131137817193,5879.107512050784,150622.03425599853,74.91921534106466,362.3286512806613,22.053064826477737,5.807553403151561,19.482369600014525,101.99205722494617,prompts/variant_prompt.md
adaptive_attempt_2.py,adaptive,N/A,8.79,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,N/A,8.82,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_3.md
