algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.625000e+02,0.00,,11.514697043178677,39.29689806106419,125.38036589142288,113.88887272954436,3.6173886959885078,39471062.47068361,2349.122801922182,119.5920282773581,24.23080187474183,203.91704100143158,138.9075071053117,670.4208033212732,119.67352754695932,32.57741954266258,14.265759438908828,3.749128876279766,7857.622154124843,89318.4596315505,61.68287646748135,284.23267092748716,40.28307487909979,5.64957146315604,16.77934037127508,98.3684712307185,
variant_01_catA_idea_0.py,variant,3.643996e+02,434.20,,81.16405755294173,202.60577620865539,483.18749248540314,270.2158095684232,5.886524491541624,605245685.9033223,1128.2696809363972,286.31441509972916,44.19238054452664,120.90718354574138,445.61499473122666,1722.1975513588166,302.3775564269614,62.09189921549533,20.87983823688218,4.320389307857231,43994.33506546478,425358.1067202639,107.36949214162802,548.6980800358338,71.21165821265647,6.132470276479061,23.071355639706894,157.6445774538028,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,4.689685e+02,461.14,,78.24869301893388,210.93086999250016,574.07942313847,323.83315607471445,5.781933560385968,7262474165.880055,5742.430127057686,376.82547811249964,51.86871904245996,275.4378287955347,561.1290578023,2232.6422778104547,363.4565598686114,67.33523823502567,18.28381414788634,4.5278820311316075,27801.959998478895,476086.9521444336,111.1429496995154,529.6277180459106,77.36562204240784,6.058978915696713,23.551500982600302,147.26368549937737,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,2.368070e+02,509.59,,30.761096065757712,73.98702236478061,314.97426158510655,176.53161351566064,4.4087076748598175,255889284.31848627,3909.5401294232743,196.8799097151186,33.807386017744214,255.56560867002995,199.91535687051018,837.0596107223469,150.1166269057528,38.477911353345,15.642691577147993,3.892203265493975,12139.26066695263,127754.91750620362,68.69811734617083,320.2939826888883,47.59932825503486,5.725181329835131,17.775331810549556,104.7103866839615,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,N/A,8.75,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,2.027350e+02,2251.57,,22.39777355282795,58.766650230851695,236.88949222307699,169.65545821124144,4.128672378476461,135693260.25739518,3026.733496298626,177.62613172089027,30.730089176638057,237.65429424508116,152.5375991899724,638.1209373582178,134.5453572987015,34.49608352381115,15.323404908397068,3.747861136006388,8517.280680681646,96608.54934631768,62.38206476459955,318.9412775178145,45.17509625420127,5.689563270426582,17.856128767703147,102.46385534658272,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,1.670934e+02,416.78,,11.06249984663525,41.82899061612414,144.88404931142088,121.16128574931642,3.6794928801652755,55122149.422200955,2398.9834649199947,125.1017749186602,24.68074668569356,208.0533825852385,141.10932401432538,654.5767148454687,128.02205827571635,33.144404659179294,14.504881502510573,3.764031980769458,7608.116667634103,86530.13755304662,60.604941623158375,278.08520229186075,41.91714222826754,5.650321254465502,16.903383307931826,92.98738471710638,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,5.862240e+02,583.05,,134.4053138886348,262.5984076112798,1055.8730295984776,416.23281303067915,6.356907752854975,16078539279.16477,15056.524273567555,598.3964186771366,64.48221610351052,547.7396539726712,538.615727130039,2006.8836340230037,331.4052352106462,64.46051951830758,21.711544086502872,4.461468979469739,45047.3825873233,407647.96187483956,105.78714114493087,622.6903404902824,78.73370317219128,6.064832762033783,24.432621390309688,170.37952874801056,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,1.448500e+02,423.46,,5.729600330274827,29.791639880190818,80.52138989657644,111.71068028109778,3.3248249043356264,18991900.80573353,1690.7636473673174,99.72200608261518,20.651203373105847,201.98707045323744,141.83043764763156,661.9364631798443,125.88238383879306,32.751344822541505,14.674437550295147,3.7224338475590115,8112.14184290144,87409.31987317931,59.42158246698803,298.08258897062336,41.421707909077796,5.654350034910831,17.25790517365347,99.44838562915706,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,1.605235e+02,2251.19,,9.991673372637257,37.94950077391987,133.07867981078817,111.82965360936338,3.5599936792859173,42241900.03792906,2251.764913671341,122.19237773778765,23.71443562347639,204.46794274795212,132.01352531039925,664.00687843989,117.10295054474987,32.94125261037425,14.173811857602388,3.782856029660305,7497.49863509622,85406.6930421801,60.82028046349594,282.41808379743316,40.229206038713805,5.655402839668421,16.939566330417605,98.48149998193452,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,5.446917e+01,444.58,,9.63948076676372,2.9175408590210137,142.6079312759251,6.843786052723374,2.8045662465467833,98.44949606142164,1317.7730056614175,8.31201763293783,11.768099314434002,156.74687080805862,78.89535253138493,259.6489865176099,109.57136710834259,23.82198069658419,12.735790057453945,3.8607425016543746,5401.070466165324,67644.46281957581,53.51889053475028,230.93328088052724,37.24458564237737,5.667700843037643,15.367833911472266,78.88192029948696,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.595953e+02,446.69,,11.481968813076586,39.462681789560065,109.73385060123664,117.52661252859583,3.603794150091591,35662734.311559334,2230.5153118767466,116.32348159793746,24.07489560035811,201.75151479904358,130.44760662421547,663.7038802327238,117.97159818818605,32.7711097660582,14.242641365842044,3.772182891887948,7584.076815271319,92927.96227522491,60.66816034284559,284.34301055273727,40.6696200938426,5.646085648291491,16.693565955338823,93.99210026406153,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,N/A,8.67,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,1.333128e+02,413.07,,6.957190938014368,31.604155674642044,80.34816042474439,66.64310334429844,3.025180866347613,18978703.8015289,1698.1872695539726,103.5694352209128,18.847901436199535,207.67558329745987,108.59657137493446,428.5750657847502,119.58855936906659,29.50573666303819,12.84905357802665,3.7474407869501505,7886.992654634466,79691.31134189441,56.945576746632604,269.4331788839841,38.28105584450431,5.668801200756113,15.178805905021699,84.9451044554384,prompts/adaptive_prompt_3.md
