algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.446917e+01,0.00,,9.63948076676372,2.9175408590210137,142.6079312759251,6.843786052723374,2.8045662465467833,98.44949606142164,1317.7730056614175,8.31201763293783,11.768099314434002,156.74687080805862,78.89535253138493,259.6489865176099,109.57136710834259,23.82198069658419,12.735790057453945,3.8607425016543746,5401.070466165324,67644.46281957581,53.51889053475028,230.93328088052724,37.24458564237737,5.667700843037643,15.367833911472266,78.88192029948696,
variant_01_catA_idea_0.py,variant,1.214724e+02,529.07,,7.674367187802718,8.797120298397193,48.62173117565862,42.338102392783945,2.5470346608535936,336498.1288767118,786.9096725276265,33.20651023670663,11.498299797602995,103.34621501850535,322.1648267593254,1333.9317146796757,247.6602590037829,51.09742597403997,13.548972776801918,4.1727222700269735,11651.020945830332,347687.56172149966,98.5270364623754,314.61112877521634,60.87782109816264,6.0492542389258785,20.364902416268194,99.47327612730601,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,1.048995e+02,218.76,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,175.6536720455014,758.8730979131012,172.11872734343316,33.342276720663136,13.874498886180723,4.079793590179361,nan,195524.9142386163,79.90062597747573,277.6909111809562,nan,5.747906004850777,17.532711799786448,93.77857914984489,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,1.236195e+02,276.00,,6.9997775256637995,19.22629478266769,92.77420399449097,68.24103096493677,2.9398242306692324,2143861.0109159015,951.2466497703151,52.56193758451959,16.284231760124456,98.74748393541476,158.7611853736826,1055.8742268799313,170.91174045343692,30.520950713603998,11.978522085065281,4.085274480386103,5726.123410912355,207996.13338961516,82.09374748803441,246.87906652300532,41.354398755751426,5.747796279969707,18.35786030212941,83.35870651847422,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,9.691077e+01,457.95,,5.740865554552225,9.01153731484963,131.50775418902703,41.64185940662537,2.5114362043404292,531169.677326532,1350.1277739452805,34.864196341721836,11.416524140492424,143.3846959680749,99.633740870645,455.8695686461982,161.74293140020035,23.19043632253932,11.612126166942774,4.104740049260382,4517.383384526972,100350.60392671725,79.49370762249124,208.811183345216,37.47247335946256,5.768466513946584,15.668754377962264,78.13504227854527,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,1.446777e+02,2431.43,,12.095248753832376,28.96615962014267,137.87183394812894,99.79646099342112,3.3843855681829353,44037722.484570146,2854.0841860268233,85.53473630202306,20.984321983929817,267.84831488104874,69.7602578649307,392.57209345905045,65.2317212344821,26.71748291355165,15.691159300967245,3.442629797326376,11675.999836304185,61346.89896645723,43.43204064163999,292.9372769018102,36.594573935310734,5.5629904132134556,14.426167756105741,103.9845577641129,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,5.470573e+01,443.97,,10.173765937463624,4.043241898031093,142.5208083994353,6.944551296317566,2.788286384100903,60.302040442473555,1459.368266540009,9.172503737580433,11.951360921587874,157.21526241029534,71.38013573506672,314.9561233615192,98.8150897074858,23.779343375140343,11.93775543847624,3.930066498202789,5749.4395913956405,66820.94145690752,56.84675894429973,228.52088942308873,36.20370381125065,5.702473538921935,15.204942856822338,77.21049739906381,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,N/A,3045.31,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,1.341314e+02,183.75,,9.229758139261135,25.19381950906101,149.52052339814477,76.92576482211744,3.327975412129185,6935412.348475105,1802.791920954908,87.10346224091474,20.2618968776879,138.28379676785602,114.74479841005038,637.174994075172,143.04584799686165,27.557679125681684,12.074129108087494,4.0822711675357315,6423.717014422532,95225.21570222854,67.10180393109859,234.89738698935858,39.965823169651024,5.6810634771745,16.890874670043022,80.61223132477727,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,6.813921e+01,2261.96,,11.292947176067067,3.2086874330602835,151.8693681408909,18.780912726095064,2.926228335905585,196.48067863582096,1130.1505251838441,9.218094672271544,12.452152372229834,136.43350155007641,99.14247126983909,732.9751035008879,161.66411898797955,27.451757559150774,11.393149005059964,4.088290709657519,4391.058038329974,261120.87085609994,89.491440046356,202.38778456927056,37.508961062269016,5.887337761930785,18.59648117722753,74.4832362230813,prompts/variant_prompt.md
