algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.110153e+01,0.00,,11.387179796766416,4.263920146370962,117.00967838493479,7.99568968416574,1.7873857751775972,2441.1982502621418,912.6560661162131,9.302883267385267,5.957474810190482,126.00849423269776,56.39271713593962,158.4533690714949,70.6391782492418,23.355132410777795,10.608217502732773,4.027568242075099,3423.1038604612586,26075.047972961667,47.73294031156486,190.27326899685414,32.41444899268359,5.869833973316098,15.008377807941713,54.59156412303077,
variant_01_catA_idea_0.py,variant,4.285568e+01,718.81,,12.387613790918193,1.0893238441193696,133.47522755742563,2.293293484945222,2.2079440190529547,35.310852697510846,900.3834049982834,7.619867232571216,6.225297624744982,132.44932134102464,64.79277019584178,292.1608956826169,67.90571706968143,25.19373636065737,10.779220224410324,3.465572819386002,3874.815579167947,92962.21368745605,48.42410082373185,210.71152132172432,33.95698564573517,5.679724172866594,15.022478890047394,62.762603456405635,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,7.479473e+01,694.58,,13.93435839554171,1.2650242394214066,148.5766285307359,2.7068195429088604,2.677887186656092,1461592.3085979396,1317.7476446003868,7.911638993858166,11.32191357526954,167.82865908356084,92.47288654054603,212.0752231166055,66.11587310477934,25.630619771509235,11.827205736720884,3.6679773611756206,7246.884366458714,68715.04197004293,47.36039578154793,237.3989544957018,37.01696509742205,5.696504720099163,14.707881588076383,68.27633262897957,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,1.882259e+02,657.62,,32.509412726148405,72.1989729839726,315.8647876631913,172.43519178944533,4.397251082074536,18032954.456181455,3301.629525948091,188.53463838992553,32.41160907602632,241.6043368105985,138.41127813050406,580.1143595254667,116.3255337935929,31.94146775253896,14.9398385942657,3.6635689887627163,8891.286818525592,72846.55199303164,61.1819341129863,305.34954729161024,43.95218299344304,5.717648523732109,16.99945074744295,93.77180132430522,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,5.056781e+01,792.10,,13.70205851648666,1.7057344831180874,123.06944280088183,3.270462178291606,2.8654795872680094,680.0136878283417,1343.9220059760924,8.023688483349275,3.4110102714648463,130.7912156101489,69.68308782383006,209.05040917187353,61.98528199855468,26.47629255754937,11.543422252738694,3.723964598115802,4570.539244479026,94514.64934453233,49.39925031121812,211.89087197784932,34.05052142685805,5.647774734649083,14.35876159519838,69.07428470745894,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,2.488228e+02,732.18,,44.92663760403653,94.73541828698617,386.9837970638297,193.5804413625171,4.763051757448644,331058121.24645984,4208.8669623919195,228.88843783234313,36.79432882018639,275.91461266109195,192.29031367966687,794.8525044496512,147.2792886755558,39.3018326763613,15.57831880505196,3.783512136020226,12029.111041025548,103502.54154864106,67.09511369808607,311.4617813480878,47.42209045176133,5.748910420369228,17.557815414794945,99.34104413822114,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,5.038566e+01,627.21,,11.445759018557467,4.1225943912236325,111.53014238295157,7.524047586167847,1.8328344509897692,1641.5479649345198,1044.3440962619902,8.86439453179764,6.081775561868203,113.92377818021525,53.54929484117327,133.22519266146938,60.84304871410499,25.200770174804408,9.722852451775381,3.4445326686509206,4000.525071071125,41283.068045729575,50.603818432662536,192.02955932889472,33.088890116476435,5.756341993499876,14.912730129556872,56.16667645131293,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,5.581226e+01,661.56,,11.971305709287488,3.3256297710852354,129.65280134082911,9.920948611991358,1.9914640700225905,3122.308380545752,1001.5949018305593,8.488693611557487,5.644898160379317,120.29220568592525,53.779501630776224,249.6976840717184,67.02239308935589,22.952855494173424,10.236706801563194,3.930397741023893,3457.178289030174,107679.53513919904,45.498524008245155,200.05180907297802,32.963227501568,5.7482295005169854,14.41713557602222,59.01516614828941,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,4.854658e+01,770.80,,15.740279187510335,1.628223267016005,153.50859516790882,3.52510001022169,3.1041482529031974,21.35488045133198,1636.4592506422587,7.464840170794735,14.322393490573262,183.54309281000465,76.60758795748879,167.36256292414822,72.40723408543424,24.58777312397649,13.423390363759419,3.3626497746212465,5890.916185918183,62315.89436708929,49.21301337063564,238.4718805728365,35.41589871032113,5.741451990537087,15.041244251191875,73.26236370333888,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,5.217519e+01,728.85,,14.525298832615848,1.235167681189727,153.543971244842,2.516225554790508,2.5310073568694236,882.6610888824132,1275.1167094645066,7.709834214512093,11.201037226439297,145.24143089596245,76.63018022992749,176.23658976851203,58.49630406006368,25.568042191785544,12.410877269323702,3.227950929229201,5086.409101600094,68385.95216104203,51.44528638206641,235.51241358307664,36.06775821361496,5.716363064577791,14.24903047219996,66.7512411172194,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,4.941475e+01,760.68,,14.661578103245157,1.1616382994197527,155.91088054148847,2.822029087088424,2.6623798047179434,110.33162142993218,1330.6778701693418,8.076860740960894,10.568106409258386,137.78515570751915,96.02114092951214,159.0756686738488,71.17112819017403,25.079887254713817,12.92315354809927,3.5380732350813666,5414.39113491195,75262.9225611124,56.93755748721976,215.4064100177334,36.76572710690895,5.695338319778844,14.434812546277529,69.26054023011194,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,5.713284e+01,511.63,,15.06340327143917,4.862923357085111,183.18543394102997,18.760749619127996,3.0118753395664712,10.584053739443975,2095.468379990218,9.528125556923877,14.484217813680935,192.16470573724018,76.61277982534499,288.68280725215726,92.62230414013658,23.49046950453733,12.762983211429475,3.75312070997747,5915.653884575779,68300.50719492986,53.921263609115044,230.11846085238196,38.659014273257675,5.647790883529025,15.585023626983164,83.42605872220473,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,5.624061e+01,519.28,,12.332475980587546,3.8879406537108374,149.88733034267636,9.252575035956777,2.9635054261138043,48.10225956575921,1769.068001777597,8.76546626774342,13.148321410639877,170.2683538621063,72.7024614635082,283.39575102649655,89.50564320837556,23.054394011390485,13.299351496733589,3.7732097382339576,6550.247676896899,61285.818559179745,52.00760021544149,245.60797137937962,38.681898406066125,5.6917833837134895,15.70750252007423,80.54346297658945,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,5.731315e+01,429.89,,11.859088959963843,4.242994527621413,130.3455885080196,10.337358806744252,2.675600266642932,121.88461673393802,1653.633743255783,8.709343687820105,12.963421137898207,180.92323934946424,73.42619112907205,216.43627413877007,77.18060604609549,22.335615219653263,14.1627997173546,3.6967728729039333,7571.773834489464,45775.82743204492,48.71114139021394,274.267330416282,40.09677847516707,5.713886741402273,16.262977577743143,85.37435133003727,prompts/adaptive_prompt_3.md
