algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.477855e+01,0.00,,0.17469692218395047,3.517951001373719,0.4116798517157847,6.4395165041461455,1.1645102595968062,9.701415724351829,731.829698911283,11.72967111849462,2.896967398220744,113.10473213941223,25.63100283200098,232.7754891867935,67.50187361389851,22.671436500903663,10.822203153402834,3.62682758209207,2536.1546467640173,47778.149017790085,48.761530539010295,173.3395174590207,27.31257623839819,5.618456967108561,13.567500998762977,72.53302353317065,
variant_01_catA_idea_0.py,variant,2.545714e+01,1659.85,,0.1797633594270137,3.5775831859028733,0.4430807340499953,6.459452821950896,1.265259246643729,22.619022848707505,770.7790162451826,11.837656368620957,2.813356829362574,112.77783723812287,21.714112264668188,257.0171148796276,53.80691406350917,20.312382611656048,10.850245653935039,3.4444768694475383,2721.6468328333267,45972.29219068782,51.32833439954975,166.49530752843452,27.81739208942732,5.436455214223589,14.016369592494884,69.65317166939778,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,2.669263e+01,1689.33,,0.16753464069871127,3.4631114884111813,0.4968402442729593,7.356817973766698,1.1837537083073775,51.1952037854347,709.4678889635672,15.015256534083932,2.9085741909922294,108.0074417242578,22.374055457227936,235.94797081709146,77.4738292413748,21.022901171488662,10.517282945100007,3.6044350696938876,2548.652311037,46804.97166411208,47.54128141097358,161.45581753209484,25.47614294055317,5.534473646890791,14.224143074455206,66.48303650548827,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,2.545793e+01,1634.26,,0.16365422170497965,2.758538100641539,0.44589201499791764,7.010274095321509,1.1990429934212339,44.91760046041563,738.6712615563913,11.098174824607943,2.8759905280397424,118.89139289642405,21.405698745474364,216.08976943482412,56.30567556405816,21.052614263997917,10.83749305676498,3.508839310359446,2616.995781029688,40613.80604635472,45.80819382935857,168.96492893223783,26.968535027077337,5.5229673683817095,13.784450265062937,73.20507896490855,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,2.876509e+01,1675.81,,0.16452191092740337,3.8078976667280284,0.4249657104462752,6.635629451434628,1.1950210759111595,700.6945342554158,750.9895116354387,12.23720190513161,3.0068105310169773,119.49880669255734,21.73385232794202,203.80825892245116,51.165639985071415,20.183723654561035,10.473297861381937,3.5324165126342515,2447.0282106234517,43451.66244637219,46.518305491878465,170.44944350282927,26.38035517438511,5.587728892816616,13.824410586418491,72.51371900820142,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,N/A,9.02,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,2.696269e+01,1725.39,,0.16885907689630952,3.1497380543229667,0.38619205917256616,6.802055494097507,1.2152383218599807,86.33643818995506,782.9020142337645,12.361063730467698,2.9522107288736703,113.40576918857155,22.647962944946006,235.9683511440047,63.392105413334725,21.72392953058184,10.782140348764669,3.5207969186201824,2635.728400319799,55824.53427699404,46.349268044602745,172.6650890898665,26.01020180584194,5.61680007482527,13.565690417132506,70.37552678169216,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,2.612979e+01,1604.91,,0.18150903306655822,3.4254510067703547,0.4046704486240952,6.691716754733946,1.242912559349319,25.743670700353213,760.5529929640738,12.326865543716117,2.9763705211337084,114.76457581191534,20.506668838976374,219.08253745221467,78.69515890057843,21.575618921697142,10.217176274213308,3.645116306549481,2930.3140135274098,59457.6845975314,48.19924723033507,164.20663052844793,26.778918127575146,5.6315105327493304,13.991829709514583,71.96432367254722,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,2.630475e+01,1703.52,,0.1732046609222758,3.3963366740991217,0.4087250286891322,6.651506702972921,1.2305134164281202,36.88652276487706,712.4512264852301,11.379102280205668,3.065145637903646,107.62670046133785,21.744153028304066,238.30254325652302,71.09120105658134,21.433697248527487,10.576691664282336,3.730686918152732,2694.481760875973,59146.00363717889,48.35026314717682,185.52251568764677,26.119020912090853,5.509892511419969,13.581737577586564,71.27502075665289,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,2.724085e+01,1676.34,,0.1795779757812878,3.1407435047701426,0.38987585876501213,6.428077555228402,1.3082885469972112,220.3674815434834,779.0707093137397,11.435466894330483,3.10695698929844,112.12267161389835,20.89821655246585,228.23505426244571,54.49645192858859,19.89461671887952,10.711876728037435,3.4221001646785028,2883.846213252005,35129.3517460031,45.61251885609106,172.0321830242114,26.287575829350544,5.663323708256335,14.072796119940708,69.82306325969635,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,2.582499e+01,1652.74,,0.17323825959976552,2.675947037842171,0.38907083248335544,6.8184344667271555,1.2061085474047655,32.95515045000049,765.6685736008261,11.681376251643313,3.007209050492208,110.12186233710577,23.622402907401124,223.043178181233,63.935253034302704,22.645776996198105,10.495525670320704,3.6477629458720693,2655.375293592187,49882.95696275746,47.812223010486846,177.44243963644516,27.668784382096934,5.491396754443885,14.527718326375892,73.83002910136548,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.026669e+02,740.85,,9.895996504081737,16.54482994482061,100.3837934765998,72.58077964699963,3.1452872226159467,4707920.791692224,1261.9228178969322,64.44108618489143,16.313694847810833,142.40072783446954,75.65834037523986,317.58848090607586,81.47539721431174,23.53008005770066,11.705834648810951,3.431627636016496,4091.8754496727784,37805.05313068034,45.72633857949603,202.2121474490295,32.398708545857154,5.497150272764387,14.557615426844126,82.12948698451538,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,7.372453e+01,514.07,,1.5758480488371949,18.27527094759914,0.7398495690375974,66.33045201887427,2.2792546096455246,3052965.1967105493,1262.7037889936094,61.9177493068117,12.570536141553404,137.58489961178486,52.08530813767132,358.83061790207614,74.63772773799921,20.940171091047624,12.88352980175361,3.3092949691692213,4576.922268229682,32232.789458450476,48.0621820136013,232.94377026358487,35.113945959578494,5.533319245735864,15.160122455561684,82.50685154555882,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,8.102718e+01,5477.32,,5.866828440964178,11.95788127658459,60.46749028294855,52.21204661684181,2.5785978314470412,913798.7467344205,989.3974511599348,41.07971825922588,12.330744373940504,134.10044665563416,50.642097809681644,216.11109173043127,58.25306051309807,20.996504702164337,11.794369015096779,3.4162812508526867,4149.375679342522,41434.71264490992,46.57283883824687,204.2567294643932,33.04027757983614,5.537428313152067,14.207598762357968,79.74865435209016,prompts/adaptive_prompt_3.md
