algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.477855e+01,0.00,,0.17469692218395047,3.517951001373719,0.4116798517157847,6.4395165041461455,1.1645102595968062,9.701415724351829,731.829698911283,11.72967111849462,2.896967398220744,113.10473213941223,25.63100283200098,232.7754891867935,67.50187361389851,22.671436500903663,10.822203153402834,3.62682758209207,2536.1546467640173,47778.149017790085,48.761530539010295,173.3395174590207,27.31257623839819,5.618456967108561,13.567500998762977,72.53302353317065,
variant_01_catA_idea_0.py,variant,2.700158e+01,1755.86,,0.1558075790595736,4.564696398766388,0.4867981802782375,7.21419868955359,1.2157581222365512,117.78360090771348,618.7938957079858,17.450317879580577,2.8350204687061775,95.77210561429007,17.134143712528076,208.18462640359286,60.18796467291963,22.839273527160483,10.354345304545696,3.6822884157574443,2030.1147973722782,52268.29734250479,49.17630405219936,159.3706421722642,27.655632196268407,5.439138616991994,13.292245969107526,69.20657109402981,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,2.325406e+01,1686.77,,0.1661514870500264,3.870591609569673,0.3847183769105523,6.383017668838911,1.2861793106265837,23.208358843146787,692.0484477193571,11.115331567122409,2.9544914396350954,105.8122919338566,14.41460485159228,177.2014787444479,55.33375759558339,17.065659178053878,8.626899810052617,3.651577416693065,1615.38342728001,45299.16262814203,48.51986911823792,154.46680666371637,25.46811770790638,5.407335418127681,13.690643883715298,70.18664994260871,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,2.344290e+01,1654.91,,0.15311558442720571,3.148386400544069,0.45562178778346335,6.712255794510648,1.1923298156905822,9.405765276793726,725.1800790888436,15.214167708843103,3.0266229695942433,96.94173536185387,12.776616058593193,216.194532856754,68.31271605302284,17.06947941926458,9.925819416287617,3.7570091075046066,2154.948645379552,52625.77398019579,47.20826148200024,165.28030963194706,25.665897768764047,5.657756707260474,13.85695010131094,66.31414155797762,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,2.582058e+01,1623.03,,0.1697579921931114,3.1624634776585068,0.4214070781245564,6.674890098456055,1.2256650995126004,48.90018080439306,700.9466145492945,12.572932482025218,2.9770062627255607,103.09409731290388,20.47441471350709,169.3467662582837,66.87178915228817,19.726766062372494,10.298119109851573,3.5256604435861956,2396.292756585754,63907.88172283092,52.33083356672059,162.0818966157949,26.403859747214238,5.475270284131299,14.040209195014473,71.95251483398913,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,N/A,9.67,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,2.576272e+01,1622.14,,0.16606935732371253,3.357050879681259,0.44168224240132525,6.680014095624171,1.237996504283278,70.00477421392378,624.3778008920737,13.548474979565642,3.0449739140886978,104.22200766822647,15.383096414138894,201.79416746153714,53.07079187873221,21.413253124836626,10.430908634947224,3.6060577266395546,2460.199767150768,54573.80464042786,49.276887781563524,161.84997437378527,25.974937158022424,5.517170321431553,13.560949726985731,69.15479277398325,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,N/A,9.52,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,2.707941e+01,1664.90,,0.1756873777343075,3.3899744696378664,0.41663839063586156,6.506682853030641,1.1623837553133103,98.77183388650856,747.7844914365924,12.329207570351333,3.0363546308727978,110.28303527129451,16.565552585678372,216.58801575192493,75.55342274730637,22.773428242552423,10.65929155813201,3.5601998801228554,2754.41418902298,53450.544101229476,48.11160402740418,169.50641460188214,26.738976798308776,5.597348388025165,14.116309537913391,71.078554193234,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,2.766380e+01,1852.49,,0.174890264646047,4.133575569923775,0.3928956789924717,6.532007106149147,1.1611611513793507,162.05223788737294,799.5832279569669,11.370182420395569,3.029140879394333,106.00678157360278,21.166873251911834,232.51103714158592,62.6595799403243,18.585715110650643,10.380896360958083,3.7077308382494576,2532.544347365509,58333.833282911066,49.923055825358574,167.7589108328232,26.375987814051555,5.606887898443921,13.668424743989615,71.76505880818335,prompts/variant_prompt.md
