algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.379221e+01,0.00,,0.15051447765112672,3.536912880027581,0.4333475732040979,6.542037503461912,1.247580116735616,44.04180361228993,699.2796608737049,10.881329220225927,2.828104154889223,107.79783402067167,17.880378465408974,165.1066185204256,65.10742943298902,13.989792345699174,8.606972249471234,3.5219779122137025,1757.1074030517323,50547.7382247414,45.89433678297493,122.2705827121145,26.349837661068253,5.704388231203035,13.054620653593686,70.5928110404532,
variant_01_catA_idea_0.py,variant,3.716272e+01,513.83,,1.5469966218933753,8.155597259156302,16.97661006505666,37.198405935523176,2.2069116740676704,41.44330616008388,656.5036905686034,30.95732453557455,10.012078697266585,94.61166090067778,8.846761347921799,171.70928444722034,45.31383015459293,18.035954835575815,9.581441351245111,3.4865683744503047,1971.7711428241323,54872.8668745643,46.663933538272474,131.73395725954512,24.08642027464838,5.605114609034146,13.56958162288454,67.91343527862205,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,5.570722e+01,532.39,,11.291329725824886,22.706533810797193,135.0647589512711,82.2721072876282,3.339151041403695,36.09060107674675,1224.2299463051777,77.58473130365859,18.88131144049923,130.1283234590698,47.878466993078696,221.20677714346334,48.843639038436926,19.667278542984818,9.046424153019291,3.1846510714503324,1793.5685428310057,27394.00286101957,39.77664388881772,161.67859974303335,27.80677610812556,5.39751714878581,12.3862489317128,57.82864922501236,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,2.415710e+01,546.12,,0.2969154909116116,2.8623746671717862,0.7987909949475406,13.742992176471509,1.5444920891303022,5.23241366981807,702.7106040538316,10.844459098412338,5.181560537155255,105.95971035861304,14.490997440946177,168.02428970393433,53.878226067109935,12.944532341288676,9.44936171310394,3.609236262993532,2009.0044089091402,48460.02442821651,49.83659185333467,132.74952727581515,24.03086807867046,5.558361276164921,13.708045946253081,72.39429501895872,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,N/A,9.89,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,3.143274e+01,3274.61,,0.25650226934800435,2.713164967395052,5.534154196936945,10.599816309204021,1.4256075585858239,100.90963852508423,308.9277200645443,8.654324890211745,4.1448479288151425,71.02560938243006,53.168240477148046,339.69620571773277,98.07601771148599,23.107846622522974,7.743519492378218,3.8348300843703638,2487.7473004240146,60221.30644635824,52.620148707708665,117.96178921861059,29.640190252649344,5.551158738365272,15.45748379475325,65.1187296797883,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,3.075749e+01,1629.44,,1.0783976601715684,4.562639264883409,2.4964703384861906,22.487261463836848,1.8241257499160968,14.565790563164557,667.7865815398334,16.127485714486703,7.244228612475932,105.29448072499518,15.748738990912445,185.06002075015326,61.823157164548725,13.907796834587097,9.710354302383472,3.689952014498804,2422.751930708173,49832.43871151606,45.232001123208256,132.81670669166778,25.820901089500058,5.4194478931449295,13.170771089808008,71.00522871945277,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,3.063297e+01,613.57,,0.46723658821018804,4.0923287431406274,2.478595845529782,21.641312903190098,1.733631316575359,35.039942818154714,706.0016329290321,16.143385620689717,6.664604637437496,106.89252115245704,13.428813415700088,205.44305917751987,54.16094663117928,14.266538183882599,8.224797630349144,3.6542499033485325,2526.5205161863464,60510.38714819152,50.551949516874274,152.86705263479192,25.615486678696268,5.580854185927624,12.942783120743742,65.79719279811572,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,N/A,10.11,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,FAILED,2840.27,A process in the process pool was terminated abruptly while the future was running or pending.,,,,,,,,,,,,,,,,,,,,,,,,,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,8.055044e+01,532.61,,24.37027682330582,60.85021000510988,235.85619408165581,147.82579545436514,4.148186322280272,57.78967355525274,2549.5052720486865,163.65739714473918,29.346141142839027,209.18906492366196,43.14001763463977,316.46288801855536,86.17740746736894,23.61204218499079,11.914322576997703,3.7761037755659093,1695.7245736126422,52017.58689916212,53.02412281753037,131.6901689182375,29.757571961541665,5.587613089433353,16.49964128441634,83.03201407093961,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,3.253865e+01,1674.46,,0.27557667088336635,2.857506903590404,6.774930575626556,10.745283048836482,1.4948427509868032,1321.1578762106165,724.9676580754111,8.82039040960903,4.3014525284922644,84.54829401170734,21.011507772899986,220.9267683999542,42.631132278342726,20.353744247947144,8.017955451974055,3.3531878672286255,2625.170272044113,28726.69256778186,45.5392244770592,160.25603365859914,26.63477909728517,5.564855278857563,12.98792274457128,65.68655433441724,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,2.640761e+01,2302.81,,0.32135402380883477,2.4210957628631786,3.210517058393301,11.3952544763474,1.487173532995956,779.5776234447038,617.6490222838792,9.296493948972358,4.6436603125096685,76.5476741806253,9.480575153869736,132.9176961328102,46.63910974955962,13.039673468183047,8.794217307737718,3.2296214251118607,1256.4192378955147,21789.453892095637,32.64899093976258,110.07123524107834,23.487195410277323,5.176288910687252,11.151157032498137,67.64771439878736,prompts/adaptive_prompt_2.md
