algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.367128e+01,0.00,,0.16315865223808,2.7011723426876975,0.4252343964418252,6.780165341588557,1.1886786684543769,26.338289908710024,686.1531244789824,10.714037610384084,2.9501221580560033,104.88433771161557,14.16183546624956,196.59664326458864,72.50700015471821,16.845413983553705,8.84642519694951,3.680039649323822,2122.9263292305577,50208.25099027422,51.198161462094006,140.1594343060808,25.500045641410694,5.474188643323533,13.764122885329442,65.063940294292,
variant_01_catA_idea_0.py,variant,9.798913e+01,1948.75,,14.722583162768263,25.464450229685077,7.7252769429471,120.01616176147085,2.596523747443105,127581.65721409992,711.0552200645736,152.3188663435039,21.50219283046964,78.13859969870082,210.73449823013482,696.0990959889176,147.82945861986587,35.38265512157241,6.041756680175944,4.0354339696600565,7550.685085157096,97687.87113381045,60.13815391784981,175.41751531973242,36.44146392704645,5.657494989113249,16.1723494913075,60.38886238587003,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,6.656459e+01,1814.69,,10.318194880512882,42.44654917891734,5.924421155306586,133.27723328327454,2.509746282851759,170.88958639774802,614.9003430112787,167.0372218836314,30.232286360185682,58.424663533747285,112.33741938798741,538.9888550325077,124.30500864812929,28.16918636081299,7.590240619129097,4.06862977651091,1881.2433131651676,132651.31503762133,64.55827168920919,114.01593729014624,32.496933026173814,5.822648243418486,16.479797416715112,56.74129144026852,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,2.869993e+01,1992.88,,0.12291952202930846,9.087628561570009,0.7852600213883181,36.54037740560801,1.2692614584664719,5.563827260798422,644.0781155387164,36.31914388432477,6.560539221439016,81.05431071173203,21.127999050373226,332.20094793459964,93.09057905371444,25.53181614211197,6.701097064073705,3.9851840012612576,1386.5362162819804,56998.00905500779,58.82612145286004,121.61487287718117,24.876804880486915,5.689950493495116,15.708736133800896,61.849446943058226,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,N/A,8.77,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,3.633172e+01,3722.51,,1.010851155739254,4.5430346172164615,11.236497780256345,23.604964632079593,1.932817504717641,26507.227692226446,343.9512087645656,17.516963607466074,7.192821475781865,90.76679650843174,3.2195286161226324,108.62157284538513,9.720768564404295,21.10555900508731,8.976747778367367,3.3732665125659733,2000.0971283898164,40689.429238540855,44.24094169406359,121.35265998297855,23.658812993688027,5.6610224091860415,13.042709782092745,68.74190989171832,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,3.262664e+01,1826.83,,0.1913581567464219,3.063339815585459,0.4513175638632095,6.667788901442041,1.3045500670076544,1021639.3349247933,422.24991506526305,9.266946456997355,3.1398298101719977,56.985617350452955,14.612863508686107,180.3608712209134,51.84972473038347,13.629910582637372,7.790337279876143,3.5510663615104616,1092.0662790897507,42069.88905524334,45.56704616821266,101.09090637222661,23.37657584601537,5.3248559421374715,12.833828256897501,73.83027851641882,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,5.701127e+01,2966.89,,1.0499084535535965,4.571940290584467,27.758162335994722,17.056523883548593,1.8208562960495296,2387361.0099068843,773.8941730625144,10.669405390361273,5.609403789119739,105.63907573304941,23.62748197826176,204.9618163096852,76.60832074920971,20.94535874744807,10.131416705125584,3.6532434580048476,2013.2580747453737,50521.42152661628,49.06365190055086,153.14899051105246,26.51031271897239,5.456701253180974,12.920377050319901,69.99956976483267,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,4.205138e+01,1865.35,,0.17655684307292593,6.5171383856422365,6.707172488434799,54.77178684883775,1.3137307991942946,7386.891292209544,749.3027311413891,23.73189430370785,3.844313145619494,85.18082276341033,19.2001917917721,264.8177565453544,83.67713860908691,22.335804416616014,7.18250071018114,4.010678326139296,1509.7434340704367,93042.6835988106,50.208082534315075,149.6974183877125,24.55478462067341,5.818612823653721,14.85595017768405,63.794942712871396,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,6.337401e+01,3768.85,,1.0356430035021065,6.871427570994091,14.139955665110845,36.12241222988913,1.8467650578440347,657698.9200177974,713.1527241296441,32.220877473701755,8.12754606102907,57.91352150872622,102.34268219812746,390.40026084296045,101.56949434093455,30.68796265621418,6.089102731426485,3.836245861589363,4062.171523329317,37448.72833520143,47.242057601727296,128.35149920766838,30.63084865280164,5.33809675445594,13.853828833861085,60.686298206813895,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,7.917997e+01,1795.12,,11.045790364826663,60.56600504865649,11.342158154766507,175.2759696288924,3.471801407424038,207.05901898000013,617.4142558039615,212.26543332998816,36.18275595102614,60.22288129519101,170.35187112773468,457.7578826086925,180.1509616596334,32.634441517173016,7.529950822247289,3.9585222662150645,3442.0603525395504,150263.0157186623,65.69216936483937,133.53939386445055,37.774436960477516,5.703590280265673,16.838070733275636,60.04857468330462,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,6.911499e+01,722.17,,6.028721495208945,6.5018331691980356,8.925202765269526,39.89163154294241,1.637698169620088,25017.90227420446,731.6173459792063,42.35781447695076,6.548045518845319,84.14347307691511,159.95704608273414,474.192884298171,159.76213857528734,31.20645304019777,8.653389534684626,4.021204753976535,2943.980106089991,217703.37148180226,82.45542766682688,131.6429535035197,30.751487208178673,5.806324256729049,15.84610920970938,55.8228845365148,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,9.605100e+01,1489.14,,2.4841772137055003,9.016087948976056,31.816062625498116,42.51156557292384,2.1994302214859998,266205495.2952911,667.7754680280068,34.32114475301294,10.094965289270993,71.94506803909087,114.89550538462936,495.1733646024047,92.06187941601772,28.722630049656555,7.756826043636776,3.6281671277081804,7024.7783029756065,59595.2368146724,52.965922545285224,107.5780936398531,30.464817784954974,5.153478539665744,14.513405312524783,55.96254859396533,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,N/A,10.54,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_3.md
