algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.367128e+01,0.00,,0.16315865223808,2.7011723426876975,0.4252343964418252,6.780165341588557,1.1886786684543769,26.338289908710024,686.1531244789824,10.714037610384084,2.9501221580560033,104.88433771161557,14.16183546624956,196.59664326458864,72.50700015471821,16.845413983553705,8.84642519694951,3.680039649323822,2122.9263292305577,50208.25099027422,51.198161462094006,140.1594343060808,25.500045641410694,5.474188643323533,13.764122885329442,65.063940294292,
variant_01_catA_idea_0.py,variant,N/A,8.96,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,1.449843e+01,1996.83,,0.1328385799036898,1.8782690869114531,0.18317714800370377,5.441582358178002,1.165388472392111,639.0743677849487,367.645112982087,5.9824505976819875,2.6822868547061676,25.64968109424055,0.24328735102454813,176.27097354975876,1.000237974121658,24.396166034279393,4.313991598529138,3.376360489861572,2198.538305029549,39750.41653982625,39.16026592112241,76.54822065593368,20.852515003537032,5.814448611656334,12.319169048968307,44.519565216472586,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,1.417657e+01,1816.15,,0.14701744505389983,2.9815016755135613,0.19092039571521127,5.779058434892974,1.2570419721009385,1040.300627079971,591.4250916907678,6.035191533583815,2.635673388094832,52.23694824628339,0.2567363805087483,64.91210973554908,0.4296942427521305,15.069486306114097,8.189363070521175,3.229560063577008,1235.170428250604,15858.053567889498,36.24563641492558,92.96075107960934,20.875838793922853,5.4077467725509685,11.292585711467067,58.180639755035926,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,1.714318e+01,1853.16,,0.13593892409851321,2.60974822305199,0.18037830687923231,5.585310377995157,1.317905652852584,1064.5547358970864,458.3120504157796,6.664039488090594,2.8005141161223266,25.890392219580452,0.387020081194654,168.33585867874956,4.615679439489648,23.913849281488044,4.242228421738209,3.634449736416816,3677.2973280480082,51179.048019892354,44.005601336630136,70.71186885838101,22.41248027804092,5.431483819321867,11.228610545485198,42.121773332081574,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,1.718198e+01,1902.96,,0.14471634809070946,2.8745489255673866,0.22037125828383905,5.597714206050537,1.3166918165901025,1768.9493327638263,329.31394429432424,5.146922402939615,2.683283210159982,27.194630418226506,0.4043410062486224,198.79428955586883,4.579522771887346,24.517778616274633,3.957964206573841,3.5298521739439748,2843.2842862686707,49702.47141374611,44.77199736116291,73.01086265799148,20.662031617586816,4.946240943444053,11.868496155037036,41.964275094373576,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,1.674650e+01,1888.83,,0.16104354426441092,2.1205986036262305,0.2372785673364249,5.876528934269196,1.2049130293009642,891.5312087549328,610.4010746985181,6.51087306809295,2.8947983851556947,74.99093372634384,0.3191032913284972,99.5836563854654,4.756558752440313,16.265575124340238,8.291559336309213,3.3108622616345738,1027.8294492559005,23298.97230334477,37.65090266157393,97.12767222720866,21.493683772011273,5.517821435568692,12.440694233788287,61.49882799927564,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,2.322046e+01,1928.52,,0.14008234584866192,3.3014038511541615,0.7561509094973026,5.432249639624788,1.3336248511951592,4049.6029096914963,322.3607618166898,5.828153098699073,2.596879569160169,23.24300245717607,1.7808657622203297,422.1116302061038,5.69765835547217,27.9172998666037,3.87338994097999,3.8044282670943037,4598.842251611795,126130.84007354757,62.42163263704644,107.4155360137081,23.28372192705163,5.859321241870209,13.65840606108254,40.64289499495169,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,1.747283e+01,1910.96,,0.14277220200579438,2.918820060596879,0.2067881349606658,5.434965350698909,1.1794265344474373,1717.194011523073,408.07981471926735,4.590174095672911,2.59854010172165,21.432264983838536,0.4721952222644099,206.61214382783405,4.237268759113138,24.689372161641767,3.8196441047563465,3.3963701844931036,2648.2371162997406,51763.179125555725,45.63243488807625,132.71377433741557,21.28570727571136,5.350191542761675,12.327461728279763,42.94082587127721,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,2.209692e+01,1838.90,,0.16653685799203263,2.642750115090623,0.4096724921681037,6.330331211154617,1.307176617944347,5.957465580716394,702.5158843539091,11.583523407878165,2.885475004372418,103.85437108217393,13.483341642569826,179.90427976998956,54.7589135379119,13.54814400489465,9.52267538533003,3.725140833315732,1919.753144692564,75769.68412464022,46.368125766906964,155.42549270159972,24.776188483309777,5.3845888786054426,13.78339060836009,68.8486235631593,prompts/variant_prompt.md
