algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.333124e+01,0.00,,0.1406534189895832,1.8864163160754113,0.20692333247451658,5.508458346844273,1.29221069290159,391.1267070829253,537.1715608930493,6.698703915095816,2.560488801504292,42.03225049491146,0.2485379711144158,85.81919089528739,0.4561046679894566,18.497989913076765,8.655709345678773,3.2000860566988334,772.105063301217,18470.270480699714,34.9277070318367,90.76115830305062,20.53785790038111,5.405127839309566,11.260147086934273,59.54521328047318,
variant_01_catA_idea_0.py,variant,FAILED,600.24,A process in the process pool was terminated abruptly while the future was running or pending.,,,,,,,,,,,,,,,,,,,,,,,,,prompts/variant_prompt.md
variant_02_catB_idea_0.py,variant,1.546845e+01,1604.48,,0.13534799471066714,2.883463752177125,0.20668301262815528,5.789712530492065,1.2710727500298948,2311.0244764205336,564.9246501182614,6.087861157875059,2.7068764315464673,51.05995957820961,0.25049581939301346,82.85403774304503,1.1223603074785227,20.558171451253155,8.143296040987842,3.2485714379497024,781.5694995742095,23996.23186197634,43.07199934534593,71.31760373230881,21.238739674208805,5.685357152348566,10.53703652003772,58.154411302411766,prompts/variant_prompt.md
variant_03_catC_idea_0.py,variant,N/A,8.93,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_catD_idea_0.py,variant,1.444271e+01,1847.25,,0.1413453916939151,1.5204197503548507,0.195043818452039,5.484056339431445,1.294267467089399,1596.0184324025058,557.9992294664416,6.244594826585335,2.8356388034831608,34.170781462931885,0.2754549769131926,97.06306168168226,0.6350139945431438,17.80219443105355,7.574845155901511,3.179807832303581,1256.8020863319598,23180.573567659994,33.51818764324957,80.41036788573052,20.38715577146154,5.525695859111751,11.146554484285025,58.9635038824931,prompts/variant_prompt.md
variant_05_catE_idea_0.py,variant,N/A,14.98,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_catF_idea_0.py,variant,N/A,9.23,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_07_catG_idea_0.py,variant,1.547187e+01,1651.52,,0.14074369184521152,1.608469636076104,0.19052971990638953,5.74132175886281,1.2995024088221114,13267.343109181958,535.8053614675013,6.167367313641034,2.684786701859405,48.818741527747086,0.23936977070388477,95.79833807062738,0.37746946785130814,20.17310666090552,8.823878060779741,3.2060412483134493,980.6625445464139,13898.75906657589,40.97711040808596,89.94105722747291,20.315172447384903,5.541852004627757,11.834382655379159,57.90575359309616,prompts/variant_prompt.md
variant_08_catH_idea_0.py,variant,1.461618e+01,1761.29,,0.12650541535050924,2.241956611237745,0.22040011246055877,5.67372576716902,1.2355797862098583,1076.3146672456176,603.3256569749104,6.2359485671402295,2.7809105950543778,44.896050466140856,0.26379521068316947,77.81548222264986,0.6398171985805439,16.42697432725947,8.496656868207975,3.0772995564465204,937.1195603971844,35831.94340305352,39.27400198289845,73.55804899295187,20.32739257326807,5.492944922901296,11.559606390130755,57.748472123894786,prompts/variant_prompt.md
variant_09_catA_idea_0.py,variant,1.415315e+01,1756.15,,0.1471001701239767,1.9918074373420989,0.2255200172124268,5.481899620899916,1.3137178878314295,452.7577414876148,499.62481785137476,7.0211593200694855,2.838238032091769,42.43244689930047,0.29444202192796,84.81976360106583,0.9138801115751229,22.213279431710397,7.649468536062844,3.1036804842242725,921.0849638969333,16805.52682222548,37.721896240274894,77.75330341789055,22.153735430193958,5.415288933237247,12.304561822043732,56.8359535897742,prompts/variant_prompt.md
variant_10_catB_idea_0.py,variant,1.488777e+01,1713.90,,0.13874945227434562,3.2047592085146945,0.1719787381625837,5.716479330293068,1.1903763475858908,2387.346325468092,535.7819931713424,6.5833839211197365,2.748769012509885,43.37738150929565,0.24206911408744297,59.92203631615038,0.6479370361756129,18.567734338140244,8.229281443905316,3.1691670531089087,953.2040767878815,28511.539270885816,37.72236189066962,74.82728461388416,20.819595941291997,5.715721387213124,10.909858267732934,59.359084741668205,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,2.373527e+02,518.19,,39.467843916351015,69.10183766081751,340.78241424967837,208.66692688538257,4.38840504116051,214610614.0430705,4443.833246456136,205.40787068416844,31.127988198810414,279.53711464315325,193.672088720063,755.4762098018232,140.98279032109176,34.5178876076343,15.646735594099013,3.8160615726258995,13976.987209701472,105885.84452153635,61.9225840947731,349.74537187297216,48.474408676077466,5.744710084538017,18.15495935322534,102.26009680706795,prompts/adaptive_prompt_1.md
