algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.567968e+03,86.36,,6665.465967156807,1.5825977385509546,3460653312.000344,30443.6930626058,3.0458049164049683,3.068953021370109,20827.18907995677,13774.858015580176,18815.254244615604,12427.993265201245,22807.798245245984,17968.864749713204,5876.919384509252,28557.314752423445,8.22408567685434,3573.647740081578,172178.43231811732,11059.520860324605,14224.472009343031,11.627378138128643,84.66778472801074,34262.907567822636,37.51842092017701,140.04984863834275,
variant_idea_1.py,variant,2.637347e+03,86.03,,10182.20624159797,1.6033040124557965,3005813316.6255713,28968.469748443134,3.0507380672928344,3.0075136018292485,21131.735936119145,11131.679352151108,6765.679762269077,11384.644710650722,14505.542168199572,26519.440897876626,9050.02214023571,28788.5131108478,8.005694144869617,3731.922988054273,176667.00399354543,27885.411174545836,10986.66920563017,11.510460138924767,89.59131782743525,56547.28733523785,42.861526268265884,133.96636627746105,prompts/variant_prompt.md
variant_idea_2.py,variant,2.547786e+03,85.31,,10928.066524224327,1.6035666365650616,4026232806.116971,27929.763821735167,2.9667869242829004,2.9717561152957495,18150.554233110084,15866.636694555968,2821.845950223064,19061.498878628518,15113.565275681272,16340.889517214497,14176.627283169564,30207.66309627714,7.98977799711132,4211.400746118446,142857.30693962486,12641.61742135558,14666.137706267004,11.572657479160842,97.36867048286453,34860.665361620726,40.10062368223717,140.05424001600062,prompts/variant_prompt.md
variant_idea_3.py,variant,2.517071e+03,88.04,,11541.614665639821,1.5862939839124748,4337633613.764381,24917.93402065581,3.0110736282599557,3.0086794412122426,17297.31542804248,16045.37056810749,6230.786126582406,13135.680596995837,19207.976481942518,8757.307595141372,11333.705157128528,30205.19923008661,8.352579616762625,3636.209448514239,126529.97540359225,8819.915634282137,21231.54460583511,11.68880435649299,79.25390836038417,44836.755561402184,45.58617875689122,130.91213329662264,prompts/variant_prompt.md
variant_idea_4.py,variant,2.964999e+03,89.93,,7327.146462895218,1.5964908467491572,4894199008.261869,27328.664112820665,3.0239146407168787,2.9811668962629376,16196.311183420072,17675.46606820088,6102.784504827891,12473.289468778994,20633.742332468526,17826.155060342273,88072.37700009371,29962.301503676368,8.3892563796928,5173.526532335136,164981.40816596046,20149.543213132387,15867.497926425887,11.462986427421193,87.52835449865746,45426.27538709145,50.465205209318,135.6505466943911,prompts/variant_prompt.md
variant_idea_5.py,variant,2.765881e+03,94.00,,8157.94911821527,1.5980866775613918,3344719493.3123407,42248.90217904286,3.056148828184564,2.9809808529194766,15579.851323427085,14342.085561415915,6036.4856523802955,17834.82365425008,21199.029870353013,14129.181276995174,63556.82005064334,27728.45681237348,8.051323941789038,4824.468820190378,139590.12754060436,8892.314240220303,10126.366895030273,11.592139383255672,101.75546735061715,58422.022801921914,39.11159480850412,143.25838411209688,prompts/variant_prompt.md
variant_idea_6.py,variant,2.524052e+03,87.57,,8048.199534393435,1.605489240788569,2308024868.442182,39637.513427253405,2.9927494011117153,3.001230631851227,15317.848366429833,13673.476826025484,7260.808439649771,11708.74073984757,10359.513911917687,27016.99316557072,12357.976374956352,22839.060985661024,8.219187859186782,3168.417239177639,165818.1410427781,10533.54575342007,26540.996393964804,11.665537741394251,93.9121382219665,41050.10522851256,40.627961877536265,135.7071804816654,prompts/variant_prompt.md
variant_idea_7.py,variant,2.635073e+03,104.21,,10734.03128772246,1.6000208087622094,5655017676.931895,21056.977909865713,3.005556283026952,2.9957512091549257,14752.280215519373,15600.113529578171,5786.427691602197,12054.6909162896,20300.30198163351,30867.195657587312,5835.368608681224,30085.03550427633,8.395582545659483,4315.215324002703,149717.86083184468,18072.517320595533,10665.400109893535,11.602193700096556,104.72207619419079,63054.59167889166,36.14035049326754,133.4424206278867,prompts/variant_prompt.md
variant_idea_8.py,variant,2.798702e+03,86.09,,9295.288116332687,1.5994219708705,4041108562.27569,32388.380259717716,3.037682136042324,3.0305953873736406,16173.721876987502,11370.423023080726,4775.727018310063,11498.325824818223,19076.743696321446,42908.561684206776,34562.08650993377,28553.606474908716,8.264216204538009,4066.894541726985,170051.43684182523,12813.660930273938,14786.361778329936,12.439549687635543,87.8022066118857,59996.53174623874,39.54261117952917,130.05330036022656,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,2.846327e+03,88.64,,9865.751893086639,1.5798748911662956,3384013789.5604005,38575.49663337489,3.01414941873845,2.967591139765349,16314.418973627986,15994.15781029327,6876.605985474564,15240.120760091497,21477.7460175985,15915.577855425401,27932.617209713506,30220.564894500818,8.184702871516643,5333.599353634276,128639.71169832844,13020.133552520756,16998.3986165746,11.715975674691768,81.45282381558994,76699.55699837311,44.43531773206233,137.72780713479622,prompts/adaptive_prompt_1.md
