algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.603211e+03,91.54,,11149.266795886711,1.58290078364169,3583001251.3913984,20077.08823279555,2.9910927755221923,2.9935201587246714,15299.724556195883,12645.774717669397,8778.418167481519,14956.279496441402,23030.391629908976,14855.008181001198,9550.312464668099,28282.37788911227,8.16999204791411,2985.8871018164423,301830.93489924073,11554.770337930655,11119.92222023521,12.329933403399881,86.2119901512439,64916.300381193396,44.026516864471674,122.31217421757069,
variant_idea_1.py,variant,1.792124e+03,88.51,,2680.819436788507,1.520723544647859,1281275517.169656,21550.56053433109,2.903892838856795,2.935736225200369,7729.247488790649,12146.40840467449,4064.271689307488,13152.021886076194,13278.220475804874,9673.281952444264,6096.628644904458,12550.28093392132,6.314378692381809,3374.0364072919774,99882.24455580492,9306.716174258921,7217.137116554996,10.790489382313863,76.02858968352781,54655.69333588825,32.866011083882675,120.82908611674668,prompts/variant_prompt.md
variant_idea_2.py,variant,1.965071e+03,90.14,,5048.56102028236,1.5744394392462713,1925620355.044995,24172.611068668735,2.9170024524728975,2.912426841787718,14499.903655158667,11374.520526803908,3367.684459014109,9068.487140588195,9697.386548587452,11157.945251896628,4677.0159288536015,28886.18996652009,7.973535797871198,2560.2255814983546,116507.90040796874,7544.798346827973,13493.933696754926,9.955273556393953,79.08222677326128,56768.61375736033,32.74555615091264,134.0201785215995,prompts/variant_prompt.md
variant_idea_3.py,variant,1.930363e+03,89.33,,3922.321071609441,1.5573182087850537,2941362289.972662,20873.546257868995,2.95366070864411,2.8851649320013872,14889.942044743415,9218.717683795367,4080.868160813696,10868.462100914854,13588.552603430808,13039.539834545747,3064.7846087393827,14963.586314752822,6.334634469179046,2496.632007838653,89145.1404847868,9968.507665029323,14005.55748663516,10.283738811063762,74.27854925795293,70312.99448591321,35.91446237534121,119.38732817590665,prompts/variant_prompt.md
variant_idea_4.py,variant,4.783250e+03,136.80,,83942.63913734663,1.7535907744231765,35248173894.02359,353147.08265746315,3.3578124912384606,3.35626651182198,76220.31993631588,17719.578402768344,20460.816331103557,13527.055630738192,13616.500048389957,18524.344431081085,6231.240357140227,11986.905074855393,7.811497650294231,66024.86969408924,2998873.6107723364,12841.749703785998,10105.13550254038,13.426332593418843,234.3057587539251,30202.706095730067,48.47839630583449,153.03683019566776,prompts/variant_prompt.md
variant_idea_5.py,variant,1.974413e+03,87.78,,6747.809863000788,1.5397705816816287,2371255484.3154774,30219.12207446167,2.9665222933295055,2.9644965758732726,11187.807096818718,9650.126184622626,3099.366337087078,9260.98809552221,11496.88846406135,15492.968909606363,4740.526757087863,11303.236622867244,6.5819397455607955,2971.6484149895814,105917.39829556948,8434.956328411698,13454.534696914357,10.663095364282029,64.73130722338018,74956.64971439562,38.25472520793177,136.68404750458353,prompts/variant_prompt.md
variant_idea_6.py,variant,1.864189e+03,93.53,,5183.741420958479,1.5701618744880665,1947193425.2167697,25875.524293026978,2.9183282377407904,2.898440445163848,13696.920402772954,7474.518254043089,3400.8136120198747,8503.038931036603,14281.927642148405,8025.901557382339,5604.004743653548,14817.622131035158,6.697313446693872,1846.8082872301536,86020.55200954655,13135.578699982168,12900.348951477923,10.928688231737285,75.31163862956055,51241.23837056511,33.76333219200273,123.64645271909588,prompts/variant_prompt.md
variant_idea_7.py,variant,2.357821e+03,93.46,,15333.851953310661,1.61872083032983,7766413074.321584,67154.45941063366,3.05431852100796,3.030140636340082,16587.648700641035,14928.092045579804,6658.0881781036105,9796.814098207524,15767.92148354281,11263.187858833682,10516.412219177038,12239.901134384161,6.7775063157857565,7098.867850391288,285028.98772012506,7858.709821030919,7252.379554721887,10.670092257094797,9.731082166208255,46670.891504355706,38.83084479229756,133.9448088521301,prompts/variant_prompt.md
variant_idea_8.py,variant,1.792705e+03,87.99,,5787.969493049557,1.5267706190609596,1863370487.2101138,25279.12516421831,2.9256401155002627,2.8788192566266577,9718.549989218292,9273.117290385902,3983.841030151913,11803.220715884187,10962.52470594486,11141.245083791993,2500.335041516815,9495.319166878444,6.581994213495174,2730.255214711689,152084.1958086852,6779.060532090593,8296.690476247062,11.153555768236753,61.3895875209001,53524.613751654935,36.39806547718295,137.4286199041142,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.831453e+03,103.33,,9935.510697558359,1.5700994855973154,3255937480.5428624,37559.17396700374,3.014304515926816,2.959341892045715,12860.817498435186,6205.890055131819,4654.210953970602,8016.085274368657,10793.059429956886,7682.9244516016215,4299.194237851399,10791.920820922225,6.7576138802515135,3423.4395043502127,165144.80430982864,7922.8312655974005,8496.598989102748,11.950488354706424,18.78738316370679,54161.35039367477,31.172000908444087,106.7130204420869,prompts/adaptive_prompt_1.md
adaptive_attempt_3.py,adaptive,1.865762e+03,110.49,,6410.875566409431,1.4997222635636074,2618818550.7629013,33893.65320632868,2.864439538604591,2.8867310622105418,12022.687464934694,8076.3275236926365,4413.474386321824,10861.058409153839,13404.802897190726,9412.222486333343,4971.836605633424,11268.088607091584,6.6689410524017125,3864.9411424769264,182689.6320735675,9363.666753248544,9749.33218366969,9.091823153999828,32.7340017809266,36149.427227863394,27.075072914357133,108.9206077336204,prompts/adaptive_prompt_3.md
