algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.780858e+03,92.11,,4961.975047056139,1.5425889906095693,2329246610.948796,25838.89851417099,2.9146338010345123,2.9002674711324206,13577.179434634429,8244.092612883836,3900.784570639994,9199.046871685414,9740.911997485058,9441.208632689346,4769.813076889529,13462.002372691979,6.5136534946609865,2698.6350986519956,104119.16828299308,5699.810118184504,8895.415785236653,9.610284487740715,68.68018427113749,40461.865652818036,38.565437467685115,117.29025994486359,
variant_idea_1.py,variant,2.045902e+03,109.83,,9661.229040469783,1.5615741448014966,2129110154.4480987,37806.73671748177,2.9271347244572876,2.9067818274244677,12224.686439109133,12192.857383053242,4806.853462436943,10868.906015140006,11128.40466930706,13573.25267133438,6014.439075157538,9443.827864300583,6.489873878081339,4754.151082840231,139027.07372785758,6956.039180172301,7586.099632148632,11.244426130209721,76.14958844612184,48282.866773025,36.361183503836536,123.12487140529217,prompts/variant_prompt.md
variant_idea_2.py,variant,1.883384e+03,98.92,,6444.769312539704,1.5340724377767296,3837107697.4416275,34906.59838858107,2.9662568352728944,2.858614047298743,8234.156771965536,9448.934235799172,3279.1652843500583,13814.368565298908,11565.606614300086,12134.693046000293,4223.250642147327,11664.062269331107,6.428843662826693,4181.6950403327355,99258.07125840274,6084.590270338473,5418.551811270663,10.145872455032237,67.32428479298363,59767.77196044184,35.70576788851673,113.07826551756798,prompts/variant_prompt.md
variant_idea_3.py,variant,1.904401e+03,119.10,,6195.698121790127,1.5604947255003991,2527655062.74539,25277.10033513005,2.9780524026630597,2.906891009867177,10552.195546223229,8782.674433404656,4941.327596391218,11703.065877183817,9579.463128087089,11194.755426400354,4358.923363628922,11893.292850923672,6.667184423828542,4182.080036618862,87357.2281044757,7628.166947686047,11340.431040907357,10.382303671587415,76.49254824298622,45033.72968279036,35.4332638034744,121.71616820832435,prompts/variant_prompt.md
variant_idea_4.py,variant,1.906861e+03,142.29,,6122.149810586737,1.5568142622283623,3581001023.608713,23100.455982977863,2.9546587434892277,2.9245933964397333,10835.269691310556,9866.056304892101,5136.419817853867,10681.690530697186,11603.136640747034,11238.790415936017,4622.31024263203,11817.56446023328,6.7899656561785875,3243.5234740820392,99287.61086187516,6223.27198468036,7827.110442059872,10.28341323845845,82.49363914640011,49577.20094847321,37.61996233359064,111.35040791414568,prompts/variant_prompt.md
variant_idea_5.py,variant,2.003270e+03,102.83,,8020.133483705353,1.5667191355413495,3230611677.7152214,27046.886567290807,2.920996708568876,2.8700716365422707,7921.156426086527,12271.218219161066,3234.887481988651,11751.307375101502,11107.86647435796,12138.128273595285,5726.22988367463,11873.70387928764,6.576064395440515,6400.288277558476,105201.43369983742,9798.71019065038,7990.152566752151,10.250201266697072,73.27366021930791,51617.517670117784,34.78608404808356,119.70111971203652,prompts/variant_prompt.md
variant_idea_6.py,variant,1.810544e+03,150.00,,7466.171651445255,1.5431844127031917,2267423262.613302,19005.758350041837,2.9713819729015984,2.8981656003756613,9910.069144856605,8605.855209092822,3852.80668526165,12451.56366497697,11777.557382500927,12804.865719419728,4933.762130541605,11997.549111150476,6.7200979585829534,2074.552576762541,94616.19993171668,5875.713663756342,6315.520240693174,11.411425462083244,85.00053390766917,46284.162816392745,35.34315174557097,126.93955038839967,prompts/variant_prompt.md
variant_idea_7.py,variant,N/A,5.14,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_idea_8.py,variant,1.962584e+03,94.74,,6702.842385859562,1.5423554725332171,2826566784.4261074,28509.593092062005,2.9438598464469248,2.8804412164216506,11071.391390409066,9505.257766208817,3848.511279380174,9399.112372845342,12214.121597611991,14989.015569693298,4769.313035975242,14128.952377666434,6.571920852268294,3345.3874890778006,122111.72064934105,7998.903574085104,9776.22269895155,10.911676176682008,68.68513459969698,51536.1121671233,35.330739667464634,112.18760199592016,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.902363e+03,124.54,,6682.064024529355,1.5503580081083528,2917942564.1842985,30587.429776019613,2.931133191245757,2.882465060272931,10980.535309364823,10646.157337082514,3656.389551731263,9501.430205334023,11805.664497041082,7173.726832946298,6247.283553442263,12681.504036062563,6.616164719703855,4453.655253029996,113557.20111753391,6744.104724179199,8776.288096601984,10.349215314648854,73.52367984855101,36070.13597894398,32.96894133835544,132.30143551598326,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.954491e+03,116.00,,9462.180356755907,1.5623943685495099,3256263897.2400513,15244.550499143701,2.883402663493031,2.927528582576489,17313.384941539287,9421.107076116119,5157.166162810664,14980.731013118082,13687.18330838896,7149.325511152841,3176.414324697251,12431.475170977494,6.574348018696658,3270.683410531751,125113.25452153142,8689.146495793599,8653.180384442927,10.002916613579394,75.56218431337307,42491.73269086922,39.82253507872365,123.73962171277138,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,1.835637e+03,117.92,,5255.4403788836335,1.5416574561772727,2944689201.61032,24889.219512246425,2.8711800502917773,2.9654871986657696,12511.063155954596,9076.903212135949,3384.621507739922,7481.476577744057,9530.016615063154,10501.16786050932,3976.232431098118,11227.399240470908,6.702885815032337,2993.7973003415523,117912.10637983696,7140.131602638299,11054.829709634774,10.335870975649685,76.54859534909858,48742.61773304527,36.063573567621276,126.97167566768456,prompts/adaptive_prompt_3.md
