algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.805503e+03,90.83,,4629.205084431867,1.5651099845943741,3273364820.351492,18429.292738116237,2.9848650892582795,2.8698865672488636,8052.013234527277,9361.272551305867,4225.939687934377,9617.16467564682,17408.36709438344,8307.930329333298,4411.893288852205,12429.102095871309,6.649405759652883,3066.451238200114,65769.3820534301,8405.027528500696,8474.44730037898,11.139128889844391,67.21059905004569,51112.312997443434,34.066415964960065,127.13183407768031,
variant_idea_1.py,variant,1.843014e+03,93.30,,5927.030671630667,1.5526916230172378,2347582936.364276,24402.46802968303,2.960414159561418,2.927207764562002,13179.892984719074,10532.767025490537,2847.7687611593587,12235.694943018963,10732.679601113188,11359.614972661582,3796.5168483215525,9450.220306818968,6.6241127711423795,2193.817705777497,94598.94399033133,8383.327629764968,10409.312594662024,10.815306202185946,83.75250667675625,50823.57130852967,36.87492827017485,119.82114585420919,prompts/variant_prompt.md
variant_idea_2.py,variant,1.755018e+03,103.54,,4261.711105744528,1.5309834897411698,1946373092.9082608,22346.99552504058,2.950158027458924,2.9192658502047366,12903.011175582253,6528.280018125418,3770.030460984381,10254.755623087847,11756.893364357424,10291.672168716075,4395.676634915939,11577.392188247528,6.475723300048792,2638.6997869491424,79160.58211611718,4820.167612681573,12139.00567689543,10.328662604093246,66.5714307535959,67991.7153595466,34.30496244164824,117.18843789058967,prompts/variant_prompt.md
variant_idea_3.py,variant,1.750550e+03,87.55,,4009.1968282742473,1.559042197639654,2386118970.4227777,20504.641215184245,2.9670938862162943,2.9030004759945247,11722.128044641278,9581.290145218762,3584.572031895043,7764.240875054663,14153.227736899336,10389.689432011692,4302.580865432535,12865.542273867997,6.6486519756488995,2395.7905296009462,60712.83982548158,7573.378409838892,10147.841533222589,10.105021039425605,67.70851967526966,43168.03989505623,37.075254072952326,125.72248821967072,prompts/variant_prompt.md
variant_idea_4.py,variant,1.882434e+03,89.29,,5352.216963920172,1.5214958746081861,1624356355.816596,29379.470976233486,2.9020406951625923,2.866120420077046,10396.09584764861,12889.017938174758,4049.1610737987007,14082.58061533958,11258.737689496846,9201.991351252482,5980.532721037691,11518.064348438806,6.585647493804164,2698.682613400183,110947.26890546398,6458.777021945842,7509.9705489085,10.387243220180551,73.7158808278241,67648.86605483624,35.151951160637786,127.69944317680314,prompts/variant_prompt.md
variant_idea_5.py,variant,1.764558e+03,111.88,,3605.463881123013,1.5393187754157946,2179667032.8223333,13589.388135102576,2.910688912201032,2.9380522745989888,12562.59180912589,11479.980768528038,5501.6735752730765,12244.612560257192,12706.40518407763,13164.630722763468,4301.728363193602,11283.801250630107,6.85196789788336,2105.497793647807,81167.79633829283,5319.293647141174,6997.311670693976,10.326665704345281,74.29767690384007,56104.68221673763,33.75797250072559,118.21842407212387,prompts/variant_prompt.md
variant_idea_6.py,variant,1.960698e+03,88.26,,4885.494415883732,1.5675402643360052,2991354129.8339376,24096.655097079147,2.9148244252617084,2.9172112155687233,12696.075560564082,10680.287551916801,6178.63556481393,9996.611064318311,10323.109293879985,15860.76606341386,5371.683343763474,11822.508138819685,6.52883065109427,3266.426678053076,96219.27741188489,7940.485069949775,9892.396112614153,10.822025411451852,65.76004077173587,47019.08127888179,38.06677407715386,124.15446241024604,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.721298e+03,87.14,,2875.681206745834,1.5867454692376555,2092659662.6768484,36207.70743114337,2.9437520613500285,2.8839504272996868,9731.596274126736,11349.115328871898,3787.5663790044086,9009.573125891577,8016.405320145278,10436.650839095913,6169.399675159961,11725.747091698542,6.3039530981652785,2045.9433461737303,66833.19628212805,7201.345787294469,9687.247433912193,10.30338749505635,61.22605459244566,39259.19038112671,36.01758572715679,127.43587669473266,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.743113e+03,90.93,,7211.555867561244,1.5359012034531774,1813604678.626156,16348.398616131795,2.950966775949312,2.9091081514631885,5660.870732760262,7905.755411059336,4514.912458796644,8870.726373028561,11038.136544634952,11436.49864394179,6338.9821159806115,10727.92271356569,6.7469342906551155,2684.3323297191314,85695.53736331596,7278.855131940539,5508.464452794574,10.083719464000254,71.16883243648472,74756.00825095054,36.45623246900074,117.27324046563655,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,1.750372e+03,89.82,,6358.937044571345,1.5842431742128218,2554383720.384033,28833.168774748694,2.9448203199794247,2.915272662125224,8649.767548688855,10772.80970554248,3033.4588151838125,8111.159051991196,10413.790684817803,9933.157022307512,4247.004009100622,13953.807401355582,6.505398456280874,2623.2431761510525,74765.69179374451,6675.6041444350885,5807.51454128486,10.40443492832723,71.83588969788308,61165.64844672369,31.85377345243419,106.08524428259932,prompts/adaptive_prompt_3.md
