algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.702776e+03,87.35,,5921.905988069388,1.5627099627656547,1986323126.8868809,18670.445614345525,2.8969403017498077,2.9163941840133445,11209.219405680542,8135.991654972038,4097.683499024878,9497.940987626122,12262.821523186636,8305.572352055802,3500.6523928214756,11032.855988895037,6.459076520614541,2451.3908010885402,90597.11179118279,6612.3338927394325,9529.432540020169,10.663320920567086,68.7992189345266,35736.92922881424,31.11217892776728,118.26593174295208,
variant_idea_1.py,variant,1.752648e+03,98.85,,4062.9773926840207,1.5670590305233434,1701488662.6248133,23644.040701209233,2.965540017047882,2.9022684571320263,8880.062049495067,7890.991792176078,4471.475842741979,11628.118573013764,10738.563691220783,12146.854654466024,3973.6735618023185,12945.751550473447,6.473716968834258,2525.0644748365066,79008.94338713419,8359.916609516784,6453.655752037699,10.77229800570991,81.98514564245217,51523.95831140336,33.20486657980512,124.37986769994917,prompts/variant_prompt.md
variant_idea_2.py,variant,1.834925e+03,87.96,,4619.153213900637,1.555364259799048,1998162479.5664515,21719.56213525171,2.9158661875235494,2.947395798346264,13161.110906240072,9213.865920110251,5999.089162574178,9673.829796480919,11982.083159845697,10902.35590764978,4783.101587371627,10760.816577723537,6.4101778973452,2809.2384722192974,106798.96031095466,6547.223870155571,7234.659812681153,10.867489746863589,65.0365675566611,58353.85120993147,36.876639970335106,120.81532952455787,prompts/variant_prompt.md
variant_idea_3.py,variant,1.729510e+03,91.31,,5338.39395589212,1.5445852680854046,1419478415.1616337,29056.63710875932,2.8740652352452267,2.8788384433631475,9387.22446079009,10848.189550294856,2902.5849870012757,8538.685474360062,13664.878115812233,11886.706846824161,3769.2410740700907,11938.811665059595,6.573924375488476,2894.7548315369927,66535.01100935102,8879.947596121146,8562.395034947123,10.957687751704265,77.49094219211239,34487.95712959058,32.76156720049871,107.00343608845273,prompts/variant_prompt.md
variant_idea_4.py,variant,1.699187e+03,88.07,,4381.542764684484,1.5478296614436677,1847011637.6392386,27517.186200964017,2.9333145167775205,2.919088276459263,8900.017759156912,5815.871386974904,3690.675299737767,6946.103963340667,12993.401465776446,9797.077605662802,2781.7498565603373,10072.886702257947,6.755082090640784,2700.198756523649,107819.1538581954,8183.615160648135,8692.19893775519,10.741509771006092,74.62259094550488,60537.124508160414,29.9689341700488,118.0827060164418,prompts/variant_prompt.md
variant_idea_5.py,variant,1.721129e+03,90.55,,6140.270334522634,1.5737806800740417,2284341034.9496517,23457.049105399143,2.8979136684093247,2.9051051308025126,9388.73916201208,9391.099688947932,4060.78028687975,10415.816230486696,13811.971264188624,9225.931603707866,3894.025050076911,10442.409444583105,6.4937931499487265,2386.706809773642,87351.4659402064,6455.594394825305,5374.762145342508,10.157735402132209,65.14211963790875,46214.72592870773,32.740900840726596,115.24485311624765,prompts/variant_prompt.md
variant_idea_6.py,variant,1.711759e+03,87.62,,4242.758803663517,1.5398241269483188,2141871845.7709532,28179.69165358305,2.9128714620632405,2.8790768254825903,11307.017452077363,8132.296304462791,3813.6544385882294,10853.825445257824,7709.842020419703,12491.866018163248,6347.491813583197,10976.66896449818,6.378416840013155,1660.5238809054606,73524.03308414202,6290.406354984377,5874.422867768605,10.1258677690097,68.1831195223794,58395.209829551895,32.865287699986204,124.37011341672816,prompts/variant_prompt.md
variant_idea_7.py,variant,1.849695e+03,92.39,,5603.5633577910385,1.5192092909520594,2646475784.5085373,23069.916393344578,2.868781080429424,2.9044568149370265,10300.261400278943,9815.123630561679,3451.727017205627,9246.807579536357,10987.42388376891,12554.595916168726,8654.460678862326,15029.708640574116,6.621671999047407,2578.4359536706347,87746.01952679211,7732.058358778091,8927.687731665812,9.947648572389182,65.52393869516311,38051.28234680677,30.064267802754124,133.06349052077672,prompts/variant_prompt.md
variant_idea_8.py,variant,1.848123e+03,87.19,,5033.299515365124,1.5308740280041166,2517899561.865739,20844.103555485854,2.896892702435638,2.9347611392202664,10811.98291390259,10868.326399605246,3023.757276164424,10074.677609304112,16056.275769925749,14299.834888476575,5680.705987547755,10351.927554020443,6.854539062441683,1774.5366658776184,105655.4333175747,5770.740330326594,11466.031368030144,10.188183510402725,74.6223682859129,56696.98257469209,33.787842609435,122.48698374104488,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.834174e+03,88.47,,5783.478953979822,1.5453706304349533,3168659249.834704,29451.393245010106,2.9636634137579865,2.904399040483925,11575.593493811875,11633.916091244826,3428.689852072004,8286.997962807145,7844.522451373976,7793.043235105082,6280.519678429159,10861.931591139773,6.455481206918716,2430.9649052875434,95501.65550716962,9535.203399655113,8160.513012589674,11.176231823744333,75.24995476929514,49136.99109607044,34.10411384351466,111.61738871833951,prompts/adaptive_prompt_1.md
