algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.901470e+03,89.08,,5822.90860844157,1.5505544736236783,1950639644.5039346,24625.0423771337,2.9341662475743506,2.896406329238071,13299.514339126414,7767.9422391789,5645.6703639211755,11315.186612721203,13107.15807459723,10643.001826399302,6199.85311579079,12340.648373893211,6.5942084488011865,2152.771519974819,100166.17431983165,9393.476204884775,11074.820990020004,10.110655662109622,62.710658891607075,54835.42885471295,33.86784034167225,110.35670258299292,
variant_idea_1.py,variant,1.714343e+03,87.47,,5528.423527948046,1.5294172843181852,1951706512.2545564,22300.54045877027,2.933118959735426,2.9135710852550463,8138.8652670741585,7439.013606570924,4443.639552572207,8825.070459800385,11144.881902385545,13273.107028022265,4776.626239124863,12055.20890598551,6.4164726296703245,2469.187155316748,65116.13523957937,7665.680376046767,5938.426657586212,11.101762253078112,66.77207952059968,44377.14899749952,35.656699808827035,118.52377966139656,prompts/variant_prompt.md
variant_idea_2.py,variant,1.731125e+03,87.20,,4288.344631046171,1.546134025829679,2324756264.431366,17993.907055899395,2.9067570494028065,2.8983222676269422,14552.938158761637,7655.2227630019925,2921.6001428934633,8239.841089755404,10671.068790436004,13018.609542637367,4189.568815935151,10631.901034010434,6.741551287310009,1859.9345335424882,92795.59345333088,6120.683164956473,9422.29439548125,10.247264299489492,77.25207186211624,61238.17327606615,34.70405342567559,119.84631928008494,prompts/variant_prompt.md
variant_idea_3.py,variant,1.705016e+03,92.68,,3960.7292345068718,1.5612725016956543,2389563668.991787,19980.414143968403,2.9638243429489313,2.938815289044567,9788.727150483943,10676.168743555816,4949.935704493171,11703.232926703477,11090.444949521423,9856.542462615284,6251.088142841281,9702.62805661407,6.3367786330102875,2094.3593114284977,64313.16180619695,6391.625220245824,5819.658009829253,10.713103694753723,66.56536951016905,37840.87899200784,34.145149753616636,120.6520786750041,prompts/variant_prompt.md
variant_idea_4.py,variant,1.760351e+03,88.86,,5011.308486508044,1.5673390301519807,2072450053.8206284,24532.247213383813,2.939518730580602,2.9551769690168603,12239.140131319387,8337.567530781333,3160.760366280404,9943.763207271522,14746.729668058442,9922.74698390839,3397.691368482806,12391.045471423584,6.621354845399393,2395.1681034260105,66846.49001374224,7552.418259182472,8049.680815246462,10.379272208188672,79.20349164298462,53237.33830622784,34.30310561427065,118.23557386663595,prompts/variant_prompt.md
variant_idea_5.py,variant,1.776386e+03,111.57,,5216.266461871233,1.541487365108519,2597134906.120838,17145.777311082973,2.857729930944781,2.9103140978933837,13338.060823007094,8044.480909316971,3801.4617374533104,8858.927407880796,10521.277741029138,11405.880945137498,5508.815271409051,10450.187775459883,6.5405888725709325,1916.1699559517353,94834.94469430484,7070.054656523803,10032.074989957267,10.404321063007426,69.34214514187313,49431.79902584732,35.871656876267345,121.5843277574795,prompts/variant_prompt.md
variant_idea_6.py,variant,1.712466e+03,91.87,,5198.089322497467,1.5610673662358108,1967408665.9201612,25600.241858165246,2.9074397114822306,2.9213853790948185,9232.281259100984,12909.364801511176,3946.011565429524,12515.330563994787,10982.281599124777,8923.461300704828,3760.6213831580985,10557.577476107654,6.587973019168391,2046.9249468201056,91805.05069058754,4709.0173224542295,6510.221076791218,10.38940394287644,67.86025303878183,44738.066843898385,36.15195297287801,117.57104490271004,prompts/variant_prompt.md
variant_idea_7.py,variant,N/A,4.99,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.786414e+03,108.92,,5943.324186646865,1.5468690575081532,2065872711.236358,24061.565088854983,2.967831760841772,2.92879270610756,8211.564059597102,8880.49714308817,3342.8935830222877,11451.83849177156,7854.684567379339,14163.274190204349,4434.504148765361,11464.61635595131,6.61978118891708,2203.676557384087,114794.90024146094,8398.284348122905,8775.386943368272,9.888404276924055,75.54938274165559,42228.5227286546,38.207588836086586,119.58839842573911,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,N/A,5.47,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,N/A,5.11,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_3.md
