algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.200024e+00,559.85,,1e-08,3.3177145118234983,1e-08,1.829475468636775,0.08728015969889402,37.40402329207058,165.5228436286999,3.6742605095484784,2.0486790544427937,40.625954243769044,0.0003917278654043364,103.00416323359515,7.319175498824523e-05,8.829928625874468,8.033541372824317,2.549627448477849,803.5273114502804,12580.48537805476,27.989751377171203,121.452546466931,16.216064846854103,4.96296319533107,9.45739022263268,56.761404762016575,
variant_01_idea_0.py,variant,2.658669e+00,519.66,,1e-08,2.4898457211267284,1.9957474265407802e-08,2.0944935251993972,0.046511245462318836,82.0548962459752,154.90756807262377,2.865400841596368,1.6210833333814023,30.446083757997414,1.088180848122816,100.58591034786254,3.237154154751917,20.797034443342607,6.289834840459842,2.7993683050189717,1058.354735393158,18761.91696020162,35.97475019212605,58.93402762191259,18.95225125800389,4.737829083052353,7.362296548607505,49.510894327296704,prompts/variant_prompt.md
variant_02_idea_0.py,variant,6.663699e-01,577.93,,1e-08,2.10969423420599,1e-08,1.9373192192611426,0.1618158545475509,6.337953775976689,162.33020488073456,4.114450677426279,2.1645452377746324,48.21275825436549,1.4204451875269537e-08,34.51390676502028,0.0003298543203099179,7.717986272111375,9.368232153466009,2.0739486850427804,851.8908453400777,588.7834809125119,21.35203374335085,132.4052558250588,16.118299186089974,5.152090378030244,11.217520673437406,62.79918704451906,prompts/variant_prompt.md
variant_03_idea_0.py,variant,7.521222e-01,548.99,,1e-08,1.6186633889203086,1e-08,2.488433179403183,0.03671614932702918,69.47855810392724,74.3107616615108,3.5025522835265748,2.2782840065708863,30.297320697495937,1.93618230753078e-07,57.94112807268813,0.00011372796149072873,16.506970506780913,6.920153870799059,2.5918275555194716,593.0114027469863,4096.814796332065,30.939416911135496,76.86048105047168,14.593755516044617,4.840788384890698,7.2506283173904675,52.036694581862484,prompts/variant_prompt.md
variant_04_idea_0.py,variant,7.002521e-01,572.49,,1e-08,1.4377699806104582,1e-08,1.7853778496483177,0.04626267915586318,21.828570535159994,146.82685134436937,4.034603372931107,1.5418543136130338,56.202605831102325,1.1980878484905515e-08,55.75740273870276,0.004043202090918189,3.213980091980841,5.602334865359016,2.722764935693071,1293.9543760002466,549.1262117197484,25.5448754561877,107.76646347561923,19.072157861101402,5.209016481013937,11.601882767424696,48.64329034871541,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.463953e+00,635.56,,1e-08,2.0971364280736142,1e-08,2.122038851992129,0.43743722670227775,43.81351671981562,343.04544729682596,3.183044758631677,1.9061879828688901,77.86856597991363,0.0002085883691070032,28.630651811520693,0.14666770822053912,2.6183987348264806,12.50385023525693,2.7294137571208292,1728.5874669414134,80.81252416973403,20.033701475185712,224.88589238703125,23.267548982299907,5.411576173043979,13.115446975836033,83.49619790082002,prompts/variant_prompt.md
variant_06_idea_0.py,variant,6.142354e-01,628.95,,1e-08,3.0987954665245603,1e-08,1.182651120355545,0.17605518697743253,8.446084541409542,273.9773099764487,3.5191406263140026,1.875421676248969,49.12956266112239,1e-08,22.39964002954142,0.0008918608420294676,2.8524121787769965,9.20426675611502,2.166828484644454,773.7290980653954,130.5134394500476,20.739725431922054,140.75193719668505,16.107654401832963,5.111867108313838,10.507923145108709,59.27807682957978,prompts/variant_prompt.md
variant_07_idea_0.py,variant,7.217152e-01,591.78,,1e-08,1.8665987706748237,1e-08,2.343666186083936,0.1216832679709164,44.53269659642893,197.2557941326101,3.0587288943120994,1.9465542998129044,48.37382828903702,9.083613118304131e-08,20.513053812068282,5.011294740967128e-05,10.259412042818395,9.004168282914396,2.2946424816199293,810.9582710387863,1002.6618794308439,27.39185516162132,124.68354336565538,17.397992265062943,5.072682468272006,11.182785527824976,54.58655523902012,prompts/variant_prompt.md
variant_08_idea_0.py,variant,7.044035e-01,568.65,,1e-08,1.2435092797591396,1e-08,1.9290145343114198,0.09610941465604725,55.15893139921634,179.94998829149856,2.8718281994424553,1.7329622246770071,39.794854567168144,2.5139943247584574e-08,36.967553586724044,8.80877938211603e-05,7.070356131562318,8.652529978173655,2.308431211772269,876.9455018199174,3399.7861188600978,22.91452622688993,128.02432657228763,16.416950210096854,5.066331993593876,9.642563772728218,60.59205879950987,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.163731e+00,632.82,,1e-08,3.1964252468882175,1e-08,2.027051966706326,0.08113583470174224,105.35559707090832,215.80810726507124,5.0728095938653635,1.622089555003448,49.12953162167072,3.325941351909808e-05,43.68673635302329,0.00042832062697532137,17.783914634646738,8.140891684277761,2.5475542559920465,925.447045584018,3680.194789835316,20.31719103957595,100.66383379054915,17.911633205685497,4.974879783442238,10.618132861943756,52.06509193302181,prompts/variant_prompt.md
variant_10_idea_0.py,variant,7.614342e-01,593.07,,1e-08,0.580210373841669,1e-08,2.174855977912383,0.201472398870936,112.92959070914122,216.11506072991074,2.91546893867183,1.3345186502161202,38.05847415789664,7.988428152262923e-08,32.82260677486047,0.0015001462721477988,3.1145944816862654,9.434181419791878,2.1622009572137513,945.45685362066,371.391532629098,20.556275479012125,152.10794277876875,17.18427288678284,5.165056710324494,10.617828831649895,60.72771961018103,prompts/variant_prompt.md
