algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,6.825622e-01,616.63,,1e-08,1.1071094402911532,1e-08,2.306178951930937,0.1904958809088264,11.647248390364359,258.41705539964715,3.2875247433379715,1.5967214747895442,42.441142044321715,1e-08,29.365400236768053,0.0007683094983822281,3.807274795803392,9.93718102272583,2.1205133885408274,966.146712095179,968.7418606948523,23.024327724851076,136.84006737588004,17.246330552947907,5.167629845827024,10.704340643853978,62.96858703305208,
variant_01_idea_0.py,variant,2.456893e+00,654.70,,1e-08,0.8617951434345364,1e-08,2.380621647778416,0.0760546680174225,6.575563483943449,210.7599156870046,4.380899342042223,1.6324471884816325,60.499071624375134,0.0027442903509934742,894.1665690906766,0.07035957869389563,27.761811140746442,13.729486642111585,4.00623039836393,3557.4755111399527,86217.3851443746,59.256855024988056,295.63384317521064,21.04447699966183,5.726037266122196,16.847403891378686,86.9784647369927,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.488137e+00,717.71,,1e-08,1.6721372766189302,1e-08,2.0919643069674243,0.9439630950723531,33.89886113316114,880.8193854173973,2.9025312039693585,2.0592337423527125,121.23347666376942,5.129506204785239e-06,174.6445764944418,0.004014326056027237,2.7683616142568823,14.82371807143024,3.080188106454689,4823.283100114586,642.8166252268336,21.88054794011179,289.9072891200477,25.91495867191482,5.582187780031253,16.504450877378076,91.23659863446953,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.854831e+02,647.94,,24.56693162358681,83.40452201369355,212.2989470430898,177.20015268779952,4.219794178470116,380435175.1471603,1582.9935794038756,219.9827023133628,33.93614195936118,141.3023935626928,198.31646037563505,533.1797588182776,148.1882852568423,38.522461524407184,3.727455787408559,3.816992923430133,8985.99052461045,159568.4086616388,83.83928025957461,118.73765336592245,29.18176198061144,5.85950413411975,13.481091042051073,47.09362745113296,prompts/variant_prompt.md
variant_04_idea_0.py,variant,N/A,11.46,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_idea_0.py,variant,3.050323e-01,629.44,,1e-08,0.8644824946408649,1e-08,1.9045443710510455,1e-08,2.1574018217528748,158.73870639633316,3.422993019929951,1.9905683064629567,33.66871994468354,6.844010850275366e-08,23.287457919251523,0.0007148930266331382,3.1482777157831494,8.053232302307219,2.0080281578429,629.4379190659345,772.7308464753104,23.86831126078013,109.81333013902342,16.446029574710977,4.952353430918175,10.544386675658034,51.24959448792519,prompts/variant_prompt.md
variant_06_idea_0.py,variant,4.376968e+00,668.87,,1e-08,8.868031271711617,1e-08,38.75247117526017,1.420065482212087,667707.5321910249,872.917231633237,37.572094448795276,9.299269922943981,132.51296873455036,4.834209294019789e-07,1320.9354868386918,5.3899332059924045e-05,46.03497648803372,16.042862976982267,4.217692424471442,9268.548476678976,212945.5246992033,82.05840553723999,401.755040168542,22.062060165082734,5.917367258631458,21.118403683102507,96.50697829749353,prompts/variant_prompt.md
variant_07_idea_0.py,variant,N/A,9.18,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_idea_0.py,variant,N/A,9.19,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_idea_0.py,variant,4.775607e-01,656.09,,1e-08,0.839958877411079,1e-08,2.296666904451658,1e-08,73.82069437508265,97.73423702949123,5.984134664418361,1.7877755744734347,34.59974557318175,1.3656586366475195e-07,197.98886565289473,0.0012264478881111507,3.2975439398742212,10.452434578250136,3.2603742289150452,1214.4760833981684,1987.219780323288,28.403116830931257,170.03640178497088,17.275998350513376,5.331074702567555,14.46211799879303,66.43195733058042,prompts/variant_prompt.md
variant_10_idea_0.py,variant,4.423178e+00,635.46,,1e-08,8.952110455040865,1e-08,39.570470635185,1.458201551818575,551117.4446501846,952.5874698905465,38.69997694482304,9.316349064759642,138.1510008525345,5.482675466610742e-07,1383.8686770235568,5.64873149370966e-05,45.16245183321327,15.699348323851401,4.161876061911627,9681.499354365065,211639.35163892547,81.23595606135635,407.47407937511815,22.46691937307772,5.912694036428044,20.856689636364685,97.9722259970321,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.685852e+01,715.24,,4.681185748280346,56.172152492362535,48.84025502229104,156.48080598408336,2.2619893195508456,212131917.42871118,861.5483815627111,190.70648090746803,27.999632965248043,99.45702720341542,1e-08,68.04534816093586,4.7001756943382826e-06,19.135037645430295,4.682300552797206,2.754305045816356,819.56662750517,10424.674785680903,31.679867221204088,80.99643720861127,17.14284611676771,4.517103619840131,10.95201096369511,42.901709907818244,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.618016e+01,649.34,,2.6869608473752042,44.901948035470554,58.545557550073745,162.49401890571295,3.2059716748012232,155245133.98873907,1093.3730808639716,160.26304641142926,27.940590585904733,87.45679082511342,1e-08,87.8822505409084,2.574128079072716e-06,17.78400185743571,4.9370387195274175,2.629059503863997,884.4522458417241,12735.427007656564,34.06064432275079,65.80172916183142,16.84320916002103,4.4959279775062235,10.527510746695755,40.322457845395405,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.257991e-01,643.39,,1e-08,1.2661932181074367,1e-08,1.596207052854472,1e-08,36.1793278515301,40.11801216280994,4.942850400998461,2.001530948188062,18.796291253497973,1e-08,53.320742569806306,1.2005029038860902e-08,10.85966003175133,6.8805323712635,2.4306576023124125,684.4621952665005,10341.887795574665,30.25257801315509,83.0338893604715,15.716629232186348,4.854734465569891,8.183945245288713,43.81813834284937,prompts/adaptive_prompt_3.md
