algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,2.262864e-01,611.27,,1e-08,1.2220143569803346,1e-08,1.5010090594219971,1e-08,14.439268238132522,36.62872028030883,3.8524200633714263,1.6350261183768782,21.49761283287958,1e-08,85.66703833043114,1.8164448439280012e-08,12.779205030892848,6.927422727613151,2.7678297712522846,803.5295341599538,10458.260621435651,26.468990282416147,87.2481480859221,16.33115047819063,4.883990767615947,10.01935197538993,41.830427291071565,
variant_01_idea_0.py,variant,6.806517e-01,603.44,,1e-08,3.411675081343009,1e-08,2.881465219332442,0.05180536908919179,178.77917946678474,40.50146029807614,5.943992540822931,1.6812276882156407,13.563256633941474,1e-08,82.84871331757294,5.0814656098104196e-06,23.181300622243143,6.855312270737215,3.8032406171420843,1071.7253174921068,6520.500956608819,31.234937494871392,80.40405897156252,19.223426639143153,4.895485961158749,11.236925080595183,41.4224734374381,prompts/variant_prompt.md
variant_02_idea_0.py,variant,N/A,10.03,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.206006e+00,656.41,,1e-08,4.712747859671375,1e-08,32.278974426867656,0.1447814481614264,238922.2728478222,46.61467007371626,12.132361313588845,2.062919427815956,35.42911514185067,1e-08,87.06779965020876,7.673078191200272e-06,22.027841929934848,4.492523480720869,2.854780763276127,906.5315910081501,20873.917350205353,39.291322711284806,69.60259030379596,20.653356858176934,4.669386110854815,10.914556025715653,40.076387841124976,prompts/variant_prompt.md
variant_04_idea_0.py,variant,4.428273e-01,793.98,,1e-08,2.0643060784572715,1e-08,1.7800982342218874,0.03577386998395751,107.26483772594294,35.026085382356236,4.262567894813886,1.6900424496078807,17.430512095792324,1e-08,51.43994728320474,1e-08,11.194315719943628,7.576968296151856,2.6420953940610468,648.2111753828767,5919.219240467133,30.261642937203728,102.21191107233172,17.556556424680064,4.96733842577774,10.490468828587693,41.65225450769487,prompts/variant_prompt.md
variant_05_idea_0.py,variant,N/A,9.23,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_idea_0.py,variant,4.006468e-01,627.13,,1e-08,2.9599981543077214,1e-08,1.4525263529772316,0.029719924462384,37.613833928830864,39.20094964611147,3.576812191898176,2.1281016247717113,16.43065517551239,1e-08,28.76142848571196,1.992350170615741e-08,9.223489919875934,6.701085661935003,2.41316945679913,699.2321817538758,1826.201674818202,28.00492580329051,90.25282569047403,18.42932448676733,4.86916701403144,10.082809712848539,49.75248207482784,prompts/variant_prompt.md
variant_07_idea_0.py,variant,5.606806e-01,635.72,,1e-08,2.9715703754689202,1e-08,2.154406067956721,0.021264595185809712,13.806787620713624,42.008289579715886,4.769500050197367,1.9263539620156922,19.88958656018496,1e-08,72.35102042040926,4.4345326926920675e-06,17.847597818639322,8.658787799587262,2.736123220841677,672.4094558355097,3955.5324877470557,31.069264928942665,112.15979749499041,18.496727811204835,5.089319190232361,11.159275057392065,48.873984170625235,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.263941e+00,602.29,,1e-08,3.0811072281890617,1e-08,1.292618404307949,0.05852969999243079,16.379089694388554,28.637401783813292,4.551278969558544,1.772282834184339,8.224789689285254,1.1021038186965598e-05,188.59607947950167,0.2809058583551892,12.163499553540998,8.576519258359056,3.358978376920912,866.5658248297906,6957.754377972336,31.91286771908302,140.20220228960662,19.793483087354943,5.212070274814268,12.722187749027627,52.58898165135541,prompts/variant_prompt.md
variant_09_idea_0.py,variant,N/A,9.34,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_10_idea_0.py,variant,7.385521e-01,639.95,,1e-08,1.9109870405158462,1e-08,1.3186807852737614,0.051552773396550976,1.4422512630126285,39.009836208130906,2.6304204116633767,1.8761790984900715,13.361376397839033,2.565396511975698e-07,59.20066985539012,0.004171730553927893,16.05938215040271,7.627231843057216,2.7571440654681156,709.1100554081825,6881.654903371056,27.60223610788651,101.7425229349297,19.65090797710452,5.02437924648949,11.03027369826901,45.06870253552588,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,2.234493e+00,730.03,,1e-08,3.3719380726384416,1e-08,2.546508466464853,0.7628337625403093,130.31344506603233,117.02214340535222,3.8224144767204464,1.6936776374526197,31.57814596872677,0.0004831489296948434,198.32290459863358,0.5403721637601727,15.691463084084148,8.530458602621696,3.2846791441324656,972.7367126811779,12272.326463227144,38.475934942917895,140.99320305463633,22.209873938817275,5.302307684185414,13.79597573448356,49.0771960452962,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,1.623785e+00,769.23,,1e-08,2.6943316403178397,1e-08,1.330845881636012,0.39291073779050034,20.237445190305305,53.14163525974811,4.665292761460955,1.849298136564911,22.403472252192834,0.00011952800286221198,217.94458096514654,0.24850483391815945,13.358130256350524,7.783260758664117,3.0963620671265124,818.1682787532934,8243.553667675598,33.652334011980585,123.4109155279316,20.59351533770389,5.1636262978852,12.672942900289227,49.00260708097683,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.120835e+00,746.22,,1e-08,1.6849317052522448,1e-08,2.4544108497004933,0.7489385324638085,133.1287409633685,114.62955048363133,3.252102519235113,1.619074050923982,33.46099717920385,0.0004057035382110233,253.1546724769231,0.49178423615065864,20.088126938532703,8.454930067190473,3.3576563158052477,918.7812980098486,7631.436550481814,36.14579701890401,139.17816155139158,21.347218729880776,5.242451217302054,13.789710424700768,52.519303480199184,prompts/adaptive_prompt_3.md
