algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.797801e+00,0.00,,0.4048778687025645,0.9682843830096803,34.22937820465384,3.208152199040353,1.818474534334729,1.9528376765879223,0.6893325872705589,0.7152444312855267,362.29131290255447,0.7983385527966453,0.9871873759155182,0.9115073480764786,2107.385702974178,155.24354280171073,5.480417600927903,0.842853764480814,710.0789541992692,3.4134063532567165,2.4996586055861827,0.9768248924589611,5.718049291833709,57.17854493779139,0.9028710256327015,40.18411770294817,
variant_01_idea_0.py,variant,N/A,10.74,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_idea_0.py,variant,6.163449e+02,589.61,,482.33019811941494,1.3760945568494134,147302062.40069798,3179.0620141572035,2.6367301242983503,2.6584402769335593,803.6105346259758,863.8767550674303,12043.054210527913,931.2497219973611,1025.5427911894074,1028.6238145231946,13744.342578657468,4322.4256877411935,6.952176261989653,1218.0773874336874,50417.7053694179,2140.272887856997,4747.632064627491,5.276591983339702,26.591743807547395,13279.933459239466,13.495723646328099,77.87512247469303,prompts/variant_prompt.md
variant_03_idea_0.py,variant,2.176261e+01,653.35,,2.3144586601010593,1.0387201119644331,66749.90088561036,12.38771226386992,1.9712371994134497,2.0765706009935774,2.4811060783908157,2.7637633631003062,2135.130379100862,3.1665349451719687,4.355696399661377,3.694900827376312,5773.155379050587,461.8030814387396,5.949933513109186,2.5311095783914532,449.9291720546527,561.6114486602601,35.262238525809195,1.4118052187231287,6.620143878076748,96.73799961707148,1.449637429159071,44.739472758886805,prompts/variant_prompt.md
variant_04_idea_0.py,variant,N/A,10.46,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.761155e+01,771.03,,1.7822165688094307,1.0225344234954359,405410.1143237007,8.728468773449604,1.999423464831264,2.0285583862213246,1.7556507695849874,1.9196033061594737,1387.232432172878,2.40283173040216,2.1498994477441093,2.155364491795208,7464.746561766283,178.01480760860335,5.618840776347781,4.955169387421691,330.834643112423,3.2550533771470787,546.5199744961054,1.2444180798040472,6.320190284739123,69.90067831180146,1.311211631512877,37.0950003272518,prompts/variant_prompt.md
variant_06_idea_0.py,variant,9.211040e+00,599.39,,0.7595248702745752,0.9869835126369015,141953.4237163657,3.783681958438398,1.889146473161169,1.9948803757174813,1.1628444898232435,0.8330256532174023,526.6681654715986,1.0224002668949963,1.4058924502849162,1.0941772935264529,5439.685173251032,105.08219135717259,5.5010597099744984,0.9252107956406918,153.98094176919446,1.4378264216763936,13.658003966092648,0.9979716227034725,5.879827717021492,58.99349389599022,0.9980542080908995,37.59614609115415,prompts/variant_prompt.md
variant_07_idea_0.py,variant,4.562421e+02,137.12,,127.61886600923955,0.5306831873596876,10801450.993237354,122.07058952794632,1.3122065769902826,1.4731000001324042,4883.400087362759,5075.879021739921,884.7360126993353,5214.8417009138575,7049.893307410956,7624.267219068962,1510.9985215027548,10739.717794917362,5.70903834173019,34.872885613657346,795.5054906969834,8883.774089641356,8869.793439767755,9.149310163417107,23.2429035586792,45159.06554136029,26.202818167742144,122.37949218378198,prompts/variant_prompt.md
variant_08_idea_0.py,variant,8.273538e+00,624.09,,0.42928654128033944,0.9584001873945696,11859.245078514852,2.7412340771469634,1.8437251013483333,1.9469306661762529,0.39227690834042267,0.47706466479772447,1144.058602920063,0.5634512321693641,0.5735906203327175,0.6484166118119157,6103.692497886229,125.15354733638006,5.603676867097098,0.7886216499880394,173.22218025828178,1.3344202070361781,591.2733039858724,0.837333806181252,5.6879436332014865,66.49082001870252,0.8209245766009198,40.957613900641526,prompts/variant_prompt.md
variant_10_idea_0.py,variant,N/A,18.66,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
