algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.092027e-02,0.00,,1e-08,0.3448701144697611,1e-08,1.6732414143167554e-08,1.238805898273689,1.2860968978892118,2.1511037738739826e-08,2.1077492650249636e-08,783.1891475728664,3.82867774534051e-07,6.090034106438047e-06,4.929471198651989e-06,1541.8858303075724,14.671944046917016,5.874265566154925,553.7009281789955,600.1000629340289,0.0010443704997797692,84.19155292013663,0.005913258172356999,5.000000010099086,50.00023230742491,0.0002038996384814103,1.8836124813390662,
variant_01_idea_0.py,variant,3.816373e-02,97.20,,1e-08,0.3489320640828784,1.4743313173727402e-05,1.9320742683941534e-07,1.3165083391319217,1.4700986180178335,6.689860687426253e-06,8.831551624620824e-06,1074.0399305808112,6.261579059407294e-05,0.00026411912961501577,0.00025001219115849347,1359.0512492082207,209.28343609927893,6.095676520519392,529.6000000005754,600.1008068662059,6.9148961327794935e-06,0.034117452198402835,0.030322893400187245,5.000006909481744,50.01097632979804,0.002524789170205309,7.254552490454053,prompts/variant_prompt.md
variant_02_idea_0.py,variant,2.083604e+01,80.63,,1e-08,0.3562464004630366,115048.66770977475,0.0004932536584000824,1.8090976296488666,1.742090587664562,1679.0510834062995,1494.6918276099184,1109.5535872651817,1738.5228333370678,2243.4005090513956,2292.984152909499,1798.2194385771293,4978.725930861856,6.133060182603105,1.3333333333256718e-08,667.7095254211553,2450.274458560488,2815.9994090062623,6.5832855511347645,41.837188952901336,1882.5659345124436,18.253960849030975,88.50185591114008,prompts/variant_prompt.md
variant_03_idea_0.py,variant,9.601304e+01,84.67,,1e-08,0.3792454503223271,665026.4375866404,0.0025004233536409645,1.8126958501047634,1.9536635875771677,15041.023138635062,17298.308534365246,1414.2381905403834,17979.116969723204,23682.386388527426,19947.750479692604,1912.1608664960988,15107.692297989784,6.20702861017972,553.7009281792585,0.010962774734261096,16870.988627001203,14862.170603462937,11.280878746424527,84.64015052500055,2983.2732563261657,42.98703063602825,161.4773920071897,prompts/variant_prompt.md
variant_04_idea_0.py,variant,6.066739e+00,114.12,,1e-08,0.34759270333170633,11572.034939238836,9.285331765957814e-05,1.6856595496091638,1.6557835429850698,113.10830924548584,88.4464453310972,1343.1250358663756,64.17314592164273,159.6475186775668,125.19615151542816,1677.5223220688945,1254.8497611223618,6.048632984303295,1.9999999999638794e-08,646.9808273415958,196.02590680291456,358.4754947490772,3.3389671555395153,5.000012186595662,631.7173485988603,5.696309290993594,49.45011882620098,prompts/variant_prompt.md
variant_05_idea_0.py,variant,3.097052e-01,89.27,,1e-08,0.35727528648308937,0.17190322894150228,0.00020468271732216448,1.4538125766904417,1.6901664347518424,0.0005096211523715821,0.0004910367579953721,1370.2148083402856,0.001327561298385335,0.13807556038927402,0.05988222001873649,2100.725021377907,1469.1233391333,6.166407439269779,3.999999999773414e-08,601.0893100573595,529.6000557944702,17.09701722748125,0.17518394597912038,5.000361876662688,58.41133067600347,0.10309482164713508,23.866186621700734,prompts/variant_prompt.md
variant_06_idea_0.py,variant,4.370115e-01,84.21,,1e-08,0.35569746836670946,184.16324696713883,8.108475542422465e-05,1.4693180834752757,1.5341530149934808,0.02645841003387911,0.02451056501678964,1398.8919641320597,0.06926919775933882,2.7512934490694776,2.096292418091756,1840.7885401226301,2330.0218186228544,6.171559910445895,1e-08,6.857393710608126e-05,0.15763435408349036,696.7636185088902,0.575461999428898,5.217847182428759,209.66272594625403,1.234351252712255,35.01622425225083,prompts/variant_prompt.md
variant_07_idea_0.py,variant,3.812716e-01,103.33,,1e-08,0.3356187217310579,0.001153679025860525,4.530833466869561e-08,1.2967784782163654,1.4042844581671483,0.11965216371189986,0.027982907685090316,1662.777551448982,1.6030788999635934,5.460233511159316,18.216260946126763,1718.1066443220993,3701.612417129983,6.0566741141028215,1.9999999999622356e-08,6.2823705751384e-07,565.6324770930826,1588.103721081318,1.9040558977054949,5.077879569076243,492.15406582615446,3.305182739535689,45.92223948102254,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.011715e+01,86.82,,1e-08,0.3831861442053881,5.091436725178039e-06,0.0024827473120720206,2.0133647481085837,2.0750998121279554,3855.430193222029,3749.861865414885,1701.3172610819663,6361.977096433722,8458.85549075296,10895.108084626834,2087.006783954261,10809.266777723924,6.3007926308208715,3.999999999773414e-08,0.3653804615159521,7576.771800152985,9586.440093461353,8.694609535631693,56.194195696512104,1733.5549352954404,29.909791992595675,118.54695303571273,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.107300e-02,76.35,,1e-08,0.3443186433203046,1.15608284080104e-07,5.3086287715002784e-08,1.2949398465912045,1.362666983843113,2.120198663284468e-06,2.0341008664707188e-06,1248.3961560816176,1.7989040998984206e-05,0.00038866969857540907,0.0011669555792276813,1883.0136171365696,101.69160995352995,6.100965751720133,1e-08,573.4164082049526,2.3322364323330135e-05,0.022928265496408785,0.047865042627294546,5.000000179906195,50.49009646509468,0.01230309030686069,13.233894683650595,prompts/variant_prompt.md
variant_10_idea_0.py,variant,N/A,10.52,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.057252e-02,81.40,,1e-08,0.34487078613728844,1.4792187417086223e-07,4.0094860461930805e-08,1.3195384135204928,1.4453590842386983,1.9888758335337134e-06,2.167780783029898e-06,1257.0302311591329,1.991317496224307e-05,0.0005393934851982651,0.000380064916533296,1681.9652560506327,143.043256018749,5.843446760636716,1.3333333333249413e-08,567.409902065551,8.756824104194398e-06,0.033389595748071946,0.04530337334116684,5.000000200670014,50.04072530587944,0.008170191055519702,15.305008178304368,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,N/A,9.99,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,3.686177e-03,93.10,,1e-08,0.34128549368124433,6.066677882683841e-08,3.051545399907759e-08,1.3043718402034843,1.3673856601833423,1.321751292723618e-07,2.769453849709676e-07,1172.1694769533667,3.6946605496459773e-06,3.598147135724528e-05,3.221560709186721e-05,1611.5853060751178,45.900170258534814,5.856713924836897,1.333333330737597e-08,600.1000337104578,1.8494356433385451e-06,0.00027234656717202974,0.018234889965222337,5.000000123334749,50.001109212305835,0.000957408848495432,2.5101435890676616,prompts/adaptive_prompt_3.md
