algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,3.686177e-03,0.00,,1e-08,0.34128549368124433,6.066677882683841e-08,3.051545399907759e-08,1.3043718402034843,1.3673856601833423,1.321751292723618e-07,2.769453849709676e-07,1172.1694769533667,3.6946605496459773e-06,3.598147135724528e-05,3.221560709186721e-05,1611.5853060751178,45.900170258534814,5.856713924836897,1.333333330737597e-08,600.1000337104578,1.8494356433385451e-06,0.00027234656717202974,0.018234889965222337,5.000000123334749,50.001109212305835,0.000957408848495432,2.5101435890676616,
variant_01_idea_0.py,variant,5.499726e-02,98.70,,1.1162525306924952e-08,0.4017599461917633,0.000954071814144308,3.5271940622720993e-07,0.8898417239764763,1.2024025359015156,0.0012842111479099071,0.0013959617512486779,447.524774610001,0.0013484130519412294,0.001608502931266012,0.001311890542898972,10.858740580607467,4.17650916033673,5.090433385089587,1.9999999999622356e-08,600.1551174521504,566.5953720612796,0.00528330911189925,0.1885075372661981,5.020918746505608,50.009131132890246,0.06168437691944331,6.568349257344543,prompts/variant_prompt.md
variant_02_idea_0.py,variant,5.449694e-01,99.66,,1e-08,0.33965682112612355,0.0006797237823050244,3.300296026488314e-08,1.3713137938502304,1.5478404918254132,0.002131029069146201,0.002033951776924975,885.3474772094646,0.004685155806013218,0.045248196028795165,0.0146602845319288,1679.4001287058559,491.69430521916075,5.906740437267365,541.3823692678302,594.2752179485592,60.24033478606747,58.28240355322513,1.5910247891900722,5.028790896921095,136.54008997294545,1.2434555879407758,32.62019483960318,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.242863e-01,93.15,,1e-08,0.36796329116508714,0.0014978798986349142,8.435382558821143e-08,1.8803750846617782,1.779064063048451,0.03416912899605067,0.032351398939085306,916.2377429602166,0.03464619896043843,0.029220184898958602,0.040525060696560374,1879.9404176026192,29.328527101351252,5.82100614988188,1.3333333333249413e-08,600.105476125513,0.07839852057022223,0.5929994979599028,0.300318604624928,5.054347497143907,50.02616627250359,0.13099229125140457,2.404834547549906,prompts/variant_prompt.md
variant_04_idea_0.py,variant,N/A,9.91,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_idea_0.py,variant,4.671211e+00,551.48,,1e-08,0.3314121585507945,0.00048740971117487296,3.8018482846436516e-07,1.4611397800204047,1.7183720389841717,22.297437461050528,4.6087704132758605,1548.2470711503497,3170.6626387233273,3181.189764432469,5849.350252552867,1308.4612106899872,9103.014853409888,5.873005925820383,1.9999999999622356e-08,631.7442531054324,7518.992140270175,8305.103213827999,4.240173582926678,5.024994901738415,1125.1086219081205,10.046005525613133,60.55143480661424,prompts/variant_prompt.md
variant_06_idea_0.py,variant,5.012010e-02,100.69,,1e-08,0.3358835300171549,3.8562150929736815e-05,2.2392762815543992e-08,1.3636871038318226,1.4605191087166904,0.0015336643419081569,0.0016661688419563894,750.7703822749106,0.0017145242474158472,0.0030816665986535753,0.0016073850626410872,1963.8539651484318,41.12222397524822,5.955114646610321,1e-08,600.1047958509022,0.050591707727072756,0.14899126346582117,0.45555125818596215,5.014611877368237,50.059873971321565,0.1173690013340696,2.2974192447654085,prompts/variant_prompt.md
variant_07_idea_0.py,variant,1.023964e-01,94.31,,1e-08,0.3414085970797961,0.0004982706275057748,2.196777108841456e-08,1.2841227430362512,1.396796427588737,0.0018365122430550928,0.0018585250151553793,1046.8696491437393,0.0016847948072737176,0.001696130744514883,0.0019237886793215947,1863.6209299260174,22.68900347014977,5.917982751257096,1e-08,586.4106254682243,268.1373436408939,553.7658524191276,0.11744752457683912,5.0213670688158585,50.508927826716224,0.06430373206395035,3.2125459003425565,prompts/variant_prompt.md
variant_08_idea_0.py,variant,8.397896e-03,101.97,,1e-08,0.34168036158337073,4.6371753518570184e-08,1.4152307303414663e-08,1.3720841106523687,1.4966811664130593,2.9155574942245214e-08,2.883750984052917e-08,958.8735173019193,6.379882304670515e-07,1.905821344132578e-05,1.4607763719285774e-05,1459.7519092410255,69.85510214257913,6.0172805055627405,3.999999999773414e-08,600.1000240047889,529.6000000173842,0.12507414519621313,0.012161732025244452,5.000000052504696,50.01924721828299,0.0008082007172606631,9.57334624649003,prompts/variant_prompt.md
variant_09_idea_0.py,variant,N/A,10.56,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_10_idea_0.py,variant,3.603969e-01,94.27,,1e-08,0.36470615779055654,0.002831631670935426,1.1717776323558012e-07,1.884168047730003,1.7494067654570586,0.06716093171897126,0.08014090646124739,1328.3906213757814,0.11941007374102894,0.19879574236077102,0.20602401237155285,1882.8680424868694,22.495377882691642,6.035320994419736,1.9999999999622356e-08,578.4192576234988,1.4842867298904927,531.5591315548218,3.87769011780844,5.465571606107386,51.77102478097036,2.2696966120984023,28.446436667499004,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,N/A,10.82,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_1.md
adaptive_attempt_3.py,adaptive,1.075336e-01,206.32,,1e-08,0.3342026472091276,1.6243957020609014e-05,2.162537223376705e-08,1.2905174838067361,1.3577741505925125,7.656634492972352e-06,0.0008260733596438728,722.5718513349992,0.00019760264418626036,0.0008674255378107727,0.0010730122630861357,112.28330837065792,2.4910129242274555,5.994847844294535,545.625065453981,600.1168736803126,1.2781241980537543,576.6711099923981,0.16543055267891138,5.0053202466332545,50.02013022203745,0.06426909598653899,3.068615752595121,prompts/adaptive_prompt_3.md
