algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,3.277181e-03,0.00,,1e-08,0.3433316672885245,7.262896866801371e-08,2.7187776524875235e-08,1.2358732819918972,1.4004376852618319,2.38893589511154e-07,1.5207346684053153e-07,981.5617377934307,2.661169794906498e-06,3.327642497513584e-05,4.2728126731008346e-05,1612.7334931987684,31.97659976448542,5.9693905592857,1.9999999999622356e-08,600.1000015386451,3.8210344945889666e-08,0.0009391734093288641,0.0205788453605217,5.000000107578618,50.001286400353045,0.0009459598710226806,2.3053016036822207,
variant_01_idea_0.py,variant,N/A,10.41,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_idea_0.py,variant,N/A,10.10,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_03_idea_0.py,variant,9.185916e-04,94.30,,1e-08,0.33938641206539094,1e-08,1.226875295144354e-08,0.7732071745571617,1.226327609168399,1e-08,1e-08,845.8875189701463,8.968550070032832e-08,1.7030541472132294e-06,1.644196012912009e-06,1212.7338758061137,3.3075815301229157,5.830920254789388,1.3333333226825531e-08,587.1147949769575,4.997928041529266e-07,1.631953090486896e-06,0.002843944376463236,5.0000000007731344,50.000250980252915,3.641919987962543e-05,4.017523426873722,prompts/variant_prompt.md
variant_04_idea_0.py,variant,N/A,10.30,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_05_idea_0.py,variant,2.560896e+00,98.94,,1e-08,0.3400095009180467,0.09523629510019993,5.551726330638064e-06,1.5834670581435315,1.736482916409337,0.2093394619945465,0.47143140330917055,1456.6911665489058,12.473235108652936,355.38196626766904,450.12397431985823,1519.783969139993,4995.300316522086,5.99900858509821,3.99999999979116e-08,618.9333413384787,627.5172719817997,2195.688934927773,3.4594454322918966,5.1291320175196295,463.3180938578072,6.553456438773445,53.338261186190856,prompts/variant_prompt.md
variant_06_idea_0.py,variant,N/A,10.19,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_07_idea_0.py,variant,7.799350e-03,93.30,,1e-08,0.3391720839514537,1e-08,1e-08,0.8731133373312486,1.1411696959895101,1e-08,1e-08,1190.1210640205807,1e-08,1.8954660287540816e-08,3.493966104297645e-08,1802.5884400810187,1.8131469697912102,5.973996415148074,545.6250654538617,584.561194553765,529.6000000000051,541.382417482101,0.0007457058721638346,5.000000000046205,50.00038672085059,4.621327292293044e-06,6.264506447481379,prompts/variant_prompt.md
variant_08_idea_0.py,variant,N/A,10.32,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_idea_0.py,variant,N/A,10.04,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_10_idea_0.py,variant,N/A,10.12,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,2.771161e-03,92.91,,1e-08,0.3438887153812676,1e-08,1.410971053519777e-08,0.7423701793563279,1.1981217583446755,3.3704006873464336e-08,2.7331961413475937e-08,905.0315480780139,5.458023735966276e-07,6.303345298088431e-06,3.71974394213082e-06,1866.8216820024309,13.05594500461057,5.9648658658565665,1e-08,539.0282204859816,3.565882355420786e-08,529.6001525326739,0.005921083441952327,5.000000008807696,50.00067863507445,0.00013905136393457714,2.9986611274928947,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,3.516138e-03,91.74,,1e-08,0.341046313833188,1.1642074232566666e-08,1.153998304968596e-08,0.8196406373734708,1.155288994747149,2.95012882570021e-07,3.028410597419712e-07,968.8639069129613,1.9100310880225248e-06,1.8529084896536814e-05,1.5116925443339155e-05,1556.4341800288569,21.43874889862759,5.888867215678416,3.999999999773414e-08,582.9729976242996,2.3826760217709184e-06,0.004214348359759202,0.010460786649465039,5.000000035432572,50.00625239635851,0.0003449084048202129,15.290281967268875,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,2.752973e-03,94.84,,1e-08,0.3431808021568434,1e-08,2.4856164565072673e-08,0.7374068927414619,1.1376417599366042,3.1891282646572265e-08,3.21577217188942e-08,839.310228335023,9.010254652779411e-07,8.823604868179996e-06,6.888336924291797e-06,1659.5972154550159,10.087204016834134,6.064330907055412,3.999999999773414e-08,600.1000164517983,0.0021204623822860887,0.000364159206334419,0.005640342958019988,5.0000000049568865,50.000600393568476,0.00011456695571959946,3.502104097431006,prompts/adaptive_prompt_3.md
