algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,9.185916e-04,0.00,,1e-08,0.33938641206539094,1e-08,1.226875295144354e-08,0.7732071745571617,1.226327609168399,1e-08,1e-08,845.8875189701463,8.968550070032832e-08,1.7030541472132294e-06,1.644196012912009e-06,1212.7338758061137,3.3075815301229157,5.830920254789388,1.3333333226825531e-08,587.1147949769575,4.997928041529266e-07,1.631953090486896e-06,0.002843944376463236,5.0000000007731344,50.000250980252915,3.641919987962543e-05,4.017523426873722,
variant_01_idea_0.py,variant,1.279064e-03,104.73,,1e-08,0.34461286780189093,1e-08,1.1295747341438939e-08,0.9586650016990453,1.2707569010316693,1.9810432648940722e-08,1.866271491714372e-08,908.1999571739002,2.5178193455668707e-07,3.1658101545718125e-06,1.7181176950708861e-06,1526.950260631017,5.327229543402168,6.021552200250097,3.999999998153815e-08,569.0374262532869,1.9999999999622356e-08,0.0004226899417864637,0.0037217588302048328,5.0000000198802965,50.00021602081804,5.091375912814188e-05,3.775840153809316,prompts/variant_prompt.md
variant_02_idea_0.py,variant,5.016061e-03,102.90,,1e-08,0.34141153023454046,1e-08,1.4996628538331964e-08,1.1303963930499592,1.3143983062660698,1.0700988243699347e-08,1.196691346281866e-08,640.2547548936395,6.769865414934306e-08,7.715095702810865e-07,8.354081327606096e-07,1518.7076887930032,3.8680873543151013,5.9192123384812,545.625065453483,561.224474558733,1.333332500183871e-08,558.1397691220683,0.003610709522557686,5.000000018657943,50.00017101589168,4.63118348653544e-05,7.140451298045842,prompts/variant_prompt.md
variant_03_idea_0.py,variant,2.080719e-03,106.98,,1e-08,0.341022206840809,1e-08,1.3604134692601535e-08,0.9796331342011801,1.240591865801468,1.814097737060149e-08,1.4103988756228442e-08,1033.6067606415554,2.3344733991536272e-07,2.13403481972347e-06,2.0714842321536293e-06,1416.6464204079844,5.550159324458956,5.948942093137661,1.3333333333249413e-08,600.1000125791522,3.999999999773414e-08,45.06963400727443,0.003511471796096345,5.000000007680175,50.00024974189082,5.0978335894815406e-05,9.332855761484797,prompts/variant_prompt.md
variant_04_idea_0.py,variant,5.822220e-04,95.51,,1e-08,0.29939747791226495,1e-08,1.842023511298393e-08,1.1869967343946355,1.3936775672622181,1e-08,1e-08,181.45777356102374,1.6919508809505745e-08,9.29843068124937e-08,5.436087357581493e-08,718.7389854400325,10.142434088750678,5.374886378999941,1.9999999999622356e-08,600.3247897727289,3.999973501081096e-08,1.1711917882695288e-06,0.0015369268310706662,5.000000004116465,50.00023556104895,1.3381401975923636e-05,14.349308541476038,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.612424e-03,97.47,,1e-08,0.3468266412125128,1e-08,1.1837300564887953e-08,1.0971921847691144,1.4013369022052866,1.8094089007046234e-08,2.4436063000620225e-08,694.1207923504364,1.7722190479512867e-07,2.293145688101936e-06,1.718569184894108e-06,1486.9488896403238,5.8925857652121225,5.940690502624574,1.3333333319191449e-08,588.751044688792,1.2952860508235866e-08,0.2682938813168252,0.0036446899646822815,5.000000012022891,50.00022680314472,5.4397914717843714e-05,10.016616561753588,prompts/variant_prompt.md
variant_06_idea_0.py,variant,2.405439e-03,102.26,,1e-08,0.3378796686289312,1.3545375767025974e-08,1.1074076152305085e-08,0.8058171539912692,1.2472502060115462,2.8452534197020655e-08,2.3231320678396947e-08,751.3809811948714,3.6877925614704915e-07,2.756203714034699e-06,3.0606608814145956e-06,1456.2194458670922,4.058534081425891,5.844284054518647,3.999999999753318e-08,600.119021040284,1.0186101963952695e-08,534.7703492247857,0.004345760269838728,5.000000010496592,50.000327805294155,5.210536860579337e-05,6.9980392783782035,prompts/variant_prompt.md
variant_07_idea_0.py,variant,2.189618e-03,105.41,,1e-08,0.34172114544110027,1e-08,1.149315978794345e-08,0.9457578571414645,1.2990476822790953,1.94046931080946e-08,1.3591396298594703e-08,686.6528551243867,1.8183309705108653e-07,2.291905042242051e-06,2.7589703468890233e-06,1417.5706898688425,5.2903584895509335,5.982599078304255,3.999999999782287e-08,596.3164004925889,1e-08,529.600039256963,0.0037886112000768846,5.000000008630128,50.00025121780956,4.521646875055527e-05,6.048866286038529,prompts/variant_prompt.md
variant_08_idea_0.py,variant,2.982727e-03,97.59,,1e-08,0.34175719369495156,1e-08,1.1675437092136595e-08,0.9200553589060344,1.2637920665197613,1.7953292153591997e-08,1.8392876243694497e-08,974.2922714454797,2.454621598834173e-07,2.2963532001367562e-06,2.630497741675663e-06,1215.7838155034942,2.581111187815057,5.845318340238691,1.3333333333249413e-08,581.4787400062273,529.600000000011,4.2957178585961986e-05,0.003978057739681312,5.000000011170307,50.00026446775511,4.652467507379405e-05,7.4212198069164,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.247056e-03,114.18,,1e-08,0.3456026608331277,1e-08,1.2773550583695782e-08,0.9748746688717355,1.3200725972163225,1.5192445274856038e-08,1.790346090294589e-08,776.1357918240301,2.1894128074814467e-07,1.8298560689479941e-06,2.322695770339726e-06,1147.3744240754372,6.011375475645496,5.9367251541541375,1.9999999999622376e-08,546.6702067233624,3.999995288605235e-08,0.00036020777196739135,0.0036909113481488963,5.0,50.0002324867243,5.172513189670282e-05,5.823949931864304,prompts/variant_prompt.md
variant_10_idea_0.py,variant,3.344847e-03,102.13,,1e-08,0.344141750384604,1e-08,1.5658577487107054e-08,1.087944881853099,1.330747274557177,2.491145605515166e-08,4.2926285351620004e-08,748.5731232709098,2.8391228048885227e-07,3.3928621878047773e-06,2.956471011364974e-06,1474.9515509659373,5.043276335359428,5.860274740934527,1.3333333333249413e-08,581.3302747626295,553.7009306596192,6.617568692174534e-05,0.0036960113643140355,5.000000000000007,50.00020518135737,5.558222103484826e-05,3.400966210930252,prompts/variant_prompt.md
