algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.822220e-04,0.00,,1e-08,0.29939747791226495,1e-08,1.842023511298393e-08,1.1869967343946355,1.3936775672622181,1e-08,1e-08,181.45777356102374,1.6919508809505745e-08,9.29843068124937e-08,5.436087357581493e-08,718.7389854400325,10.142434088750678,5.374886378999941,1.9999999999622356e-08,600.3247897727289,3.999973501081096e-08,1.1711917882695288e-06,0.0015369268310706662,5.000000004116465,50.00023556104895,1.3381401975923636e-05,14.349308541476038,
variant_01_idea_0.py,variant,1.687651e-03,94.19,,1e-08,0.3012458595215908,1e-08,1.3412434029606641e-08,1.189111960095272,1.3628103228034645,1e-08,1e-08,130.8395051492998,2.328876574409852e-08,1.4525421103694158e-07,8.502627511177626e-08,985.7480262781319,6.396332988779162,4.935246440260742,1.3333333333249413e-08,600.3486372930513,1.4003140399539775e-05,530.160910232228,0.001407320635975836,5.000000067572173,50.000194721931166,1.4046286210398284e-05,12.654657803895548,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.684490e-03,100.03,,1e-08,0.3086560389071066,1e-08,1.2550157761870207e-08,1.1315305823805883,1.4124816142587595,1.594030074179673e-08,1.0471040350903753e-08,181.452372544459,1.5492103739460948e-08,8.920823164942903e-08,9.59697875318742e-08,596.5569445587917,2.9976509532917275,5.142606608997486,3.9999623051299084e-08,583.509793022485,545.6250654535351,2.278251396340914e-05,0.0013824519346956506,5.000000634870651,50.0002548321521,1.0110297006215657e-05,11.748978426623674,prompts/variant_prompt.md
variant_03_idea_0.py,variant,5.711425e-04,108.72,,1e-08,0.2987518775417438,1.034862923977346e-08,1.4069806923609883e-08,1.1845685539190947,1.4376631651063985,1.0401257833312842e-08,3.11780872767071e-08,193.85536200697794,2.0950320376198416e-08,1.4155584495731035e-07,5.4500626859428897e-08,410.2919395496227,3.95515944172336,5.2577739474334875,3.999999999782287e-08,600.9145020106951,1.1582594903305024e-07,2.4286899133487e-07,0.0012490814291540296,5.000000021099783,50.000150349745034,1.689783106901677e-05,6.335225703894117,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.310473e-03,97.86,,1e-08,0.2906146479064396,1e-08,1.2270995330315537e-08,1.1670640161304449,1.3577252429321467,1e-08,1e-08,220.53013832604873,2.237078435716287e-08,6.667735988165408e-08,3.737930843713207e-08,1206.747027812984,6.019431138473131,5.339594325380204,1.3333333333249413e-08,600.2952625307095,3.999999999788862e-08,553.7009284157082,0.001878029962514344,5.0000003370846,50.00017442377424,2.2604002861571785e-05,12.97967563160953,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.585228e-03,105.21,,1e-08,0.31563561259458517,1e-08,1.2687342350058196e-08,1.1663102125708562,1.4520866634559422,1e-08,1e-08,207.8318144470795,1.3391108706173804e-08,1.1248068924959566e-07,7.241505404017716e-08,279.1470710624421,6.95374150225746,5.332460511224883,529.6000000000049,578.8043274212603,1.9999999999622356e-08,6.521976312209585e-06,0.0014419529675332708,5.00000000872501,50.000222537539216,2.8278266680242013e-05,9.776670018650538,prompts/variant_prompt.md
variant_06_idea_0.py,variant,6.382131e-04,95.29,,1e-08,0.29160937099768763,1e-08,1.114666182806306e-08,1.087252514938937,1.394513327191961,1e-08,1e-08,116.01761585840278,1.7326005187694452e-08,1.6257725771401007e-07,8.320202894134029e-08,1084.3687298918685,4.205155761451538,5.695335429720057,3.999999999779989e-08,591.8932988909803,3.999999999773414e-08,1.0027732593346354e-05,0.0013161950476248403,5.000000012817445,50.00007492950685,1.5446149659088647e-05,12.414707035591983,prompts/variant_prompt.md
variant_07_idea_0.py,variant,1.305655e-03,101.49,,1e-08,0.29489736218997253,1e-08,1.3173542351852841e-08,1.2711821739929825,1.3683329892744078,1e-08,1.0621182793215683e-08,247.10915301293136,3.399329542209895e-08,6.112255722026726e-08,4.9507282520352634e-08,354.82588949502815,5.689596902054109,5.36461282241696,1.9999999999639853e-08,600.6821064259591,3.999999999773414e-08,575.9675178252835,0.0013403543378226353,5.0000000034885765,50.00049167379776,2.7238727541642473e-05,12.068914563212646,prompts/variant_prompt.md
variant_08_idea_0.py,variant,3.457611e-03,101.86,,1e-08,0.2927016763791445,1e-08,1.3851917298144959e-08,1.1913467801884685,1.4192547091223786,1e-08,1e-08,181.89056657620077,2.823950611638124e-08,1.4606758505316102e-07,3.4966101767004466e-08,505.67586883911144,4.754759565089687,5.127371106543199,545.6250654535651,600.2452202582278,541.3823694161671,3.999999999795437e-08,0.0015839578547410327,5.00000001071972,50.00033291254586,1.5275703205117287e-05,8.960968162309898,prompts/variant_prompt.md
variant_09_idea_0.py,variant,6.568457e-04,95.18,,1e-08,0.2923650183050724,1e-08,1.415737360922166e-08,1.2077007976376581,1.4298220036487088,1e-08,1e-08,140.97551938163733,6.074919817779852e-08,6.566468329156649e-08,9.423531364030142e-08,1104.7387672525538,6.779866231321731,5.011072477344073,3.999999999773414e-08,600.3016648717911,3.999891960518328e-08,4.4222833552633416e-06,0.0014263088474003054,5.000000007291641,50.000177082354995,1.4062768256101861e-05,13.73977956472535,prompts/variant_prompt.md
variant_10_idea_0.py,variant,N/A,9.97,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,2.339795e-03,102.35,,1e-08,0.30990410859399403,1e-08,1.3215376939811696e-08,1.1513163653015104,1.3598909351328243,1e-08,1e-08,276.3229338716578,1.8961239747140972e-08,6.732090636571023e-08,6.510925735261766e-08,205.33589017336857,6.043842454516514,5.279958330377705,1.9999999999638794e-08,595.8842697661881,0.1181112873534223,558.2256427955051,0.0015905855765486502,5.000000004652495,50.00006084238672,2.0766078448342366e-05,11.577958332549477,prompts/adaptive_prompt_1.md
adaptive_attempt_3.py,adaptive,1.605360e-03,96.40,,1e-08,0.3128303936835468,1e-08,1.6835389962382245e-08,1.2718995501564678,1.433555703091958,1e-08,1e-08,218.53670252076046,1.9019499263239867e-08,7.007381917041083e-08,1.6232460744599995e-07,833.1584021247528,4.49592771889385,5.186789117393078,553.7009281789989,600.3922559167638,1.9999999999622356e-08,3.0846517999644673e-06,0.0012022486582590726,5.000000261653668,50.00017200711632,2.1828124550971965e-05,7.233259106596958,prompts/adaptive_prompt_3.md
