algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.382946e-03,0.00,,1e-08,0.294178464914917,1e-08,1.7033487471072898e-08,1.2043170831210825,1.5019003946934504,1e-08,1e-08,331.0472527748475,1.8975245894064625e-08,1.0242179916692117e-07,1.0699377423149044e-07,782.0425512652273,5.305453345088787,5.503641801985862,1.9999999999638794e-08,600.2685838695629,2.788687775007337e-08,575.9675156651994,0.0015600771891496658,5.000000276535758,50.00010794707147,1.9048498674501152e-05,11.734786162099457,
variant_01_idea_0.py,variant,3.281631e-02,108.59,,1e-08,0.2828998478324232,10.216889026542509,2.1871392652814126e-08,1.1016887287310533,1.2958817416102144,9.37431037223386e-08,2.4025538380901223e-06,289.520060326175,5.568360607156873e-07,9.222514995716105e-05,1.0785607741244661e-05,655.718478608145,61.65633742964789,5.288945756035165,529.6000000000008,657.1420022774647,533.9484826189563,6.211891557770025e-06,0.0014258403992034076,5.00116247185681,50.03487001189288,3.088470661440482e-05,27.443246271396003,prompts/variant_prompt.md
variant_02_idea_0.py,variant,5.438417e-04,110.27,,1e-08,0.2967831311445438,1.2813057379015656e-08,1.4687666102724349e-08,1.252182143986368,1.3859129959053185,1.179019782817384e-08,1e-08,155.45368597727528,1.2659432494330622e-08,4.5963899472641e-08,5.801250148999403e-08,1025.3878808168313,16.382041144134206,5.227157670572391,3.999999999773414e-08,602.5623553945024,5.4384145183025525e-08,3.114139888119723e-08,0.002211466741086569,5.000008528071086,50.00251998759429,1.6334539254973452e-05,23.081971665245593,prompts/variant_prompt.md
variant_03_idea_0.py,variant,N/A,9.86,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_04_idea_0.py,variant,3.428072e-03,110.00,,1e-08,0.30789539867101984,1.0871918297805035e-08,2.7619596944479666e-08,1.3430512302096027,1.4393435380781188,1e-08,1e-08,252.71074039883808,1e-08,1.5882818378031587e-08,1.9534744520594424e-08,1209.5523376214483,11.579325326742339,5.302181859675314,553.7009281787876,599.1350612606246,1.9999999999622356e-08,571.2418657615347,0.001814646574638779,5.000001857260875,50.000408693196604,1.684516079219912e-05,23.01610463929381,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.407681e-03,110.37,,1e-08,0.3242510404850562,1.0456197574311433e-08,2.0064298964836376e-08,1.198443528218068,1.4590593577299933,1e-08,1e-08,273.45194197878925,1.1157475804447561e-08,8.170488699860064e-08,2.3822313151486268e-08,1087.2644255481555,37.52185893265664,5.416323390965635,3.999999999779989e-08,604.1790268710979,1.3333333333249413e-08,529.6000000608376,0.0012622742828579307,5.0000001025885155,50.01118226913663,1.7217656566227884e-05,25.31916768243272,prompts/variant_prompt.md
variant_06_idea_0.py,variant,2.962276e-03,117.00,,1e-08,0.31076484223663314,2.2251649110055984e-08,9.597049990328829e-08,1.2485253120390922,1.4558092219674967,2.3002971685691973e-08,3.769253466834092e-08,337.1634988563632,1.2318442128024132e-07,4.570317716986982e-07,4.4313647508124185e-07,1253.8743679109857,17.029151944497595,5.590709561355127,1.3333333333249413e-08,588.3931676286044,529.600000245011,4.8978510843632045e-06,0.003257843143796022,5.000191163545192,50.022231551602154,4.9487319490927335e-05,24.188584710192842,prompts/variant_prompt.md
variant_07_idea_0.py,variant,2.350229e-03,115.28,,1e-08,0.2929354517947258,1e-08,1.0514136657106595e-08,1.1705616738880928,1.4302824198305322,1.2457497759409144e-08,1.6958998579491462e-08,573.7179422834539,2.7658909189739384e-08,8.080086263757837e-08,9.89546537772236e-08,835.345295564643,3.683610615329106,5.5645363616111805,589.9305371970861,600.3255584439879,5.638248690484902e-07,1.418322696364928e-05,0.0019425920996382676,5.000017855624916,50.00011993084886,0.00015015120592522642,16.502077045858414,prompts/variant_prompt.md
variant_08_idea_0.py,variant,2.175789e-03,117.38,,1e-08,0.3123892851558449,1.0218144076604797e-08,1.0288338439596813e-08,1.1578312052811697,1.3836741386181115,1.1394995369900635e-08,1e-08,343.78392174588896,1.7643835251486298e-08,9.027586055674555e-08,1e-08,1560.3639022113312,9.224911229145107,5.5559286017327745,575.967515513511,600.1851465437384,1.1366100788913406e-06,8.634073044829495e-05,0.0017186880332925778,5.000000001025617,50.000356121324,2.765975105301859e-05,11.970240767409623,prompts/variant_prompt.md
variant_09_idea_0.py,variant,N/A,10.66,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_10_idea_0.py,variant,1.642118e-03,113.67,,1e-08,0.29105154586471926,1e-08,1e-08,1.2269376669563903,1.346869424102317,1.0765400259611978e-08,1e-08,129.90265888016003,2.3843747679375028e-08,1.282646027690904e-07,1.4026977627141364e-07,559.7792160512566,6.769114103640015,5.460212556883978,575.9675155134535,569.6676779574067,1.9999998001597352e-08,1.0607625121632957e-05,0.0017556501137511891,5.000000007146211,50.00041027946417,1.4496796790876508e-05,5.590039363571739,prompts/variant_prompt.md
