algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.438417e-04,0.00,,1e-08,0.2967831311445438,1.2813057379015656e-08,1.4687666102724349e-08,1.252182143986368,1.3859129959053185,1.179019782817384e-08,1e-08,155.45368597727528,1.2659432494330622e-08,4.5963899472641e-08,5.801250148999403e-08,1025.3878808168313,16.382041144134206,5.227157670572391,3.999999999773414e-08,602.5623553945024,5.4384145183025525e-08,3.114139888119723e-08,0.002211466741086569,5.000008528071086,50.00251998759429,1.6334539254973452e-05,23.081971665245593,
variant_01_idea_0.py,variant,3.555760e-03,104.16,,1e-08,0.3241689541439827,2.011831687815671e-06,4.5261728061859754e-08,1.2168534272589964,1.412974663775419,5.382229686608173e-08,1.371442320795978e-07,181.4809834822673,2.321065517568502e-07,3.79788187173734e-07,1.2820327207074092e-06,1353.5730891128105,27.391995448112244,5.547820763523023,3.999999999786564e-08,573.9237029546222,2.0602019476121303e-08,558.1396899568408,0.0055114531030866585,5.000066777831606,50.00916158968189,0.00012200411155784778,23.78762905003574,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.690424e-02,112.39,,1e-08,0.3354342021849931,5.041594059136822e-06,3.33715005373557e-08,1.2503063122622922,1.3674214106367555,1.5121991133355257e-07,7.905037564703472e-07,164.41613145447957,3.2638910328547815e-06,7.384104368778793e-06,2.2708856416454675e-06,504.57366248274525,20.884012658658083,5.6393401989349865,545.6250654537555,601.5764936740469,541.3823700638586,8.857154098925285e-07,0.013301085608208765,5.000813520736183,50.00272679823892,0.0005552740289389214,16.53324332939508,prompts/variant_prompt.md
variant_03_idea_0.py,variant,3.685024e-03,104.21,,1e-08,0.3210595945870691,9.699071529171063e-05,5.625028557230683e-07,1.305994952534435,1.4462114285880658,7.650546515709885e-07,1.2965239995206717e-06,381.532859151948,1.3717068326552892e-06,1.7485504019151112e-06,1.9149095359539578e-06,1723.3414820596702,64.95055236730734,5.770459837792301,1.9999999999622356e-08,652.6214450778522,3.996402585323081e-08,1.3444469293366629e-05,0.014305520239355071,5.001655781718664,50.066393114991705,0.00018694632547042373,22.537756954877253,prompts/variant_prompt.md
variant_04_idea_0.py,variant,8.656514e-03,111.52,,1e-08,0.3163414861825927,0.00044942071890511346,9.225187937532904e-08,1.335968262681324,1.4541102529090884,6.152148498022813e-07,2.873444931459739e-07,413.7696790098261,1.6317938888665673e-06,9.94204770914773e-07,1.6703854985869223e-06,1554.0359951367634,28.538686270651716,5.855831923636723,1.9999999999622356e-08,619.7990292059928,553.7009285060992,1.953533131358738e-05,0.01525494445975717,5.003134736201166,50.0046284820477,0.00017655948102385553,26.454178224910216,prompts/variant_prompt.md
variant_05_idea_0.py,variant,3.617973e-02,113.01,,1e-08,0.3248422590147368,0.3111049166496589,1.371467929060827e-07,1.2713337462333414,1.5918484422188615,6.8018036196675e-07,8.674064240899497e-07,621.5380666970505,1.0999039453337704e-06,3.0879900975889436e-06,2.264890245310335e-06,1377.2443129229605,38.47935053242781,5.711092201360981,589.9305371970861,624.4990774376112,4.196171108406146e-05,682.1000003677534,0.010928010734956802,5.0,50.014622784038146,0.00016257058104499436,22.553218476595063,prompts/variant_prompt.md
variant_06_idea_0.py,variant,1.341420e-03,106.06,,1e-08,0.30209101074856426,6.36013910123776e-08,4.859560429898441e-08,1.1986024055874422,1.4716088015308932,1.2720837343045617e-07,4.5266358975135164e-08,163.47940922540428,1.470564435291059e-07,3.5678555074293843e-07,3.713872058273568e-07,319.4486378382714,14.529308338701842,5.269799597156177,1e-08,596.2677293626118,4.930516294020636e-07,1.0667170678638867e-05,0.008060029250989626,5.000308899390932,50.0172447901555,0.00013255817899287034,18.60938988793709,prompts/variant_prompt.md
variant_07_idea_0.py,variant,6.652524e-04,106.23,,1e-08,0.31043098322763696,2.9255646745239463e-08,1.1226158270614895e-08,1.1660044449534992,1.4663330006291264,1.143742218017677e-08,1e-08,176.03123783101216,2.0735602176110084e-08,4.603129181807698e-08,9.46648750074977e-08,863.1746060071141,9.777934643983444,5.523172226345314,3.999999999773414e-08,552.2655455477513,1.3333333333249413e-08,2.539885079052284e-06,0.002938141401699062,5.00023998982577,50.02988498345969,2.9191557151010165e-05,23.791107014027247,prompts/variant_prompt.md
variant_08_idea_0.py,variant,5.608386e-03,106.11,,1e-08,0.30945518604210764,1.8178251291032448e-05,4.181611683029356e-08,1.2495881127462884,1.5230343688991135,1.1007057423280573e-06,4.513795209601531e-07,131.36966468377526,9.724378882041091e-07,1.3230100424268386e-06,1.152846549370754e-06,691.1890255109088,26.871955373017844,5.229387050937951,1.9999999999622356e-08,599.3722571498807,2.9941885282134094e-07,575.9675165442487,0.01234022665361771,5.002357912176196,50.02230688901709,0.00012923687198503525,27.004485580043767,prompts/variant_prompt.md
variant_09_idea_0.py,variant,N/A,10.17,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_10_idea_0.py,variant,3.432803e-03,104.81,,1e-08,0.3056219957765767,1.6593735264704332e-08,1.805775274551158e-08,1.1801028943847256,1.3665695178175765,9.341860570862373e-08,4.929044955933962e-08,240.07635494965686,3.482063847068764e-07,7.66276170353822e-07,6.363910162777788e-07,961.2354120028326,33.38639398881457,5.219804526627314,541.3823692673694,599.5921106030852,2.324063934222284e-08,7.419588577506017e-06,0.005379197553361519,5.000000015212622,50.0148221023039,8.656951538844503e-05,23.68886561298688,prompts/variant_prompt.md
adaptive_attempt_2.py,adaptive,N/A,10.29,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,4.388275e-03,133.38,,1e-08,0.33818447191910217,1.7430835545078238e-07,1.8557217104344545e-08,0.8958147735386284,1.3161090864130045,7.650793891400538e-07,8.910685260782931e-07,72.78190431276222,4.2646446498269924e-06,3.458916696590367e-05,3.908815378594921e-05,973.5190923603419,17.719671742274866,5.419234620949247,1.9999999999622356e-08,600.1424798526016,4.235429306795906e-06,0.0035814956450546834,0.017160675195992597,5.000000210463812,50.00273903507645,0.0009195752730105996,10.494906278195275,prompts/adaptive_prompt_3.md
