algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,5.438417e-04,0.00,,1e-08,0.2967831311445438,1.2813057379015656e-08,1.4687666102724349e-08,1.252182143986368,1.3859129959053185,1.179019782817384e-08,1e-08,155.45368597727528,1.2659432494330622e-08,4.5963899472641e-08,5.801250148999403e-08,1025.3878808168313,16.382041144134206,5.227157670572391,3.999999999773414e-08,602.5623553945024,5.4384145183025525e-08,3.114139888119723e-08,0.002211466741086569,5.000008528071086,50.00251998759429,1.6334539254973452e-05,23.081971665245593,
variant_01_idea_0.py,variant,N/A,53.03,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_02_idea_0.py,variant,2.043265e-03,182.27,,1e-08,0.16570937512509137,1e-08,1e-08,0.9885325519791119,1.2496817858513576,1e-08,1e-08,254.05231886689117,3.5428646235937904e-07,2.489406204865258e-07,1.1036091815430907e-07,1497.0658748240044,53.800115364241606,5.2505610210867,562.6501903160151,600.1000032257875,1.3333333333249413e-08,1.1489682929132801e-06,0.002769225950832983,5.000100215495488,50.000838577664744,2.051901565524713e-05,17.82612086056151,prompts/variant_prompt.md
variant_03_idea_0.py,variant,5.311331e-04,120.51,,1e-08,0.26450500618054545,4.882188020429564e-07,1e-08,1.1403595048374544,1.1926296726935715,1e-08,1e-08,0.09311674343151313,1e-08,3.1226406860894065e-05,1.2315815062484427e-05,1582.4296454863868,22.3079327679649,6.089347695499074,1.3333333333249413e-08,3.999999999788291e-08,1.3169439352967259e-06,4.9711621322409875e-05,0.01641929263971511,5.000002296004641,50.006681920591625,0.000684463838031814,19.150976940612097,prompts/variant_prompt.md
variant_04_idea_0.py,variant,2.276502e-03,115.42,,1e-08,0.36781233211130504,6.483554773983065e-07,1.3158516098491104e-06,1.1998300277223741,1.3762735969213276,2.8362560848113522e-08,1.0695341290591337e-08,303.8268707731001,5.5698258501213485e-08,8.532739107343774e-08,1.3341109993950583e-07,685.8465414508219,2.4013882542102403,5.638100633976242,3.999999999773414e-08,601.6903054524745,1.9802026615175908e-08,638.4779441923779,0.003347165716026305,5.000000407665884,50.00073907582234,2.94588544429822e-05,17.795987117729084,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.150195e-03,101.29,,1e-08,0.26484706809138836,1e-08,2.0408647279309112e-08,1.2673519743765846,1.5037624902755478,1e-08,1e-08,274.8540287445874,1e-08,1.3124021391814271e-08,1.0423621535121653e-08,805.1367508718777,13.001672180868468,5.802387500769393,1.9999999999622356e-08,603.1110427903153,529.6000000000006,3.7571972574499e-08,0.001282533324332365,5.000000562624118,50.0016240555788,7.9843851540498e-06,19.88206546123841,prompts/variant_prompt.md
variant_06_idea_0.py,variant,2.063624e-03,554.85,,1e-08,0.1627740664277125,1e-08,1e-08,0.41232625564166625,0.3932209885903807,6.333773293257369e-06,6.454664168118922e-06,272.49101719333623,1.989259083020117e-05,0.0001519013834687442,0.00016588741891386945,2060.43472696277,165.8313325162796,5.759466900707813,1.3333333333249413e-08,3.999999999773414e-08,2.6188879311066702e-06,0.000318024644342982,0.02373284092883064,5.000195687969034,50.01828942563543,0.0021408107079697006,21.731309758580778,prompts/variant_prompt.md
variant_07_idea_0.py,variant,4.226771e-03,94.26,,1e-08,0.28540402193219355,0.7884051488522931,0.0001780904271876553,1.1846958073323524,1.5022905528113004,1e-08,1e-08,384.11912378852475,1.0948946945342935e-08,3.400161631540151e-08,2.6010582683351734e-08,1913.2973758541293,22.576981977550314,5.48012211903386,3.999999999782287e-08,588.8728524492326,1e-08,553.7009281815997,0.0016468869587568066,5.000000051145847,50.00090470923858,1.809812412524739e-05,17.32489806958009,prompts/variant_prompt.md
variant_08_idea_0.py,variant,N/A,10.14,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_09_idea_0.py,variant,5.505311e-03,123.42,,1e-08,0.2829493729750839,0.0006285563548706822,1e-08,1.0630564444225992,1.1659195314003696,1e-08,1e-08,172.79024725195922,1e-08,1e-08,1e-08,1874.1761873460216,24.07854311364946,5.565637187942493,1e-08,555.5150599114767,529.6000000002455,553.7015329111114,0.00239004589073585,5.000000198674031,50.00375112913205,0.0002654602731369196,24.30599135670458,prompts/variant_prompt.md
