algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.488493e-04,0.00,,1e-08,0.23995118836241786,1e-08,1e-08,1.3060913874171212,1.129199333153328,1e-08,1e-08,2354.0417268591254,1e-08,1e-08,1e-08,4016.440823126744,2.0589211904509446,6.536975719566575,1.9999999968114322e-08,1.3333333333249477e-08,3.999999999773414e-08,1.999999999178926e-08,0.0007543123700287776,5.000000637461229,50.00000000002737,9.980136972460615e-06,7.739203895173343,
variant_01_idea_0.py,variant,1.000971e-03,105.36,,1e-08,0.2407223310518697,1e-08,1e-08,1.309830245439377,1.0688805693460575,1e-08,1e-08,2200.9890950814797,1e-08,1e-08,1e-08,2562.010091360254,2.5854086895012496,6.692449811858918,529.6000000000004,1e-08,1e-08,529.6000000000004,0.0007605515455512602,5.000000592643657,50.000000000026176,1.01417145558523e-05,5.75529828040334,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.399361e-04,893.67,,1e-08,0.23998212800419247,1e-08,1e-08,1.359465825853837,1.12438800564669,1e-08,1e-08,2299.1908390595845,1e-08,1e-08,1e-08,3798.3658585030275,1.6538598271129428,6.714095229591078,3.999999999773414e-08,1.333333333325017e-08,1e-08,1e-08,0.0007643979570601999,5.000000630910508,50.00000000002464,1.0364244131498804e-05,8.460563578793026,prompts/variant_prompt.md
variant_03_idea_0.py,variant,1.473853e-04,218.18,,1e-08,0.23879189575536758,1e-08,1e-08,1.3037613678551667,1.15589836468611,1e-08,1e-08,2440.0553146707543,1e-08,1e-08,1e-08,3654.7542878797103,2.891467616502774,6.59857926787332,1.9999999999622356e-08,1.9999999999634344e-08,1.9999999999622356e-08,1.3333333333249413e-08,0.0007227374150183474,5.000000631758484,50.00000000002555,1.0128164434491175e-05,9.235471320858483,prompts/variant_prompt.md
variant_04_idea_0.py,variant,3.739181e-04,124.16,,1e-08,0.24065171484112888,1e-08,1e-08,1.3044617285152844,1.1448215745770973,1e-08,1e-08,2277.9304150395305,1e-08,1e-08,1e-08,3312.585759065106,2.2829154797688216,6.558372904631504,1e-08,1.333333333325578e-08,1.3333333333249413e-08,529.6000000000004,0.000756136160595572,5.000000635969721,50.00000000002635,9.996200649619096e-06,7.724750210955846,prompts/variant_prompt.md
variant_05_idea_0.py,variant,1.605789e-04,125.14,,1e-08,0.23971199430231313,1e-08,1e-08,1.289361395701409,1.2269095861211106,1e-08,1e-08,2297.7422717406535,1e-08,1e-08,1e-08,3331.019213531627,8.935965464501326,6.592105853494167,1e-08,1.9999999999643876e-08,3.999999999773414e-08,3.999999999773414e-08,0.0007604336198497871,5.000000636276431,50.000000000025466,9.906685885194396e-06,8.3854121738742,prompts/variant_prompt.md
variant_06_idea_0.py,variant,1.360163e-04,1734.20,,1e-08,0.2396496082378457,1e-08,1e-08,1.3028984174034406,1.0729500060562052,1e-08,1e-08,2034.3549350128624,1e-08,1e-08,1e-08,3743.4534629645427,2.7506205626867093,6.6745159838101795,1e-08,1.9999999999622776e-08,1e-08,1.3333333333249413e-08,0.0007613677319781119,5.000000594068181,50.000000000024016,9.649270138508625e-06,7.007647726788711,prompts/variant_prompt.md
variant_07_idea_0.py,variant,N/A,56.41,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_08_idea_0.py,variant,1.412017e-04,964.67,,1e-08,0.23995956617530959,1e-08,1e-08,1.3259624333874673,1.1602123710559233,1e-08,1e-08,2301.984830122286,1e-08,1e-08,1e-08,3078.7398667140665,3.021746145929218,6.61755101930499,1e-08,1.9999999999626515e-08,1.9999999999622356e-08,1e-08,0.0007768610349387657,5.000000599525714,50.00000000002831,9.797986433997122e-06,9.909167773567495,prompts/variant_prompt.md
variant_09_idea_0.py,variant,3.870972e-04,131.36,,1e-08,0.2406160070878378,1e-08,1e-08,1.3219761330078115,1.0866401643035737,1e-08,1e-08,1988.2594601405226,1e-08,1e-08,1e-08,3248.9590325236104,4.134866837083562,6.619531080596476,1e-08,543.6818669064294,1.3333333333249413e-08,1.9999999999622356e-08,0.0007866798113527582,5.000000636841717,50.00000000002319,9.68759378512274e-06,7.590561160230052,prompts/variant_prompt.md
