algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.339692e-04,0.00,,1e-08,0.24052731853764722,1e-08,1e-08,1.304969874466127,1.184653566777742,1e-08,1e-08,2205.3795315506195,1e-08,1e-08,1e-08,3198.23455011168,2.816932013688162,6.484174334389118,1e-08,1.3333333333249413e-08,1e-08,1.3333333331696494e-08,0.0007582602559930016,5.000000629523488,50.00000000002831,9.854523479259868e-06,7.022101419272685,
variant_01_idea_0.py,variant,1.431251e-04,448.77,,1e-08,0.2410607433904973,1e-08,1e-08,1.3282850470941832,1.1026105208309327,1e-08,1e-08,2368.4068360918027,1e-08,1e-08,1e-08,3917.0442019641196,2.546996092391034,6.708723742291348,3.999999999773414e-08,1.9999999999625787e-08,1e-08,1e-08,0.000753064639105881,5.00000060060675,50.0000000000241,1.0133286670674276e-05,6.392110139690565,prompts/variant_prompt.md
variant_02_idea_0.py,variant,1.078421e-03,396.69,,1e-08,0.2399613917517607,1e-08,1e-08,1.3289529929583006,1.1835648720487342,1e-08,1e-08,2080.3841540605576,1e-08,1e-08,1e-08,3408.5107896155323,3.8428716855210494,6.767630170805902,1.3333333333249413e-08,534.1477880251159,529.6000000000004,1.3333333333249413e-08,0.0007633536622725245,5.00000061784624,50.000000000023164,9.64798887106313e-06,9.499190073086547,prompts/variant_prompt.md
variant_03_idea_0.py,variant,4.029700e-04,512.15,,1e-08,0.23968645491777604,1e-08,1e-08,1.293601472494947,1.2555562438981096,1e-08,1e-08,2336.0406870718457,1e-08,1e-08,1e-08,3418.226669188328,1.7235469270950996,6.627302702440727,1.9999999999622356e-08,536.4050973413873,3.999999999773414e-08,1.3333333333249413e-08,0.0007722905891806871,5.000000636168252,50.000000000027626,1.0028537296525708e-05,8.54563615316892,prompts/variant_prompt.md
variant_04_idea_0.py,variant,3.696246e-04,401.27,,1e-08,0.23900836798803612,1e-08,1e-08,1.303106901978885,1.0871590373553504,1e-08,1e-08,2435.3877326859792,1e-08,1e-08,1e-08,3174.155058439868,2.5802807674728183,6.7008455569707905,529.6000000000004,1e-08,1e-08,1e-08,0.0007476599586377416,5.000000665809226,50.0000000000247,9.664049230429625e-06,9.768562399195835,prompts/variant_prompt.md
variant_05_idea_0.py,variant,3.995482e-04,446.22,,1e-08,0.240085573809573,1e-08,1e-08,1.2967412450095086,1.1447213455118208,1e-08,1e-08,2065.55302610381,1e-08,1e-08,1e-08,3280.719365729755,3.1654592808377493,6.607246967464472,529.6000000000004,3.999999999776363e-08,1.3333333333249413e-08,1e-08,0.00075647562225545,5.000000611811185,50.00000000002666,9.836413284256065e-06,10.321891886443122,prompts/variant_prompt.md
variant_06_idea_0.py,variant,1.532861e-04,420.05,,1e-08,0.24084934468214986,1e-08,1e-08,1.2920554734053056,1.0947573593155087,1e-08,1e-08,2175.9510636477708,1e-08,1e-08,1e-08,3366.6265038428264,3.27050432061544,6.682524254637163,3.999999999773414e-08,1.999999999963597e-08,1.3333333333249413e-08,3.999999999773414e-08,0.0007738326788500298,5.00000061778735,50.000000000028166,9.573251580842985e-06,6.570301863184844,prompts/variant_prompt.md
variant_07_idea_0.py,variant,1.410960e-04,383.45,,1e-08,0.2405611372890759,1e-08,1e-08,1.3097260904905574,1.154318864263786,1e-08,1e-08,2207.046868975631,1e-08,1e-08,1e-08,3015.1581280260643,2.755676780461278,6.628326894536162,1.3333333333249413e-08,3.999999999781315e-08,1.3333333333249413e-08,1e-08,0.0007759855746616946,5.000000578413891,50.000000000027114,9.75744741721891e-06,6.513302490713008,prompts/variant_prompt.md
variant_08_idea_0.py,variant,3.809688e-04,386.07,,1e-08,0.24041799378373213,1e-08,1e-08,1.3439976341147593,1.1176990860100116,1e-08,1e-08,1945.1751675061632,1e-08,1e-08,1e-08,3230.4369523480805,4.30423443006264,6.782296214451775,1e-08,551.0091372955168,1.3333333333249413e-08,1e-08,0.0007736876779744917,5.0000006190925745,50.00000000002831,1.0190718790294779e-05,9.10654893540512,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.382870e-04,403.36,,1e-08,0.23984741149198605,1e-08,1e-08,1.3095193774160745,1.0325657996215503,1e-08,1e-08,2163.130461183738,1e-08,1e-08,1e-08,3036.5707197946435,4.183596191144526,6.692351046335274,1e-08,1.999999999962434e-08,1e-08,1e-08,0.0007465562844715252,5.000000622100938,50.00000000002271,1.038646767126214e-05,10.344171696288216,prompts/variant_prompt.md
