algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
original.py,original,1.339692e-04,0.00,,1e-08,0.24052731853764722,1e-08,1e-08,1.304969874466127,1.184653566777742,1e-08,1e-08,2205.3795315506195,1e-08,1e-08,1e-08,3198.23455011168,2.816932013688162,6.484174334389118,1e-08,1.3333333333249413e-08,1e-08,1.3333333331696494e-08,0.0007582602559930016,5.000000629523488,50.00000000002831,9.854523479259868e-06,7.022101419272685,
variant_01_idea_0.py,variant,4.237857e-04,461.40,,1e-08,0.23967293702268763,1e-08,1e-08,1.3221676704129965,1.1375828080110542,1e-08,1e-08,1760.602450208937,1e-08,1e-08,1e-08,3503.282755838139,4.202225212056817,6.480373220343398,3.999999999779989e-08,3.999999999779872e-08,529.6000000000004,1.3333333333249413e-08,0.0007883852384287973,5.000000620572862,50.000000000026176,1.0335256207573739e-05,8.079797229949863,prompts/variant_prompt.md
variant_02_idea_0.py,variant,N/A,311.41,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_03_idea_0.py,variant,4.069327e-04,482.98,,1e-08,0.24111366948354426,1e-08,1e-08,1.3156941405386018,1.0828515115997726,1e-08,1e-08,2381.165565447478,1e-08,1e-08,1e-08,3714.154215997585,4.199047583336838,6.7927710008362485,3.999999999773414e-08,562.2669225113451,1e-08,1e-08,0.0007721456795893579,5.000000605310724,50.0000000000268,1.0045674415412843e-05,11.24934469560206,prompts/variant_prompt.md
variant_04_idea_0.py,variant,1.400162e-04,376.31,,1e-08,0.24104968435790103,1e-08,1e-08,1.3177297176838096,0.9120955137939485,1e-08,1e-08,1612.530914665231,1e-08,1e-08,1e-08,2949.8193571214715,6.11280047694273,6.64908194948327,1e-08,1.9999999999625592e-08,1.3333333333249413e-08,1.9999999999622356e-08,0.0007671971268746214,5.000000643011122,50.00000000002689,1.0036756979685932e-05,5.604792837618091,prompts/variant_prompt.md
variant_05_idea_0.py,variant,N/A,317.27,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
variant_06_idea_0.py,variant,4.137917e-04,494.10,,1e-08,0.24098684105097704,1e-08,1e-08,1.3069644798591389,1.0837950605783981,1e-08,1e-08,1815.9763840184617,1e-08,1e-08,1e-08,3658.8731063428977,5.118498212650832,6.809243685053311,1e-08,3.99999999977362e-08,3.999999999773414e-08,529.6000000000004,0.0007647745160011354,5.0000006313892875,50.00000000002706,9.824621384782953e-06,5.046627928146927,prompts/variant_prompt.md
variant_07_idea_0.py,variant,3.743770e-04,488.12,,1e-08,0.23965829961809326,1e-08,1e-08,1.2717321804076365,1.1123769766837446,1e-08,1e-08,1995.864011310156,1e-08,1e-08,1e-08,3174.389486083573,5.11567709772092,6.667779721273412,1e-08,558.4807671289434,1.3333333333249413e-08,1e-08,0.0007771199826604007,5.000000618491953,50.000000000025324,9.796888084185312e-06,5.534013872270441,prompts/variant_prompt.md
variant_08_idea_0.py,variant,3.957719e-04,402.64,,1e-08,0.24035604904838365,1e-08,1e-08,1.2571367181287878,1.0609226148754176,1e-08,1e-08,2215.1054737145328,1e-08,1e-08,1e-08,3352.7263727738787,2.3745931568835292,6.71769281477976,3.999999999773414e-08,541.6962087571821,1e-08,1.9999999999622356e-08,0.0007518486616128788,5.000000638860852,50.000000000026205,9.737058188495343e-06,7.2412263035382525,prompts/variant_prompt.md
variant_09_idea_0.py,variant,1.440728e-04,483.14,,1e-08,0.238290752384893,1e-08,1e-08,1.3328045095488399,1.2233248134682608,1e-08,1e-08,2099.2980628192086,1e-08,1e-08,1e-08,2935.5740515778502,2.9865365210132078,6.731580489043333,1.9999999999622356e-08,3.9999999997743684e-08,1.333333332866458e-08,1e-08,0.00076353158617309,5.000000623901235,50.000000000025466,1.0024044351396524e-05,6.511168137699774,prompts/variant_prompt.md
variant_10_idea_0.py,variant,N/A,316.69,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,prompts/variant_prompt.md
adaptive_attempt_1.py,adaptive,1.375972e-04,463.39,,1e-08,0.23931276905222987,1e-08,1e-08,1.2711658211053396,1.1289971615893648,1e-08,1e-08,2588.8317285005533,1e-08,1e-08,1e-08,3036.9413282302335,3.088586102317976,6.687494003693608,1e-08,1.9999999999644786e-08,1.3333333333249413e-08,1e-08,0.0007635479200312676,5.000000613960182,50.00000000002325,1.0212680707848881e-05,7.316805651287695,prompts/adaptive_prompt_1.md
adaptive_attempt_2.py,adaptive,4.038902e-04,490.44,,1e-08,0.23956282157357983,1e-08,1e-08,1.30193220280227,1.1405389913912074,1e-08,1e-08,1982.1694331634528,1e-08,1e-08,1e-08,3235.6837023791195,4.3623646763821515,6.625401672343594,1.9999993049532884e-08,549.0807040919991,3.999999999773414e-08,1e-08,0.000744918415372299,5.000000627453092,50.00000000002666,1.0049151210613537e-05,6.550217874214306,prompts/adaptive_prompt_2.md
adaptive_attempt_3.py,adaptive,1.432025e-04,799.75,,1e-08,0.23511693046362903,1e-08,1e-08,1.3278291594420133,1.1199186545449404,1e-08,1e-08,2457.219335379245,1e-08,1e-08,1e-08,3372.849842036429,3.542873008240096,6.680950721850786,1e-08,3.999999999785093e-08,1.9999999999622356e-08,1.3333333333249413e-08,0.0007118826793743524,5.000000521779699,50.000000000024215,8.802245244882431e-06,4.826125774052107,prompts/adaptive_prompt_3.md
